date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Albany,NY,-7.6257443,-1.9916626,-14.652957,1.5866314,,
2000-01-02 00:00:00+00:00,Albany,NY,-12.759879,-2.761247,-21.59561,0.5941554,,
2000-01-03 00:00:00+00:00,Albany,NY,-4.5046544,-1.0478927,-8.246856,0.39572102,,
2000-01-04 00:00:00+00:00,Albany,NY,-7.74943,-5.9345374,-9.498103,2.3720367,,
2000-01-05 00:00:00+00:00,Albany,NY,-10.894207,-6.371184,-16.149347,5.529425,,
2000-01-06 00:00:00+00:00,Albany,NY,-6.3889823,0.1921707,-10.500594,0.3945795,,
2000-01-07 00:00:00+00:00,Albany,NY,-0.98375815,1.7055253,-3.4518392,1.2811532,,
2000-01-08 00:00:00+00:00,Albany,NY,-12.578534,-5.08112,-16.853083,0.09845592,,
2000-01-09 00:00:00+00:00,Albany,NY,-13.823309,-8.317767,-18.304329,0.49180916,,
2000-01-10 00:00:00+00:00,Albany,NY,-9.868086,-4.204411,-15.805576,0.589608,,
2000-01-11 00:00:00+00:00,Albany,NY,1.537139,6.158943,-6.50682,23.954557,,
2000-01-12 00:00:00+00:00,Albany,NY,-3.8076367,4.372298,-7.7080665,0.19616218,,
2000-01-13 00:00:00+00:00,Albany,NY,-11.252414,-8.864348,-14.059312,0.09798802,,
2000-01-14 00:00:00+00:00,Albany,NY,-12.247189,-5.2509933,-16.060558,0.0,,
2000-01-15 00:00:00+00:00,Albany,NY,-16.641964,-9.637639,-23.661804,1.2714341,,
2000-01-16 00:00:00+00:00,Albany,NY,-17.18674,-10.274285,-24.26305,0.0,,
2000-01-17 00:00:00+00:00,Albany,NY,-13.931517,-4.76093,-22.214294,0.097618245,,
2000-01-18 00:00:00+00:00,Albany,NY,-10.626291,-6.447576,-16.11554,0.68268484,,
2000-01-19 00:00:00+00:00,Albany,NY,-21.221066,-15.634221,-25.466785,0.09743483,,
2000-01-20 00:00:00+00:00,Albany,NY,-13.865843,3.079133,-26.568031,0.0,,
2000-01-21 00:00:00+00:00,Albany,NY,-5.610618,-3.0575128,-9.169278,0.0,,
2000-01-22 00:00:00+00:00,Albany,NY,-11.655395,-3.0441582,-18.670523,0.0,,
2000-01-23 00:00:00+00:00,Albany,NY,-8.400171,-3.530804,-14.371768,0.09707098,,
2000-01-24 00:00:00+00:00,Albany,NY,-5.6449456,1.332551,-13.423016,3.10338,,
2000-01-25 00:00:00+00:00,Albany,NY,-0.23972242,3.1959052,-3.974261,0.0968905,,
2000-01-26 00:00:00+00:00,Albany,NY,2.3655019,6.2592597,-1.125506,0.09680062,,
2000-01-27 00:00:00+00:00,Albany,NY,-0.5292739,4.8726144,-10.976752,5.7059484,,
2000-01-28 00:00:00+00:00,Albany,NY,-12.67405,-4.164031,-17.377995,0.09662159,,
2000-01-29 00:00:00+00:00,Albany,NY,0.5811747,6.299323,-3.5292423,2.2202458,,
2000-01-30 00:00:00+00:00,Albany,NY,-0.46360105,3.6126773,-3.980488,1.6395396,,
2000-01-31 00:00:00+00:00,Albany,NY,2.9916232,7.226032,-2.231735,18.307413,,
2000-02-01 00:00:00+00:00,Albany,NY,1.7468474,7.1893864,-4.682979,8.952769,,
