date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Helena,MT,-3.3124723,0.21748866,-6.513664,0.0,,
2000-01-02 00:00:00+00:00,Helena,MT,-4.593688,-1.5685673,-8.639434,3.29608,,
2000-01-03 00:00:00+00:00,Helena,MT,-13.461417,-8.195838,-16.653835,2.8650622,,
2000-01-04 00:00:00+00:00,Helena,MT,-11.879149,-6.12311,-15.768235,0.07367967,,
2000-01-05 00:00:00+00:00,Helena,MT,-3.59688,2.5496187,-7.6326356,0.0,,
2000-01-06 00:00:00+00:00,Helena,MT,-9.264611,1.472347,-16.897034,3.5573592,,
2000-01-07 00:00:00+00:00,Helena,MT,-15.382342,-9.304924,-19.211437,0.074327074,,
2000-01-08 00:00:00+00:00,Helena,MT,-18.950073,-10.582196,-21.325836,1.6399271,,
2000-01-09 00:00:00+00:00,Helena,MT,-25.717804,-16.859468,-36.040237,0.6728117,,
2000-01-10 00:00:00+00:00,Helena,MT,-21.885534,-16.43674,-26.304638,1.6493663,,
2000-01-11 00:00:00+00:00,Helena,MT,-26.853266,-17.56401,-32.469036,0.15037034,,
2000-01-12 00:00:00+00:00,Helena,MT,-18.520996,-9.841281,-24.183437,0.0,,
2000-01-13 00:00:00+00:00,Helena,MT,-18.788727,-9.918552,-24.497837,3.7806015,,
2000-01-14 00:00:00+00:00,Helena,MT,-27.65646,-16.445824,-35.512238,0.9098992,,
2000-01-15 00:00:00+00:00,Helena,MT,-11.724188,-4.173096,-16.87664,0.07603746,,
2000-01-16 00:00:00+00:00,Helena,MT,-6.94192,-0.9003675,-11.241037,0.0,,
2000-01-17 00:00:00+00:00,Helena,MT,-3.0096502,4.422361,-6.90544,0.841076,,
2000-01-18 00:00:00+00:00,Helena,MT,0.2726189,5.0950894,-4.0698395,1.8401502,,
2000-01-19 00:00:00+00:00,Helena,MT,1.0048873,5.017818,-1.6342397,0.4613041,,
2000-01-20 00:00:00+00:00,Helena,MT,-2.6628432,4.140547,-7.4486394,1.2335163,,
2000-01-21 00:00:00+00:00,Helena,MT,-0.58057356,4.4132752,-2.3630414,0.92766196,,
2000-01-22 00:00:00+00:00,Helena,MT,-1.8483043,4.936003,-6.3274407,0.62012166,,
2000-01-23 00:00:00+00:00,Helena,MT,2.2339644,4.4087315,-1.1418409,0.777249,,
2000-01-24 00:00:00+00:00,Helena,MT,-8.333766,-1.1185396,-11.60624,0.5455396,,
2000-01-25 00:00:00+00:00,Helena,MT,-9.351497,-5.045811,-13.370642,1.4065778,,
2000-01-26 00:00:00+00:00,Helena,MT,-8.119227,-5.1230826,-10.285042,1.3319818,,
2000-01-27 00:00:00+00:00,Helena,MT,0.9130409,3.199646,-5.499442,10.52706,,
2000-01-28 00:00:00+00:00,Helena,MT,-3.7546906,1.2723747,-7.1638427,3.0719557,,
2000-01-29 00:00:00+00:00,Helena,MT,-7.1724205,-2.854897,-9.978242,2.0533676,,
2000-01-30 00:00:00+00:00,Helena,MT,-24.99015,-5.1321683,-39.492645,0.8710122,,
2000-01-31 00:00:00+00:00,Helena,MT,-31.207882,-21.809439,-36.707043,0.0,,
2000-02-01 00:00:00+00:00,Helena,MT,-11.725614,-3.8867114,-21.971443,0.39798203,,
2000-02-02 00:00:00+00:00,Helena,MT,-1.0433438,2.5860171,-5.1358438,1.83546,,
2000-02-03 00:00:00+00:00,Helena,MT,-3.8610754,0.6587455,-5.500244,0.40004238,,
2000-02-04 00:00:00+00:00,Helena,MT,-3.9788055,-2.3685255,-5.014644,0.6417121,,
2000-02-05 00:00:00+00:00,Helena,MT,-7.2965364,-3.0457973,-9.929045,0.96503043,,
2000-02-06 00:00:00+00:00,Helena,MT,-5.014268,1.8269312,-7.3434463,7.4980373,,
2000-02-07 00:00:00+00:00,Helena,MT,1.7180012,4.19966,0.5421548,1.2932571,,
2000-02-08 00:00:00+00:00,Helena,MT,-8.449729,4.1723886,-23.572247,7.0498476,,
2000-02-09 00:00:00+00:00,Helena,MT,-28.36746,-9.004883,-38.936646,0.56865597,,
2000-02-10 00:00:00+00:00,Helena,MT,-3.9851904,1.5678452,-8.101047,0.16288012,,
2000-02-11 00:00:00+00:00,Helena,MT,-15.002922,0.0905738,-24.315449,2.7758696,,
2000-02-12 00:00:00+00:00,Helena,MT,-18.770653,-14.186698,-24.979847,0.8184605,,
2000-02-13 00:00:00+00:00,Helena,MT,-25.088385,-11.463969,-35.14425,0.32819417,,
2000-02-14 00:00:00+00:00,Helena,MT,-12.856113,-3.7912405,-19.208649,0.0,,
2000-02-15 00:00:00+00:00,Helena,MT,-9.423844,-3.668512,-12.623048,1.9788605,,
2000-02-16 00:00:00+00:00,Helena,MT,-10.591575,-1.2457836,-15.33745,0.082654014,,
2000-02-17 00:00:00+00:00,Helena,MT,-1.2093067,6.326945,-7.30185,0.0,,
2000-02-18 00:00:00+00:00,Helena,MT,-0.27703738,5.949673,-6.266249,0.08305601,,
2000-02-19 00:00:00+00:00,Helena,MT,-2.7947683,4.622402,-5.6806493,2.2479258,,
2000-02-20 00:00:00+00:00,Helena,MT,-16.412498,-2.8048694,-27.195051,2.0864174,,
2000-02-21 00:00:00+00:00,Helena,MT,-30.180231,-13.33214,-39.60945,0.08365654,,
2000-02-22 00:00:00+00:00,Helena,MT,-10.297961,2.9405878,-21.573849,0.7547045,,
2000-02-23 00:00:00+00:00,Helena,MT,-2.5156918,2.8633158,-7.088251,1.0086629,,
2000-02-24 00:00:00+00:00,Helena,MT,-4.683423,-0.06395529,-8.852651,1.1795577,,
2000-02-25 00:00:00+00:00,Helena,MT,-5.151154,-2.2412271,-6.8670516,2.3646746,,
2000-02-26 00:00:00+00:00,Helena,MT,-14.818884,-4.0184984,-20.631453,1.0158106,,
