date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Jefferson City,MO,-5.5897307,5.101978,-12.603791,0.0,,
2000-01-02 00:00:00+00:00,Jefferson City,MO,4.17631,8.827815,0.40450186,0.0,,
2000-01-03 00:00:00+00:00,Jefferson City,MO,4.874755,11.374186,-0.043656647,0.0,,
2000-01-04 00:00:00+00:00,Jefferson City,MO,0.52319974,5.8705573,-1.9418147,0.0,,
2000-01-05 00:00:00+00:00,Jefferson City,MO,0.4216444,7.7169275,-3.9899735,0.0,,
2000-01-06 00:00:00+00:00,Jefferson City,MO,6.2200894,11.863297,2.911868,0.0,,
2000-01-07 00:00:00+00:00,Jefferson City,MO,0.668534,9.359669,-2.2862904,0.1532607,,
2000-01-08 00:00:00+00:00,Jefferson City,MO,-3.4830208,-0.44396073,-5.834449,9.005131,,
2000-01-09 00:00:00+00:00,Jefferson City,MO,-1.484576,0.9024095,-2.8326077,9.120558,,
2000-01-10 00:00:00+00:00,Jefferson City,MO,-0.13613158,3.2987804,-1.5307658,5.9046116,,
2000-01-11 00:00:00+00:00,Jefferson City,MO,-7.7376866,2.9451509,-11.528925,31.819223,,
2000-01-12 00:00:00+00:00,Jefferson City,MO,-16.289242,-11.058479,-19.277082,0.30042836,,
2000-01-13 00:00:00+00:00,Jefferson City,MO,-11.590798,-1.6621075,-17.925241,0.0,,
2000-01-14 00:00:00+00:00,Jefferson City,MO,-12.942353,-5.065738,-15.4734,0.29813763,,
2000-01-15 00:00:00+00:00,Jefferson City,MO,-18.043907,-11.719367,-23.571558,0.594043,,
2000-01-16 00:00:00+00:00,Jefferson City,MO,-11.445463,-7.172996,-14.319717,0.0,,
2000-01-17 00:00:00+00:00,Jefferson City,MO,-6.4470177,1.073374,-12.167876,0.0,,
2000-01-18 00:00:00+00:00,Jefferson City,MO,-9.898574,-1.6802554,-16.716034,0.0,,
2000-01-19 00:00:00+00:00,Jefferson City,MO,-8.400129,4.716115,-18.114193,0.0,,
2000-01-20 00:00:00+00:00,Jefferson City,MO,2.298316,5.6624856,-0.0123515725,0.0,,
2000-01-21 00:00:00+00:00,Jefferson City,MO,-2.803239,2.3588562,-8.81051,0.0,,
2000-01-22 00:00:00+00:00,Jefferson City,MO,1.8452055,6.1552277,-0.5586687,0.0,,
2000-01-23 00:00:00+00:00,Jefferson City,MO,3.0436504,8.351596,-0.006827414,0.0,,
2000-01-24 00:00:00+00:00,Jefferson City,MO,5.3920956,9.197968,2.9950147,0.0,,
2000-01-25 00:00:00+00:00,Jefferson City,MO,8.79054,16.944338,4.3468556,1.4341172,,
2000-01-26 00:00:00+00:00,Jefferson City,MO,3.6889849,10.190709,1.3986974,1.0006182,,
2000-01-27 00:00:00+00:00,Jefferson City,MO,2.7374294,6.3870797,0.5505387,0.0,,
2000-01-28 00:00:00+00:00,Jefferson City,MO,7.2858744,13.33345,4.0023804,0.28406885,,
2000-01-29 00:00:00+00:00,Jefferson City,MO,3.7843192,9.979819,0.10422152,0.0,,
2000-01-30 00:00:00+00:00,Jefferson City,MO,0.78276366,6.726191,-2.7939372,3.6699228,,
2000-01-31 00:00:00+00:00,Jefferson City,MO,-7.3187914,5.9725623,-14.592096,6.754514,,
2000-02-01 00:00:00+00:00,Jefferson City,MO,-16.170347,-12.431067,-18.290253,0.14029361,,
2000-02-02 00:00:00+00:00,Jefferson City,MO,-9.421903,-0.7346969,-14.288413,0.4196235,,
2000-02-03 00:00:00+00:00,Jefferson City,MO,-0.07345706,6.611673,-3.036571,0.55784595,,
2000-02-04 00:00:00+00:00,Jefferson City,MO,1.3249879,6.508044,-1.1847296,0.55621797,,
2000-02-05 00:00:00+00:00,Jefferson City,MO,0.47343224,5.2044144,-2.1328878,1.2478805,,
2000-02-06 00:00:00+00:00,Jefferson City,MO,-3.2781224,3.2007856,-8.531047,3.0416768,,
2000-02-07 00:00:00+00:00,Jefferson City,MO,-9.429679,1.597156,-14.0792055,0.82720983,,
2000-02-08 00:00:00+00:00,Jefferson City,MO,-0.78123313,10.193526,-9.127364,0.0,,
2000-02-09 00:00:00+00:00,Jefferson City,MO,-11.182789,5.939897,-22.325521,9.048945,,
2000-02-10 00:00:00+00:00,Jefferson City,MO,-25.584343,-18.563732,-29.32368,0.1367317,,
2000-02-11 00:00:00+00:00,Jefferson City,MO,-9.1359,1.1826377,-18.62184,0.0,,
2000-02-12 00:00:00+00:00,Jefferson City,MO,-5.8374543,0.9790084,-11.869998,2.3120003,,
2000-02-13 00:00:00+00:00,Jefferson City,MO,-14.28901,-11.474622,-16.368156,0.81385,,
2000-02-14 00:00:00+00:00,Jefferson City,MO,-12.390565,-4.928251,-16.016314,0.0,,
2000-02-15 00:00:00+00:00,Jefferson City,MO,-4.9921193,2.5681205,-8.664474,3.373486,,
2000-02-16 00:00:00+00:00,Jefferson City,MO,-0.24367505,2.9144912,-2.012632,0.26919076,,
2000-02-17 00:00:00+00:00,Jefferson City,MO,-2.6452308,5.5108614,-8.56079,0.0,,
2000-02-18 00:00:00+00:00,Jefferson City,MO,4.1032143,9.257232,0.9410512,0.0,,
2000-02-19 00:00:00+00:00,Jefferson City,MO,6.5016594,10.8536005,3.0928924,0.0,,
2000-02-20 00:00:00+00:00,Jefferson City,MO,8.350103,15.549973,3.244734,0.0,,
2000-02-21 00:00:00+00:00,Jefferson City,MO,7.3985486,15.396342,-0.8034244,4.5200243,,
2000-02-22 00:00:00+00:00,Jefferson City,MO,-11.253007,-1.3072853,-16.151583,0.5304958,,
2000-02-23 00:00:00+00:00,Jefferson City,MO,-6.104562,3.9390843,-11.849742,0.0,,
2000-02-24 00:00:00+00:00,Jefferson City,MO,2.9438832,8.535455,-1.1979,0.0,,
2000-02-25 00:00:00+00:00,Jefferson City,MO,3.742328,8.631825,-1.0460584,0.0,,
2000-02-26 00:00:00+00:00,Jefferson City,MO,7.6907725,17.078196,1.8057828,0.13139209,,
2000-02-27 00:00:00+00:00,Jefferson City,MO,17.039217,23.774567,13.107623,0.26218745,,
2000-02-28 00:00:00+00:00,Jefferson City,MO,6.337662,18.220938,0.45946568,0.0,,
2000-02-29 00:00:00+00:00,Jefferson City,MO,5.436107,18.217308,0.461307,0.0,,
2000-03-01 00:00:00+00:00,Jefferson City,MO,4.6845512,9.263679,1.0131488,0.26044095,,
2000-03-02 00:00:00+00:00,Jefferson City,MO,0.7829966,7.7600493,-4.9850097,0.25987297,,
2000-03-03 00:00:00+00:00,Jefferson City,MO,4.302928,12.563279,-1.8005593,0.0,,
2000-03-04 00:00:00+00:00,Jefferson City,MO,8.455752,17.540627,1.273457,0.0,,
2000-03-05 00:00:00+00:00,Jefferson City,MO,14.758576,19.717974,10.197473,2.9293177,,
2000-03-06 00:00:00+00:00,Jefferson City,MO,0.26140088,8.795318,-4.228511,15.050102,,
2000-03-07 00:00:00+00:00,Jefferson City,MO,1.3642247,5.6726656,-1.7544951,0.0,,
2000-03-08 00:00:00+00:00,Jefferson City,MO,6.017049,11.750012,2.7695215,0.124767795,,
2000-03-09 00:00:00+00:00,Jefferson City,MO,11.919873,21.62736,6.7435374,0.0,,
2000-03-10 00:00:00+00:00,Jefferson City,MO,3.072697,9.904706,-0.08244687,5.1726923,,
2000-03-11 00:00:00+00:00,Jefferson City,MO,4.1255217,10.982052,-0.9084304,0.0,,
2000-03-12 00:00:00+00:00,Jefferson City,MO,8.478345,14.809399,3.6655855,0.0,,
2000-03-13 00:00:00+00:00,Jefferson City,MO,5.4811687,11.686745,1.4396017,0.0,,
2000-03-14 00:00:00+00:00,Jefferson City,MO,6.8839936,18.114092,-0.68638235,0.0,,
