date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Juneau,AK,-0.27267444,-0.18819082,-0.4924091,6.6552577,,
2000-01-02 00:00:00+00:00,Juneau,AK,-2.7731204,-0.9920453,-4.590459,4.470931,,
2000-01-03 00:00:00+00:00,Juneau,AK,0.84418166,0.4185685,0.47641873,24.346342,,
2000-01-04 00:00:00+00:00,Juneau,AK,0.21148372,0.2291832,-0.056703687,5.466546,,
2000-01-05 00:00:00+00:00,Juneau,AK,-4.471214,0.18979728,-8.739825,11.929296,,
2000-01-06 00:00:00+00:00,Juneau,AK,-4.753912,-1.8495883,-8.372949,0.0,,
2000-01-07 00:00:00+00:00,Juneau,AK,-1.9366101,-1.738974,-2.10607,0.0,,
2000-01-08 00:00:00+00:00,Juneau,AK,-2.719308,-3.0783596,-3.2391925,0.0,,
2000-01-09 00:00:00+00:00,Juneau,AK,-1.8020056,0.23225486,-3.5723147,32.433178,,
2000-01-10 00:00:00+00:00,Juneau,AK,-0.8347031,0.2928691,-1.9554368,23.483885,,
2000-01-11 00:00:00+00:00,Juneau,AK,-2.3174014,-0.34651673,-6.5385585,12.142394,,
2000-01-12 00:00:00+00:00,Juneau,AK,-11.650098,-6.185902,-13.821681,0.49773893,,
2000-01-13 00:00:00+00:00,Juneau,AK,-12.332797,-11.025288,-12.654803,0.0,,
2000-01-14 00:00:00+00:00,Juneau,AK,-10.5654955,-5.6146736,-14.187926,0.0,,
2000-01-15 00:00:00+00:00,Juneau,AK,-0.64819205,1.3459408,-3.5710483,7.669857,,
2000-01-16 00:00:00+00:00,Juneau,AK,2.66911,2.106555,2.7958302,13.250667,,
2000-01-17 00:00:00+00:00,Juneau,AK,1.0864121,1.8171693,0.06270778,30.69212,,
2000-01-18 00:00:00+00:00,Juneau,AK,-2.896286,-1.0722164,-3.8704143,4.684516,,
2000-01-19 00:00:00+00:00,Juneau,AK,-7.2789836,-4.061602,-9.103536,0.4984576,,
2000-01-20 00:00:00+00:00,Juneau,AK,-3.6616821,-0.15098774,-4.286659,2.2933905,,
2000-01-21 00:00:00+00:00,Juneau,AK,-3.0443797,0.059626818,-6.169781,5.485365,,
2000-01-22 00:00:00+00:00,Juneau,AK,0.22292268,0.57024086,-0.55290306,10.175042,,
2000-01-23 00:00:00+00:00,Juneau,AK,-1.1097747,-0.21914494,-2.2360263,8.680589,,
2000-01-24 00:00:00+00:00,Juneau,AK,-1.2424732,-0.55853045,-1.4691473,10.379055,,
2000-01-25 00:00:00+00:00,Juneau,AK,-5.3251715,-1.2979163,-7.402271,4.991024,,
2000-01-26 00:00:00+00:00,Juneau,AK,-8.257869,-3.8373017,-11.135391,0.49921253,,
2000-01-27 00:00:00+00:00,Juneau,AK,-9.790566,-7.3266873,-10.518514,0.0,,
2000-01-28 00:00:00+00:00,Juneau,AK,-15.323264,-7.4660735,-20.201637,3.5959342,,
2000-01-29 00:00:00+00:00,Juneau,AK,-22.405964,-22.10546,-22.78476,0.0,,
2000-01-30 00:00:00+00:00,Juneau,AK,-20.338661,-15.644843,-23.117882,0.0,,
2000-01-31 00:00:00+00:00,Juneau,AK,-8.971358,-5.7342305,-13.701003,12.094568,,
2000-02-01 00:00:00+00:00,Juneau,AK,-0.75405586,-0.723616,-4.0341253,8.398163,,
2000-02-02 00:00:00+00:00,Juneau,AK,-1.8367535,-0.71300185,-3.717248,5.9000773,,
2000-02-03 00:00:00+00:00,Juneau,AK,-3.1694522,0.24761271,-8.350369,4.5011106,,
2000-02-04 00:00:00+00:00,Juneau,AK,-2.9021497,0.9582268,-7.883493,2.80135,,
2000-02-05 00:00:00+00:00,Juneau,AK,-2.1348472,-1.9311589,-3.0666146,6.6047473,,
2000-02-06 00:00:00+00:00,Juneau,AK,-3.467546,0.1794554,-5.5997367,8.307953,,
2000-02-07 00:00:00+00:00,Juneau,AK,-2.050243,0.79006994,-7.5328593,16.720022,,
