date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Montgomery,AL,1.5097648,7.4660816,-1.6058152,0.0,,
2000-01-02 00:00:00+00:00,Montgomery,AL,0.75968885,8.073306,-3.5589266,0.0,,
2000-01-03 00:00:00+00:00,Montgomery,AL,4.7447815,12.910276,-0.6230571,0.0,,
2000-01-04 00:00:00+00:00,Montgomery,AL,7.9798737,16.797247,2.3128119,0.40712532,,
2000-01-05 00:00:00+00:00,Montgomery,AL,7.4649653,11.684219,2.748681,0.7106421,,
2000-01-06 00:00:00+00:00,Montgomery,AL,8.100059,17.521189,0.9845501,0.0,,
2000-01-07 00:00:00+00:00,Montgomery,AL,12.435151,15.508162,9.47042,0.80802405,,
2000-01-08 00:00:00+00:00,Montgomery,AL,6.070242,10.14513,1.6562884,0.0,,
2000-01-09 00:00:00+00:00,Montgomery,AL,13.505334,20.632101,8.442158,4.2206626,,
2000-01-10 00:00:00+00:00,Montgomery,AL,19.940426,23.669073,18.378025,5.81385,,
2000-01-11 00:00:00+00:00,Montgomery,AL,17.225517,23.906044,11.613895,7.399046,,
2000-01-12 00:00:00+00:00,Montgomery,AL,4.8606114,11.343016,2.9997644,0.8976324,,
2000-01-13 00:00:00+00:00,Montgomery,AL,3.6957037,6.679987,0.38563415,1.1938593,,
2000-01-14 00:00:00+00:00,Montgomery,AL,3.380795,10.066957,-1.278497,0.0,,
2000-01-15 00:00:00+00:00,Montgomery,AL,1.9658871,5.153927,0.6573721,0.098995395,,
2000-01-16 00:00:00+00:00,Montgomery,AL,-0.3990207,4.2408986,-4.056759,0.0,,
2000-01-17 00:00:00+00:00,Montgomery,AL,-0.3639286,5.3278704,-4.77089,0.0,,
2000-01-18 00:00:00+00:00,Montgomery,AL,1.6711645,6.8148413,-2.0350208,0.0,,
2000-01-19 00:00:00+00:00,Montgomery,AL,0.3562567,4.6018124,-4.749151,0.0,,
2000-01-20 00:00:00+00:00,Montgomery,AL,1.7413489,6.5887833,-1.7632823,0.0,,
2000-01-21 00:00:00+00:00,Montgomery,AL,4.1264405,11.825754,-1.1774135,0.0,,
2000-01-22 00:00:00+00:00,Montgomery,AL,4.6615343,12.462724,-1.3915441,0.0,,
2000-01-23 00:00:00+00:00,Montgomery,AL,5.596625,14.499695,-0.55567527,0.0,,
2000-01-24 00:00:00+00:00,Montgomery,AL,7.9317174,16.136663,1.2301942,0.1936962,,
2000-01-25 00:00:00+00:00,Montgomery,AL,12.966809,21.673637,7.4160633,0.9661641,,
2000-01-26 00:00:00+00:00,Montgomery,AL,15.851901,18.360607,13.551932,13.686819,,
2000-01-27 00:00:00+00:00,Montgomery,AL,8.586994,14.397578,3.187801,0.19231404,,
2000-01-28 00:00:00+00:00,Montgomery,AL,9.272086,18.534552,3.2736704,0.0,,
2000-01-29 00:00:00+00:00,Montgomery,AL,15.457178,21.32152,11.80954,0.4785144,,
2000-01-30 00:00:00+00:00,Montgomery,AL,16.49227,20.758492,13.145409,1.0502552,,
2000-01-31 00:00:00+00:00,Montgomery,AL,19.877361,21.295462,18.081276,20.860601,,
2000-02-01 00:00:00+00:00,Montgomery,AL,6.6624537,17.832434,2.1171467,6.1770353,,
2000-02-02 00:00:00+00:00,Montgomery,AL,0.49754688,3.519404,-2.4969842,0.0,,
2000-02-03 00:00:00+00:00,Montgomery,AL,2.8326383,9.906376,-1.5111151,0.0,,
2000-02-04 00:00:00+00:00,Montgomery,AL,6.4177313,14.793346,0.17475435,0.0,,
2000-02-05 00:00:00+00:00,Montgomery,AL,7.9528236,15.380317,1.6106232,0.0,,
2000-02-06 00:00:00+00:00,Montgomery,AL,7.9879165,11.417289,4.7964926,29.965914,,
2000-02-07 00:00:00+00:00,Montgomery,AL,6.0730076,10.25426,2.032361,0.8434966,,
2000-02-08 00:00:00+00:00,Montgomery,AL,1.9581,7.1912303,-2.58177,0.0,,
2000-02-09 00:00:00+00:00,Montgomery,AL,7.593192,18.328201,0.55409944,0.0,,
2000-02-10 00:00:00+00:00,Montgomery,AL,-3.6717167,16.065172,-10.960032,12.473174,,
2000-02-11 00:00:00+00:00,Montgomery,AL,-6.236624,0.25214383,-10.524161,0.0,,
2000-02-12 00:00:00+00:00,Montgomery,AL,2.0484686,11.139114,-3.2882934,0.0,,
2000-02-13 00:00:00+00:00,Montgomery,AL,7.333561,12.876084,3.6975756,1.9415638,,
2000-02-14 00:00:00+00:00,Montgomery,AL,7.568653,10.113057,6.283445,9.040342,,
2000-02-15 00:00:00+00:00,Montgomery,AL,8.953745,12.500027,6.569314,1.8408499,,
2000-02-16 00:00:00+00:00,Montgomery,AL,15.638837,21.186998,12.005183,2.4796178,,
2000-02-17 00:00:00+00:00,Montgomery,AL,7.6239285,13.173969,3.4410524,5.223139,,
2000-02-18 00:00:00+00:00,Montgomery,AL,4.8090205,12.76094,-1.7230787,0.0,,
2000-02-19 00:00:00+00:00,Montgomery,AL,7.844114,17.39791,1.4127907,0.0,,
2000-02-20 00:00:00+00:00,Montgomery,AL,13.679207,22.334883,7.498659,1.3654433,,
2000-02-21 00:00:00+00:00,Montgomery,AL,17.0143,21.571852,13.184528,0.8174721,,
2000-02-22 00:00:00+00:00,Montgomery,AL,14.54939,21.758821,7.9203973,7.884981,,
2000-02-23 00:00:00+00:00,Montgomery,AL,1.9344814,7.745795,-2.5437331,0.090434775,,
2000-02-24 00:00:00+00:00,Montgomery,AL,4.4695745,12.582765,-1.2078643,0.0,,
2000-02-25 00:00:00+00:00,Montgomery,AL,9.454667,16.319736,4.628005,4.3220882,,
2000-02-26 00:00:00+00:00,Montgomery,AL,17.389757,21.106707,15.163875,3.5939767,,
2000-02-27 00:00:00+00:00,Montgomery,AL,20.42485,25.693678,17.049742,1.1655326,,
2000-02-28 00:00:00+00:00,Montgomery,AL,21.759943,23.080648,20.68561,1.5208935,,
2000-02-29 00:00:00+00:00,Montgomery,AL,21.745035,23.067617,20.67148,1.517646,,
