date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Olympia,WA,3.7522762,8.253772,0.93596303,2.5794332,,
2000-01-02 00:00:00+00:00,Olympia,WA,3.2544432,5.1145487,2.283223,16.456915,,
2000-01-03 00:00:00+00:00,Olympia,WA,1.711207,5.165468,-0.70308363,0.0,,
2000-01-04 00:00:00+00:00,Olympia,WA,0.5179708,4.8663883,-2.58939,0.0,,
2000-01-05 00:00:00+00:00,Olympia,WA,1.524734,7.5173078,-1.2256966,0.4311566,,
2000-01-06 00:00:00+00:00,Olympia,WA,2.7314982,7.668227,0.5879971,0.8629295,,
2000-01-07 00:00:00+00:00,Olympia,WA,1.6882621,4.469147,0.051690787,1.5112138,,
2000-01-08 00:00:00+00:00,Olympia,WA,1.5950253,4.420066,0.31538412,0.21604422,,
2000-01-09 00:00:00+00:00,Olympia,WA,-2.5482109,-0.5790137,-3.3709223,0.0,,
2000-01-10 00:00:00+00:00,Olympia,WA,-1.9914469,0.57190514,-3.9072287,0.0,,
2000-01-11 00:00:00+00:00,Olympia,WA,-3.8346832,0.42282537,-7.1935344,0.0,,
2000-01-12 00:00:00+00:00,Olympia,WA,-3.6279194,-0.47625527,-6.479841,3.033557,,
2000-01-13 00:00:00+00:00,Olympia,WA,3.0288439,2.0746634,2.433852,11.709654,,
2000-01-14 00:00:00+00:00,Olympia,WA,1.7356082,1.9755844,1.5475458,1.9530859,,
2000-01-15 00:00:00+00:00,Olympia,WA,0.6423719,3.2265031,-1.4387606,0.21717493,,
2000-01-16 00:00:00+00:00,Olympia,WA,2.4491355,3.9774234,0.8249328,1.7387335,,
2000-01-17 00:00:00+00:00,Olympia,WA,4.9558992,5.778343,3.688626,8.482882,,
2000-01-18 00:00:00+00:00,Olympia,WA,8.062663,9.829263,7.05232,35.264038,,
2000-01-19 00:00:00+00:00,Olympia,WA,6.4694266,9.530183,5.216014,10.021103,,
2000-01-20 00:00:00+00:00,Olympia,WA,9.326191,8.781102,8.329707,19.294977,,
2000-01-21 00:00:00+00:00,Olympia,WA,7.3329544,7.3820214,7.493401,4.800312,,
2000-01-22 00:00:00+00:00,Olympia,WA,9.839719,9.332941,9.107095,17.469685,,
2000-01-23 00:00:00+00:00,Olympia,WA,6.746482,8.933861,4.620788,8.960452,,
2000-01-24 00:00:00+00:00,Olympia,WA,2.2032454,7.68478,-0.36551848,1.2029909,,
2000-01-25 00:00:00+00:00,Olympia,WA,4.160009,4.9857006,4.198175,3.940292,,
2000-01-26 00:00:00+00:00,Olympia,WA,6.466773,9.33662,4.561869,17.965061,,
2000-01-27 00:00:00+00:00,Olympia,WA,9.373537,9.387539,8.425562,24.558088,,
2000-01-28 00:00:00+00:00,Olympia,WA,5.3803005,5.8384595,5.139256,12.508804,,
2000-01-29 00:00:00+00:00,Olympia,WA,2.287064,5.4393787,0.45294937,2.7454796,,
2000-01-30 00:00:00+00:00,Olympia,WA,-4.6061716,1.4902972,-6.2333565,0.43965122,,
2000-01-31 00:00:00+00:00,Olympia,WA,-2.1494086,0.5412184,-3.7696636,0.88005775,,
2000-02-01 00:00:00+00:00,Olympia,WA,4.557355,4.992137,3.54403,17.286085,,
2000-02-02 00:00:00+00:00,Olympia,WA,7.214119,7.8430576,6.8577237,10.909651,,
2000-02-03 00:00:00+00:00,Olympia,WA,3.4708827,8.843978,0.57141745,1.2132494,,
2000-02-04 00:00:00+00:00,Olympia,WA,5.0276465,9.094896,2.2351108,2.980615,,
2000-02-05 00:00:00+00:00,Olympia,WA,6.2344103,8.195816,5.1988044,4.7511444,,
2000-02-06 00:00:00+00:00,Olympia,WA,8.291174,8.296736,8.862498,0.66354716,,
2000-02-07 00:00:00+00:00,Olympia,WA,6.8479376,6.547655,7.376192,3.4314375,,
2000-02-08 00:00:00+00:00,Olympia,WA,5.8547015,8.498574,4.339885,1.9942696,,
2000-02-09 00:00:00+00:00,Olympia,WA,5.511465,9.499495,3.6035786,1.3307387,,
2000-02-10 00:00:00+00:00,Olympia,WA,5.5682287,10.100414,1.1672724,0.33299387,,
2000-02-11 00:00:00+00:00,Olympia,WA,3.1249924,9.701334,0.7809658,0.0,,
2000-02-12 00:00:00+00:00,Olympia,WA,1.881756,4.9022536,-1.0553406,0.0,,
2000-02-13 00:00:00+00:00,Olympia,WA,0.5885203,4.653173,-3.0416467,0.0,,
2000-02-14 00:00:00+00:00,Olympia,WA,-0.65471613,3.904092,-4.4779534,0.0,,
2000-02-15 00:00:00+00:00,Olympia,WA,1.8020473,5.2550116,-0.36425987,1.226801,,
2000-02-16 00:00:00+00:00,Olympia,WA,0.5588112,8.505932,-5.150566,0.0,,
2000-02-17 00:00:00+00:00,Olympia,WA,3.015575,8.55685,-0.08687249,0.67047596,,
2000-02-18 00:00:00+00:00,Olympia,WA,5.872339,7.1077714,3.3768208,8.389261,,
2000-02-19 00:00:00+00:00,Olympia,WA,3.9791024,5.4586906,3.5405145,13.436242,,
2000-02-20 00:00:00+00:00,Olympia,WA,-0.6141335,5.0596104,-3.595792,0.8966529,,
2000-02-21 00:00:00+00:00,Olympia,WA,-3.3573701,0.060530335,-6.3820977,0.560978,,
2000-02-22 00:00:00+00:00,Olympia,WA,3.4993937,6.01145,2.1315954,5.7278438,,
2000-02-23 00:00:00+00:00,Olympia,WA,4.4561577,7.612369,2.8452888,4.721926,,
2000-02-24 00:00:00+00:00,Olympia,WA,3.3129206,7.5132895,0.5589825,4.6143074,,
2000-02-25 00:00:00+00:00,Olympia,WA,3.2696846,7.2142086,1.2726759,5.1824746,,
2000-02-26 00:00:00+00:00,Olympia,WA,-0.27355185,7.015127,-4.9136305,0.0,,
2000-02-27 00:00:00+00:00,Olympia,WA,-1.666788,3.3160462,-3.8499367,0.0,,
2000-02-28 00:00:00+00:00,Olympia,WA,-3.7600238,0.36696765,-7.2862425,0.0,,
2000-02-29 00:00:00+00:00,Olympia,WA,-3.7032602,1.167886,-7.272549,0.0,,
2000-03-01 00:00:00+00:00,Olympia,WA,-0.046497136,4.1188064,-2.4588563,0.6796318,,
2000-03-02 00:00:00+00:00,Olympia,WA,1.4102669,4.569726,-1.2951623,4.309104,,
2000-03-03 00:00:00+00:00,Olympia,WA,0.91173744,4.453911,-1.9759678,2.2681634,,
2000-03-04 00:00:00+00:00,Olympia,WA,-1.2899691,3.1780539,-4.653472,0.0,,
2000-03-05 00:00:00+00:00,Olympia,WA,0.7083256,7.052198,-2.9309762,9.856132,,
2000-03-06 00:00:00+00:00,Olympia,WA,2.356619,7.026341,-1.1584805,6.340773,,
