date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Salem,OR,3.534656,10.860837,1.0224978,0.6452149,,
2000-01-02 00:00:00+00:00,Salem,OR,4.0884233,5.3185906,2.474947,10.239394,,
2000-01-03 00:00:00+00:00,Salem,OR,1.6521809,5.029351,-0.759972,0.2767888,,
2000-01-04 00:00:00+00:00,Salem,OR,2.165939,9.090111,-1.4948908,0.0,,
2000-01-05 00:00:00+00:00,Salem,OR,2.5296972,9.400871,-2.1298099,0.09229556,,
2000-01-06 00:00:00+00:00,Salem,OR,4.8434553,8.561631,2.235271,1.6616168,,
2000-01-07 00:00:00+00:00,Salem,OR,3.4572136,7.6723914,0.050352335,2.6775317,,
2000-01-08 00:00:00+00:00,Salem,OR,0.47097173,6.0331516,-2.1345668,1.5698718,,
2000-01-09 00:00:00+00:00,Salem,OR,-3.265269,-0.1060881,-5.619486,0.0,,
2000-01-10 00:00:00+00:00,Salem,OR,-2.3515115,1.1546713,-5.954405,0.0,,
2000-01-11 00:00:00+00:00,Salem,OR,-1.2377527,2.7154317,-4.3393235,0.0,,
2000-01-12 00:00:00+00:00,Salem,OR,-1.0739945,2.726192,-4.5742426,1.1089633,,
2000-01-13 00:00:00+00:00,Salem,OR,3.3397636,6.436952,1.8908386,16.082989,,
2000-01-14 00:00:00+00:00,Salem,OR,1.9535218,6.7477126,-1.3940803,2.2187634,,
2000-01-15 00:00:00+00:00,Salem,OR,2.9672804,7.008473,0.12100059,0.0,,
2000-01-16 00:00:00+00:00,Salem,OR,4.181039,9.869233,0.7860818,0.18496776,,
2000-01-17 00:00:00+00:00,Salem,OR,7.444797,10.179993,5.1511626,4.9950957,,
2000-01-18 00:00:00+00:00,Salem,OR,10.208555,10.640752,9.1662445,17.948845,,
2000-01-19 00:00:00+00:00,Salem,OR,7.622313,9.651512,5.981325,8.050805,,
2000-01-20 00:00:00+00:00,Salem,OR,9.536072,10.512273,8.746406,3.9799213,,
2000-01-21 00:00:00+00:00,Salem,OR,6.64983,10.223032,5.261487,2.777243,,
2000-01-22 00:00:00+00:00,Salem,OR,8.213588,10.183792,6.3265676,22.037222,,
2000-01-23 00:00:00+00:00,Salem,OR,7.977346,10.244553,5.991649,17.503689,,
2000-01-24 00:00:00+00:00,Salem,OR,5.6411047,7.4553127,3.3067305,12.690449,,
2000-01-25 00:00:00+00:00,Salem,OR,3.9548638,7.316072,1.4718113,4.539852,,
2000-01-26 00:00:00+00:00,Salem,OR,8.668621,10.226832,7.136892,6.579516,,
2000-01-27 00:00:00+00:00,Salem,OR,9.432379,10.237593,8.451973,6.951644,,
2000-01-28 00:00:00+00:00,Salem,OR,5.7461376,9.048353,4.1170545,12.6083,,
2000-01-29 00:00:00+00:00,Salem,OR,3.509896,6.0091133,1.0321352,1.6690991,,
2000-01-30 00:00:00+00:00,Salem,OR,1.0236541,4.7198725,-0.55278337,2.4114363,,
