date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Salt Lake City,UT,1.1753598,4.2662454,-0.94722664,0.0,,
2000-01-02 00:00:00+00:00,Salt Lake City,UT,2.064457,4.494117,-0.4466585,0.0,,
2000-01-03 00:00:00+00:00,Salt Lake City,UT,2.5387564,5.020293,-0.32393909,0.0,,
2000-01-04 00:00:00+00:00,Salt Lake City,UT,3.0630555,5.8464694,0.64878035,0.0,,
2000-01-05 00:00:00+00:00,Salt Lake City,UT,3.7873545,7.0226455,1.6214992,1.8535903,,
2000-01-06 00:00:00+00:00,Salt Lake City,UT,1.1616539,4.0488214,-1.1557804,0.92795324,,
2000-01-07 00:00:00+00:00,Salt Lake City,UT,-0.9640466,2.9249983,-4.283061,0.0,,
2000-01-08 00:00:00+00:00,Salt Lake City,UT,-2.6397476,2.8011742,-7.110342,3.4420283,,
2000-01-09 00:00:00+00:00,Salt Lake City,UT,-4.5154486,-2.2726493,-7.0876226,1.6765997,,
2000-01-10 00:00:00+00:00,Salt Lake City,UT,-14.1411495,-5.246474,-19.164904,0.0,,
2000-01-11 00:00:00+00:00,Salt Lake City,UT,-18.266851,-13.3702965,-23.192184,0.0,,
2000-01-12 00:00:00+00:00,Salt Lake City,UT,-16.992552,-10.744121,-21.969465,0.0,,
2000-01-13 00:00:00+00:00,Salt Lake City,UT,-9.468252,-3.0179439,-14.546744,0.28084132,,
2000-01-14 00:00:00+00:00,Salt Lake City,UT,-3.543953,0.8582319,-6.9740252,3.8430035,,
2000-01-15 00:00:00+00:00,Salt Lake City,UT,-5.2196536,-1.0655919,-8.601306,0.0,,
2000-01-16 00:00:00+00:00,Salt Lake City,UT,-10.595354,-5.2394156,-15.478586,0.09396869,,
2000-01-17 00:00:00+00:00,Salt Lake City,UT,-9.821055,-4.5632396,-14.855869,0.0,,
2000-01-18 00:00:00+00:00,Salt Lake City,UT,-6.346756,4.112937,-13.583149,0.0,,
2000-01-19 00:00:00+00:00,Salt Lake City,UT,-0.072456956,4.189113,-3.6104288,2.2638278,,
2000-01-20 00:00:00+00:00,Salt Lake City,UT,-2.7481575,1.9652895,-7.9377093,0.18889177,,
2000-01-21 00:00:00+00:00,Salt Lake City,UT,-0.7738589,3.3914661,-4.1649895,0.0,,
2000-01-22 00:00:00+00:00,Salt Lake City,UT,-0.6495596,3.667642,-4.4922705,0.0,,
2000-01-23 00:00:00+00:00,Salt Lake City,UT,2.2247396,6.443818,-1.1695515,0.9480678,,
2000-01-24 00:00:00+00:00,Salt Lake City,UT,4.5990386,6.969995,1.203168,3.8920333,,
2000-01-25 00:00:00+00:00,Salt Lake City,UT,-1.6766621,3.2461705,-5.274112,1.4257324,,
2000-01-26 00:00:00+00:00,Salt Lake City,UT,2.147637,5.3223476,-2.4513927,0.9517028,,
