date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Topeka,KS,-1.3800029,9.05808,-8.053031,0.0,,
2000-01-02 00:00:00+00:00,Topeka,KS,4.0910926,8.630097,-0.93545043,0.0,,
2000-01-03 00:00:00+00:00,Topeka,KS,2.0915172,8.719923,-3.8801286,0.0,,
2000-01-04 00:00:00+00:00,Topeka,KS,-1.3080584,6.0597486,-5.274807,0.0,,
2000-01-05 00:00:00+00:00,Topeka,KS,0.79236615,7.8995733,-3.619485,0.0,,
2000-01-06 00:00:00+00:00,Topeka,KS,5.8927903,11.039398,2.5358365,0.0,,
2000-01-07 00:00:00+00:00,Topeka,KS,-0.50678504,6.379224,-4.108842,0.16115664,,
2000-01-08 00:00:00+00:00,Topeka,KS,-2.0563605,0.6690494,-3.6035202,9.967987,,
2000-01-09 00:00:00+00:00,Topeka,KS,-0.505936,1.308874,-1.6481978,4.17041,,
2000-01-10 00:00:00+00:00,Topeka,KS,-4.1055117,-0.05130087,-8.142877,16.163591,,
2000-01-11 00:00:00+00:00,Topeka,KS,-12.755088,-6.7614756,-17.587553,15.009834,,
2000-01-12 00:00:00+00:00,Topeka,KS,-19.504662,-14.971651,-23.882233,0.15933079,,
2000-01-13 00:00:00+00:00,Topeka,KS,-13.054238,-6.6318254,-17.376911,0.0,,
2000-01-14 00:00:00+00:00,Topeka,KS,-16.003813,-13.392001,-17.821589,2.5385203,,
2000-01-15 00:00:00+00:00,Topeka,KS,-19.503387,-9.652175,-26.966267,0.15833202,,
2000-01-16 00:00:00+00:00,Topeka,KS,-11.502965,-8.71235,-14.110947,0.0,,
2000-01-17 00:00:00+00:00,Topeka,KS,-5.2525406,1.8774748,-13.055625,0.0,,
2000-01-18 00:00:00+00:00,Topeka,KS,-10.402116,-1.1827,-15.350303,0.0,,
2000-01-19 00:00:00+00:00,Topeka,KS,-4.9016914,4.807125,-15.094981,0.0,,
2000-01-20 00:00:00+00:00,Topeka,KS,1.7487329,4.796951,-1.4896592,0.0,,
2000-01-21 00:00:00+00:00,Topeka,KS,-2.1008427,5.3367753,-8.484338,0.0,,
2000-01-22 00:00:00+00:00,Topeka,KS,1.2495817,4.3266006,-1.429016,0.0,,
2000-01-23 00:00:00+00:00,Topeka,KS,2.2000062,5.1664257,0.42630625,0.0,,
2000-01-24 00:00:00+00:00,Topeka,KS,4.200431,5.906251,3.1316283,0.0,,
2000-01-25 00:00:00+00:00,Topeka,KS,5.0508547,8.396075,2.6369498,2.020629,,
2000-01-26 00:00:00+00:00,Topeka,KS,2.5012798,6.985901,-0.20772873,0.0,,
2000-01-27 00:00:00+00:00,Topeka,KS,2.801704,8.125727,-0.55240667,0.309842,,
2000-01-28 00:00:00+00:00,Topeka,KS,7.902128,13.115552,3.852915,0.0,,
2000-01-29 00:00:00+00:00,Topeka,KS,0.50255287,11.255376,-5.9417634,0.3088572,,
2000-01-30 00:00:00+00:00,Topeka,KS,-5.597022,-2.804798,-7.9864426,1.2335153,,
2000-01-31 00:00:00+00:00,Topeka,KS,-14.046598,-3.2149737,-19.73112,0.15395467,,
2000-02-01 00:00:00+00:00,Topeka,KS,-16.896173,-8.625148,-20.775799,0.0,,
2000-02-02 00:00:00+00:00,Topeka,KS,-5.9457493,0.91467726,-9.770477,0.1534982,,
2000-02-03 00:00:00+00:00,Topeka,KS,1.2046752,4.4545026,-0.565155,2.7589717,,
2000-02-04 00:00:00+00:00,Topeka,KS,1.1050996,4.4443274,-2.0098326,0.0,,
2000-02-05 00:00:00+00:00,Topeka,KS,1.1055242,3.6341517,-0.8045114,0.91706496,,
2000-02-06 00:00:00+00:00,Topeka,KS,-2.7940514,3.523978,-6.5491896,0.15263388,,
2000-02-07 00:00:00+00:00,Topeka,KS,-9.643626,-2.7361972,-13.6438675,0.15242732,,
2000-02-08 00:00:00+00:00,Topeka,KS,2.0067976,9.253628,-3.5885458,0.0,,
2000-02-09 00:00:00+00:00,Topeka,KS,-14.392779,2.2934532,-23.583225,8.817445,,
2000-02-10 00:00:00+00:00,Topeka,KS,-22.242352,-10.916722,-26.627901,0.0,,
2000-02-11 00:00:00+00:00,Topeka,KS,-6.391929,0.5231031,-11.322581,0.0,,
2000-02-12 00:00:00+00:00,Topeka,KS,-9.041505,0.31292832,-13.017259,0.7572337,,
2000-02-13 00:00:00+00:00,Topeka,KS,-14.391081,-10.397247,-17.311937,0.0,,
2000-02-14 00:00:00+00:00,Topeka,KS,-12.840655,-6.907422,-16.556616,0.0,,
2000-02-15 00:00:00+00:00,Topeka,KS,-6.2402315,3.1324039,-10.301293,0.60358846,,
2000-02-16 00:00:00+00:00,Topeka,KS,-2.239807,3.372229,-5.795972,0.15071987,,
2000-02-17 00:00:00+00:00,Topeka,KS,-1.4393824,6.5120535,-6.940651,0.0,,
2000-02-18 00:00:00+00:00,Topeka,KS,5.4610424,10.75188,2.0146713,0.0,,
2000-02-19 00:00:00+00:00,Topeka,KS,7.1614666,12.341704,2.8199933,0.0,,
2000-02-20 00:00:00+00:00,Topeka,KS,8.96189,17.58153,1.725315,0.30007786,,
2000-02-21 00:00:00+00:00,Topeka,KS,-2.387684,15.2213545,-11.719363,1.4987534,,
2000-02-22 00:00:00+00:00,Topeka,KS,-14.937261,-9.238822,-19.014042,0.0,,
2000-02-23 00:00:00+00:00,Topeka,KS,-5.2868357,6.001004,-11.058721,0.0,,
2000-02-24 00:00:00+00:00,Topeka,KS,2.263589,6.0408297,-0.70339835,0.5975988,,
