date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Toronto,ON,-13.740146,-0.6460399,-19.372103,5.4617662,,
2000-01-02 00:00:00+00:00,Toronto,ON,-6.7706447,0.22539525,-16.703129,1.9938769,,
2000-01-03 00:00:00+00:00,Toronto,ON,-4.589689,0.7581876,-10.523048,0.3973507,,
2000-01-04 00:00:00+00:00,Toronto,ON,-12.308734,-10.75902,-14.292966,8.578524,,
2000-01-05 00:00:00+00:00,Toronto,ON,-7.6777773,-4.0762277,-11.212884,0.26301265,,
2000-01-06 00:00:00+00:00,Toronto,ON,-1.6968217,2.7065644,-5.032799,3.669045,,
2000-01-07 00:00:00+00:00,Toronto,ON,-0.9658658,3.2893567,-8.3527155,4.047678,,
2000-01-08 00:00:00+00:00,Toronto,ON,-13.484911,-9.877851,-17.672632,0.0,,
2000-01-09 00:00:00+00:00,Toronto,ON,-9.903955,-5.8450584,-12.192551,1.0371352,,
2000-01-10 00:00:00+00:00,Toronto,ON,-5.4229994,-1.6122661,-7.762468,1.291806,,
2000-01-11 00:00:00+00:00,Toronto,ON,-0.6420433,0.47052628,-2.3823848,23.684698,,
2000-01-12 00:00:00+00:00,Toronto,ON,-7.711088,-3.546682,-10.452302,2.6935368,,
2000-01-13 00:00:00+00:00,Toronto,ON,-14.230132,-11.363889,-17.322216,0.0,,
2000-01-14 00:00:00+00:00,Toronto,ON,-13.049176,-11.381097,-15.242136,0.12735423,,
2000-01-15 00:00:00+00:00,Toronto,ON,-20.16822,-16.848305,-23.012053,0.0,,
2000-01-16 00:00:00+00:00,Toronto,ON,-14.987266,-11.865513,-16.53197,0.0,,
2000-01-17 00:00:00+00:00,Toronto,ON,-13.5063095,-9.782721,-15.601886,1.134035,,
2000-01-18 00:00:00+00:00,Toronto,ON,-19.475353,-12.549928,-26.171803,0.25111493,,
2000-01-19 00:00:00+00:00,Toronto,ON,-26.894398,-21.967134,-30.34172,0.0,,
2000-01-20 00:00:00+00:00,Toronto,ON,-6.9134426,0.8156566,-21.511637,0.0,,
2000-01-21 00:00:00+00:00,Toronto,ON,-6.332488,-0.351551,-9.431555,0.0,,
2000-01-22 00:00:00+00:00,Toronto,ON,-7.651532,-1.9187591,-10.901472,0.74273753,,
