date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Trenton,NJ,-4.25685,0.35027143,-8.242737,0.46698248,,
2000-01-02 00:00:00+00:00,Trenton,NJ,-6.3992033,0.7723488,-11.043625,0.37330338,,
2000-01-03 00:00:00+00:00,Trenton,NJ,-0.70133954,4.67692,-4.1522565,0.0,,
2000-01-04 00:00:00+00:00,Trenton,NJ,-1.6034749,0.13149163,-2.6108878,0.6523781,,
2000-01-05 00:00:00+00:00,Trenton,NJ,-3.155611,-0.7139371,-6.5695186,1.1175917,,
2000-01-06 00:00:00+00:00,Trenton,NJ,-1.3577464,5.1906347,-5.57815,0.0,,
2000-01-07 00:00:00+00:00,Trenton,NJ,3.4401174,6.2452064,2.213219,0.5580283,,
2000-01-08 00:00:00+00:00,Trenton,NJ,-4.3120184,1.699778,-7.145413,0.0,,
2000-01-09 00:00:00+00:00,Trenton,NJ,-5.9641542,-2.5956507,-8.404044,0.55726475,,
2000-01-10 00:00:00+00:00,Trenton,NJ,-2.71629,-0.29107907,-4.7126756,2.0419097,,
2000-01-11 00:00:00+00:00,Trenton,NJ,6.331574,10.413492,0.078694075,26.526749,,
2000-01-12 00:00:00+00:00,Trenton,NJ,2.8794382,7.9180636,0.5200626,0.0,,
2000-01-13 00:00:00+00:00,Trenton,NJ,-2.8226972,0.27263567,-5.538569,0.0,,
2000-01-14 00:00:00+00:00,Trenton,NJ,-4.124833,0.62720674,-7.0972,0.0,,
2000-01-15 00:00:00+00:00,Trenton,NJ,-7.0769687,-3.1682212,-9.305832,0.27749914,,
2000-01-16 00:00:00+00:00,Trenton,NJ,-7.1291046,-2.9636497,-9.714463,0.0,,
2000-01-17 00:00:00+00:00,Trenton,NJ,-5.2312407,2.2409215,-9.923094,0.0,,
2000-01-18 00:00:00+00:00,Trenton,NJ,-3.4333763,-0.45450643,-7.8817253,0.09231308,,
2000-01-19 00:00:00+00:00,Trenton,NJ,-13.585512,-9.299935,-18.140358,0.18450241,,
2000-01-20 00:00:00+00:00,Trenton,NJ,-9.237649,-1.0953634,-14.698988,0.0,,
2000-01-21 00:00:00+00:00,Trenton,NJ,-1.0897841,4.009208,-4.707619,0.0,,
2000-01-22 00:00:00+00:00,Trenton,NJ,-2.74192,3.21378,-7.86625,0.0,,
2000-01-23 00:00:00+00:00,Trenton,NJ,-1.1440556,1.2683506,-4.3748813,0.0,,
2000-01-24 00:00:00+00:00,Trenton,NJ,0.90380853,8.7729225,-4.133513,0.09194421,,
2000-01-25 00:00:00+00:00,Trenton,NJ,4.2016726,8.077494,0.857856,0.0,,
2000-01-26 00:00:00+00:00,Trenton,NJ,5.6495366,12.982065,1.6992252,0.0,,
2000-01-27 00:00:00+00:00,Trenton,NJ,4.197401,8.186637,-0.70940715,4.7716203,,
2000-01-28 00:00:00+00:00,Trenton,NJ,-3.7547348,1.3412089,-8.268038,0.09170147,,
2000-01-29 00:00:00+00:00,Trenton,NJ,3.9431295,7.9957805,0.37333056,0.6414884,,
2000-01-30 00:00:00+00:00,Trenton,NJ,4.440994,5.650352,3.5146995,0.8242295,,
2000-01-31 00:00:00+00:00,Trenton,NJ,9.338858,17.604921,3.5060685,5.3997436,,
2000-02-01 00:00:00+00:00,Trenton,NJ,7.2867217,16.709496,3.447437,24.968924,,
2000-02-02 00:00:00+00:00,Trenton,NJ,-3.6654136,3.4640665,-7.111194,2.3764415,,
2000-02-03 00:00:00+00:00,Trenton,NJ,-8.21755,-5.031362,-12.219826,0.0,,
2000-02-04 00:00:00+00:00,Trenton,NJ,-1.9696853,6.07321,-6.428457,0.45641357,,
2000-02-05 00:00:00+00:00,Trenton,NJ,1.3281786,6.277781,-3.0370877,0.36489403,,
2000-02-06 00:00:00+00:00,Trenton,NJ,2.3760428,8.382353,-2.2957191,0.0,,
2000-02-07 00:00:00+00:00,Trenton,NJ,5.123907,7.086924,3.2456496,7.835078,,
