date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Victoria,BC,5.715169,5.8716097,4.7631273,6.2643886,,
2000-01-02 00:00:00+00:00,Victoria,BC,3.0693934,4.1305504,1.4647067,3.8937938,,
2000-01-03 00:00:00+00:00,Victoria,BC,1.0696461,3.467498,-1.2253573,0.0,,
2000-01-04 00:00:00+00:00,Victoria,BC,0.56989914,2.0044458,-1.3154213,0.0,,
2000-01-05 00:00:00+00:00,Victoria,BC,3.5701523,5.191394,2.3945148,1.7684696,,
2000-01-06 00:00:00+00:00,Victoria,BC,2.4704056,4.9783406,2.0544512,0.084065765,,
2000-01-07 00:00:00+00:00,Victoria,BC,2.8206587,3.6152887,3.2643871,2.43361,,
2000-01-08 00:00:00+00:00,Victoria,BC,0.7209112,3.7522368,-1.7256765,0.0,,
2000-01-09 00:00:00+00:00,Victoria,BC,-2.8788357,-1.7608156,-3.6157405,0.0,,
2000-01-10 00:00:00+00:00,Victoria,BC,-1.6285827,-1.5238676,-1.5058045,0.0,,
2000-01-11 00:00:00+00:00,Victoria,BC,-1.5783296,-1.4369197,-1.7458682,0.0,,
2000-01-12 00:00:00+00:00,Victoria,BC,-1.8780761,-0.8499711,-2.7859325,1.5800399,,
2000-01-13 00:00:00+00:00,Victoria,BC,1.6221766,1.686976,1.4240038,2.8221714,,
2000-01-14 00:00:00+00:00,Victoria,BC,1.2224298,1.7239234,0.43394,0.08284891,,
2000-01-15 00:00:00+00:00,Victoria,BC,2.1726828,2.3108714,1.1438761,0.082691595,,
2000-01-16 00:00:00+00:00,Victoria,BC,3.9729357,5.847819,3.3538117,0.66026455,,
2000-01-17 00:00:00+00:00,Victoria,BC,6.7731886,7.134767,6.013748,11.532267,,
2000-01-18 00:00:00+00:00,Victoria,BC,8.3234415,7.671715,7.4736843,17.67566,,
2000-01-19 00:00:00+00:00,Victoria,BC,4.0736947,6.508663,3.5336204,3.1179059,,
2000-01-20 00:00:00+00:00,Victoria,BC,7.8239474,7.595611,6.1935563,9.335082,,
2000-01-21 00:00:00+00:00,Victoria,BC,6.3242006,7.4325585,5.403493,3.5957656,,
2000-01-22 00:00:00+00:00,Victoria,BC,9.3744545,8.369507,9.113428,12.314942,,
2000-01-23 00:00:00+00:00,Victoria,BC,7.124707,8.356455,5.5733647,4.069428,,
2000-01-24 00:00:00+00:00,Victoria,BC,4.1749597,7.5934024,2.1333008,1.4619585,,
2000-01-25 00:00:00+00:00,Victoria,BC,3.5252132,5.63035,2.4432368,1.6209983,,
2000-01-26 00:00:00+00:00,Victoria,BC,4.575466,5.9172983,3.553173,7.2790723,,
2000-01-27 00:00:00+00:00,Victoria,BC,8.525719,8.004246,7.7631087,16.78682,,
2000-01-28 00:00:00+00:00,Victoria,BC,3.3759723,4.691194,3.1230454,1.046913,,
2000-01-29 00:00:00+00:00,Victoria,BC,0.92622507,3.7281418,-0.91701835,1.6071253,,
2000-01-30 00:00:00+00:00,Victoria,BC,-7.3735213,-1.7849102,-10.6570835,0.16035871,,
2000-01-31 00:00:00+00:00,Victoria,BC,-4.5232687,-2.5979624,-5.6971464,0.8000102,,
2000-02-01 00:00:00+00:00,Victoria,BC,2.8769846,3.1389856,0.76278955,6.864625,,
