year,month,city,state_or_province,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,megatonnes CO2,date,Population,Area(km^2),Population Density,GDP per Capita
2011,1,Albany,NY,9.4,-25.7,58.599999999999994,24.1,1.2612704927706522,2011-01-01,304627,55,5538.672727272728,49028
2011,1,Annapolis,MD,11.1,-9.3,62.5,33.6,0.2018051900180989,2011-01-01,38517,17,2265.705882352941,55773
2011,1,Atlanta,GA,19.2,-11.2,57.1,29.8,3.038064461581823,2011-01-01,437863,346,1265.5,63665
2011,1,Augusta,ME,7,-25.8,65.10000000000001,32,0.1155238269486249,2011-01-01,18992,143,132.8111888111888,39503
2011,1,Austin,TX,24.7,-2.8,83.7,32.8,5.943560253135131,2011-01-01,828569,790,1048.8215189873415,52461
2011,1,Baton Rouge,LA,20.6,-3.7,109.4,25.9,2.1092460621396625,2011-01-01,229290.7,199,1152.2145728643216,54439
2011,1,Bismarck,ND,1.7,-25.2,25.2,49.3,0.6236203957318492,2011-01-01,62784,70,896.9142857142857,45274
2011,1,Boise,ID,11.2,-18.2,48.7,30.1,1.268290002,2011-01-01,212685,165,1289,39343
2011,1,Boston,MA,10.6,-22.7,113.7,41.6,2.919270036447612,2011-01-01,630620,232,2718.189655172414,54764
2011,1,Carson City,NV,12.4,-9.8,15.9,12.1,0.353375216,2011-01-01,54687,371,147.4043126684636,53795
2011,1,Charleston,WV,13.8,-15.6,71.8,23.1,0.3122474539651285,2011-01-01,50939,82,621.2073170731708,58189
2011,1,Charlottetown,PE,5.1,-17.2,101.1,59.2,0.1710567216832849,2011-01-01,34562,44.29,780.3567396703545,27492.968679608824
2011,1,Cheyenne,WY,12.9,-22.7,7.5,47.1,0.8684835882804373,2011-01-01,60180,55,1094.1818181818182,51854
2011,1,Columbia,SC,21.8,-8.1,42.9,28.6,0.8833840876891605,2011-01-01,131463,324,405.75,40972
2011,1,Columbus,OH,11.5,-27.1,38.6,25.9,4.2324418996536615,2011-01-01,800677,545,1469.132110091743,51411
2011,1,Concord,NH,10.5,-25.1,72,26.3,0.2279731908089347,2011-01-01,42573,167,254.92814371257484,49088
2011,1,Denver,CO,16.2,-26,26.1,24.1,3.519993096810129,2011-01-01,620250,397,1562.3425692695214,53542
2011,1,Des Moines,IA,4.3,-24.5,26.700000000000003,33.5,1.4100641098248634,2011-01-01,207967,196,1061.0561224489795,38352
2011,1,Dover,DE,13.5,-9,76,31.4,0.2173148247718345,2011-01-01,36303,58,625.9137931034483,35515
2011,1,Edmonton,AB,3.5,-32.5,51.699999999999996,39.3,5.852702087538843,2011-01-01,812201,765.61,1060.854743276603,53499.14574524365
2011,1,Frankfort,KY,12.5,-19.8,56.4,23.6,0.1203027096758249,2011-01-01,16310,38,429.2105263157895,42495
2011,1,Fredericton,NB,6.9,-24.2,63.9,29.3,0.3090739522060307,2011-01-01,56224,130.7,430.1759755164499,30110.93287771412
2011,1,Halifax,NS,7.2,-16.5,116.4,38.4,1.9638892691703889,2011-01-01,390328,5475.57,71.28536389818777,28810.28957968337
2011,1,Harrisburg,PA,11.3,-15.5,33.7,26.6,0.2489378591407552,2011-01-01,49421,21,2353.3809523809523,54627
2011,1,Hartford,CT,10.5,-22.9,91.2,24.2,0.5547839429865808,2011-01-01,125434,45,2787.4222222222224,52406
2011,1,Helena,MT,5.5,-25.1,16.6,23.1,0.2380923490067431,2011-01-01,29320,36,814.4444444444445,38152
2011,1,Honolulu,HI,25.6,18.3,63.9,47.2,7.802924371888051,2011-01-01,967510,177,5466.158192090396,46267
2011,1,Indianapolis,IN,12.7,-22.1,35.6,24.2,5.114269879771324,2011-01-01,827164.7,936,883.7229701,57401
2011,1,Jackson,MS,20.8,-5.1,122.39999999999999,24.2,1.3235283248014618,2011-01-01,175166,272,643.9926470588235,38211
2011,1,Jefferson City,MO,9.6,-19.3,23.7,26,0.2842689595147691,2011-01-01,43354,71,610.6197183098592,39951
2011,1,Juneau,AK,3.5,-23.6,258.8,17.5,0.6165220697295162,2011-01-01,32165,7036,4.571489482660603,58152
2011,1,Lansing,MI,11.8,-24.2,26.6,27.1,0.5832384770819987,2011-01-01,114577,91,1259.0879120879122,34188
2011,1,Lincoln,NE,7.8,-21.8,33.6,41.6,2.041955806,2011-01-01,262731,193,1361.300518134715,48937
2011,1,Little Rock,AR,21.2,-9.7,29.5,21.4,1.3102053172325725,2011-01-01,195329,301,648.9335548172758,38639
2011,1,Madison,WI,0,-26.9,25.2,32.2,1.2213660639610746,2011-01-01,237198,178,1332.573033707865,59888
2011,1,Montgomery,AL,20.7,-4.4,91.10000000000001,27.4,1.376380266,2011-01-01,205223,414,495.70772946859904,36205
2011,1,Montpelier,VT,7.8,-30.9,47.7,21.9,0.042637184,2011-01-01,7835,26,301.34615384615387,43756
2011,1,Nashville,TN,16.5,-8.2,71.4,26,4.027753625140866,2011-01-01,610044.5,1362,447.9034508076358,50693
2011,1,Oklahoma City,OK,22.9,-10,6.3999999999999995,29.4,4.855837318797649,2011-01-01,591042,1607,367.7921593030492,44874
2011,1,Olympia,WA,13.4,-3.9,145.5,26,0.2697641026696785,2011-01-01,47719,43,1109.7441860465117,36080
2011,1,Phoenix,AZ,23.7,-3,0.6,27.1,8.000556702079168,2011-01-01,1469770,1341,1096.0253542132737,36767
