date,city,megatonnes CO2,year,month
2011-01-01,Juneau,0.6165220697295162,2011,1
2011-02-01,Juneau,0.6138691062106847,2011,2
2011-03-01,Juneau,0.6114546948662932,2011,3
2011-04-01,Juneau,0.6088057091715317,2011,4
2011-05-01,Juneau,0.6062375311417082,2011,5
2011-06-01,Juneau,0.6035925543570604,2011,6
2011-07-01,Juneau,0.6010283213464411,2011,7
2011-08-01,Juneau,0.5983873314631273,2011,8
2011-09-01,Juneau,0.5957483399714948,2011,9
2011-10-01,Juneau,0.5931899969077518,2011,10
2011-11-01,Juneau,0.5905549595575904,2011,11
2011-12-01,Juneau,0.5880005074276508,2011,12
2012-01-01,Juneau,0.5831456826813198,2012,1
2012-02-01,Juneau,0.5783424209189303,2012,2
2012-03-01,Juneau,0.5738421715173212,2012,3
2012-04-01,Juneau,0.5690439123690589,2012,4
2012-05-01,Juneau,0.5643983438051868,2012,5
2012-06-01,Juneau,0.5596051005974707,2012,6
2012-07-01,Juneau,0.5549644618553338,2012,7
2012-08-01,Juneau,0.5501762107413396,2012,8
2012-09-01,Juneau,0.5453904652347323,2012,9
2012-10-01,Juneau,0.5407571955695146,2012,10
2012-11-01,Juneau,0.5359764066108501,2012,11
2012-12-01,Juneau,0.5313480081501474,2012,12
2013-01-01,Juneau,0.5269495784131678,2013,1
2013-02-01,Juneau,0.5225422261302862,2013,2
2013-03-01,Juneau,0.5185499962654807,2013,3
2013-04-01,Juneau,0.5141470725031104,2013,4
2013-05-01,Juneau,0.5098839624542595,2013,5
2013-06-01,Juneau,0.5054855404110866,2013,6
2013-07-01,Juneau,0.5012268588827468,2013,7
2013-08-01,Juneau,0.4968329385587712,2013,8
2013-09-01,Juneau,0.49244128739406573,2013,9
2013-10-01,Juneau,0.48818926694616416,2013,10
2013-11-01,Juneau,0.48380211750065605,2013,11
2013-12-01,Juneau,0.4795545255732657,2013,12
2011-01-01,Montgomery,1.3763802656197501,2011,1
2011-02-01,Montgomery,1.3751801239880097,2011,2
2011-03-01,Montgomery,1.3739910070783432,2011,3
2011-04-01,Montgomery,1.372792484246241,2011,4
2011-05-01,Montgomery,1.371598172020674,2011,5
2011-06-01,Montgomery,1.370401270539638,2011,6
2011-07-01,Montgomery,1.3692085728231775,2011,7
2011-08-01,Montgomery,1.3680132898294055,2011,8
2011-09-01,Montgomery,1.366818816357361,2011,9
2011-10-01,Montgomery,1.3656285364044247,2011,10
2011-11-01,Montgomery,1.3644356771349861,2011,11
2011-12-01,Montgomery,1.3632470045670229,2011,12
2012-01-01,Montgomery,1.3604515847362706,2012,1
2012-02-01,Montgomery,1.3575616659971983,2012,2
2012-03-01,Montgomery,1.3547853866611037,2012,3
2012-04-01,Montgomery,1.3519025350027478,2012,4
2012-05-01,Montgomery,1.349078193215692,2012,5
2012-06-01,Montgomery,1.346202445514403,2012,6
2012-07-01,Montgomery,1.343385106539826,2012,7
2012-08-01,Montgomery,1.340516451778818,2012,8
2012-09-01,Montgomery,1.337651363234967,2012,9
2012-10-01,Montgomery,1.3348445318957067,2012,10
2012-11-01,Montgomery,1.3319865197849587,2012,11
2012-12-01,Montgomery,1.329186664010131,2012,12
2013-01-01,Montgomery,1.3258463679376031,2013,1
2013-02-01,Montgomery,1.3228588333608453,2013,2
2013-03-01,Montgomery,1.320085042663315,2013,3
2013-04-01,Montgomery,1.3171033626664894,2013,4
2013-05-01,Montgomery,1.3141948362808609,2013,5
2013-06-01,Montgomery,1.311219089287991,2013,6
2013-07-01,Montgomery,1.3083164066011665,2013,7
2013-08-01,Montgomery,1.3053465852727055,2013,8
2013-09-01,Montgomery,1.302379745409833,2013,9
2013-10-01,Montgomery,1.2994858360305153,2013,10
2013-11-01,Montgomery,1.2965249108277777,2013,11
2013-12-01,Montgomery,1.2936368269954053,2013,12
2011-01-01,Little Rock,1.3102053172325723,2011,1
2011-02-01,Little Rock,1.3089358649076273,2011,2
2011-03-01,Little Rock,1.3078196983943222,2011,3
2011-04-01,Little Rock,1.3065483041984334,2011,4
2011-05-01,Little Rock,1.3053273722003254,2011,5
2011-06-01,Little Rock,1.3040540143502404,2011,6
2011-07-01,Little Rock,1.3028311459118034,2011,7
2011-08-01,Little Rock,1.3015558280633173,2011,8
2011-09-01,Little Rock,1.3002795252493435,2011,9
2011-10-01,Little Rock,1.2990537526040578,2011,10
2011-11-01,Little Rock,1.297775495266234,2011,11
2011-12-01,Little Rock,1.2965477952207998,2011,12
2012-01-01,Little Rock,1.2931812995137277,2012,1
2012-02-01,Little Rock,1.2895395652521269,2012,2
2012-03-01,Little Rock,1.2861352871674205,2012,3
2012-04-01,Little Rock,1.2824930348515666,2012,4
2012-05-01,Little Rock,1.2789693873107257,2012,5
2012-06-01,Little Rock,1.275326613712423,2012,6
2012-07-01,Little Rock,1.271802453092484,2012,7
2012-08-01,Little Rock,1.2681591589151116,2012,8
2012-09-01,Little Rock,1.264515602751356,2012,9
2012-10-01,Little Rock,1.260990671857413,2012,10
2012-11-01,Little Rock,1.2573465961690509,2012,11
2012-12-01,Little Rock,1.2538211539345876,2012,12
2013-01-01,Little Rock,1.252257505438634,2013,1
2013-02-01,Little Rock,1.250613438957869,2013,2
2013-03-01,Little Rock,1.2491247954375657,2013,3
2013-04-01,Little Rock,1.2474809601815626,2013,4
2013-05-01,Little Rock,1.245889007904934,2013,5
2013-06-01,Little Rock,1.2442454067991564,2013,6
2013-07-01,Little Rock,1.242653685279746,2013,7
