province,year,megatonnes CO2
AB,1990,15.212586649999999
AB,1991,13.88697097
AB,1992,13.95243202
AB,1993,14.264016589999999
AB,1994,16.00287752
AB,1995,16.36818887
AB,1996,16.85588938
AB,1997,17.863506570000002
AB,1998,18.83780587
AB,1999,19.17694286
AB,2000,19.26989273
AB,2001,20.10576994
AB,2002,19.78004557
AB,2003,20.35683869
AB,2004,21.41045796
AB,2005,22.049958750000002
AB,2006,23.67603059
AB,2007,25.77814915
AB,2008,26.21692519
AB,2009,26.18497119
AB,2010,27.51061461
AB,2011,26.43493837
AB,2012,27.46387917
AB,2013,29.09360506
AB,2014,30.19748593
AB,2015,27.171407350000003
AB,2016,25.98530216
AB,2017,26.571830279999997
AB,2018,27.866034810000002
AB,2019,28.03007069
AB,2020,22.579389050000003
AB,2021,23.02164132
AB,2022,23.35498601
BC,1990,15.012520420000001
BC,1991,14.96624909
BC,1992,15.29576156
BC,1993,15.71568774
BC,1994,16.471205389999998
BC,1995,17.232900519999998
BC,1996,17.978386529999998
BC,1997,18.68263409
BC,1998,18.88602145
BC,1999,19.08584501
BC,2000,18.76823334
BC,2001,18.460706119999998
BC,2002,18.26790277
BC,2003,19.119951410000002
BC,2004,20.21114486
BC,2005,19.53131745
BC,2006,19.50716225
BC,2007,20.0300582
BC,2008,20.34774178
BC,2009,19.83462108
BC,2010,19.41497958
BC,2011,18.48395425
BC,2012,19.28756038
BC,2013,20.19304877
BC,2014,20.26724568
BC,2015,20.3555381
BC,2016,21.46393185
BC,2017,21.77633441
BC,2018,22.65450435
BC,2019,22.638692380000002
BC,2020,20.40661189
BC,2021,22.06570159
BC,2022,23.24102466
MB,1990,5.009844564
MB,1991,4.865983677
MB,1992,4.914118421
MB,1993,4.87972419
MB,1994,5.134745709
MB,1995,5.273665512
MB,1996,5.271842527
MB,1997,5.311363845
MB,1998,5.273621836
MB,1999,5.389417377
MB,2000,5.400453574
MB,2001,5.3499081550000005
MB,2002,5.454073829
MB,2003,5.643199826
MB,2004,5.8113527640000004
MB,2005,5.697072668
MB,2006,5.858164498
MB,2007,6.229910309
MB,2008,5.866861167
MB,2009,5.732558098
MB,2010,5.957510105
MB,2011,5.982754448
MB,2012,6.828794744
MB,2013,6.64757102
MB,2014,6.685025845999999
MB,2015,6.29266344
MB,2016,6.34641215
MB,2017,6.4638592269999995
MB,2018,6.856340649
MB,2019,6.735853549000001
MB,2020,5.8778016189999995
MB,2021,6.07385697
MB,2022,6.362774604
NB,1990,3.5126873
NB,1991,3.442409658
NB,1992,3.530198714
NB,1993,3.614505398
NB,1994,3.782270443
NB,1995,3.78785362
NB,1996,3.9397770970000003
NB,1997,3.940615663
NB,1998,4.017723783
NB,1999,4.191913066
NB,2000,4.267447644
NB,2001,4.236603268
NB,2002,4.307458681
NB,2003,4.269434266999999
NB,2004,4.2771882670000005
NB,2005,4.386850565
NB,2006,4.313358099
NB,2007,4.20753507
NB,2008,4.101924847
NB,2009,3.8407191590000003
NB,2010,4.105545602
NB,2011,4.710235541
NB,2012,4.318410184
NB,2013,3.590038781
NB,2014,3.31149574
NB,2015,3.646025485
NB,2016,4.081325018
NB,2017,3.657306235
NB,2018,3.564485938
NB,2019,3.4572104340000003
NB,2020,3.1084379490000003
NB,2021,3.0843554810000002
NB,2022,3.063223534
NL,1990,2.693766395
NL,1991,2.65137073
NL,1992,2.6686245140000002
NL,1993,2.752387887
NL,1994,2.738562698
NL,1995,2.677129876
NL,1996,2.727597485
NL,1997,2.72940426
NL,1998,2.7687153600000003
NL,1999,2.8714095349999997
NL,2000,2.965121325
NL,2001,3.0025410900000002
NL,2002,3.0954064629999998
NL,2003,3.452753699
NL,2004,3.280088714
NL,2005,3.338967936
NL,2006,3.2265209930000003
NL,2007,3.5067401439999997
NL,2008,3.721300656
NL,2009,3.418528661
NL,2010,3.4895083749999998
NL,2011,3.911417845
NL,2012,3.75742613
NL,2013,3.485763547
NL,2014,3.7486347999999996
NL,2015,3.6955281159999998
NL,2016,3.747130798
NL,2017,3.779053168
NL,2018,3.602464038
NL,2019,3.862073837
NL,2020,3.332123877
NL,2021,3.477993539
NL,2022,3.679718571
NS,1990,4.116229944
NS,1991,3.915142195
NS,1992,4.02007116
NS,1993,4.120134189000001
NS,1994,4.219740944
NS,1995,4.357047471
NS,1996,4.341724946
NS,1997,4.390330644
NS,1998,4.519053689000001
NS,1999,4.7897057830000005
NS,2000,4.758962656
NS,2001,4.669447457
NS,2002,4.779221476
NS,2003,5.039857038
NS,2004,4.970945178
NS,2005,4.955836152
NS,2006,4.8929062409999995
NS,2007,4.744598201
NS,2008,4.802036331
NS,2009,4.642213085000001
NS,2010,4.717444931
NS,2011,5.134544659
NS,2012,4.973360576
NS,2013,4.546413879
NS,2014,4.2377556709999995
NS,2015,4.779496429
NS,2016,4.758053845
NS,2017,5.005867566
NS,2018,5.169484166999999
NS,2019,5.444030303
NS,2020,4.613494708
NS,2021,4.913904308
NS,2022,5.163884231
ON,1990,41.536847970000004
ON,1991,39.747883349999995
ON,1992,40.42588558
ON,1993,41.26035036
ON,1994,42.80968995
ON,1995,43.391630019999994
ON,1996,44.00571596
ON,1997,46.12622554
ON,1998,47.11278739
ON,1999,49.36000471
ON,2000,50.653479659999995
ON,2001,50.67115992
ON,2002,51.89252688
ON,2003,52.70034527
ON,2004,54.926930670000004
ON,2005,57.110384010000004
ON,2006,55.86914253
ON,2007,55.468512159999996
ON,2008,54.81840707
ON,2009,55.45141796
ON,2010,57.32368656
ON,2011,56.849877979999995
ON,2012,54.553530509999995
ON,2013,56.30725664
ON,2014,54.80572857
ON,2015,54.30312214
ON,2016,53.1813288
