state,year,megatonnes CO2
AL,1990,28.15818628830863
AL,1991,28.75521920024637
AL,1992,29.5130062251959
AL,1993,29.32187254304917
AL,1994,30.53324133787547
AL,1995,32.04765310305093
AL,1996,31.4497347926795
AL,1997,31.07196459867536
AL,1998,31.66234590222074
AL,1999,32.02799170241256
AL,2000,33.67278816307523
AL,2001,31.4727456849168
AL,2002,33.44053494061244
AL,2003,32.72032936230629
AL,2004,35.07894074934664
AL,2005,34.8300879140412
AL,2006,35.44825461676693
AL,2007,35.71809210524573
AL,2008,32.89418035506606
AL,2009,31.89945227629747
AL,2010,32.18818580884574
AL,2011,32.15908859202709
AL,2012,31.68276934068877
AL,2013,31.07029460304183
AL,2014,31.03492701197203
AL,2015,31.99277020761323
AL,2016,33.54172482358647
AL,2017,33.2080841742628
AL,2018,32.55959092358206
AL,2019,33.4661405486364
AL,2020,33.23897709400436
AL,2021,37.12716071895746
AL,2022,36.628870312529
AK,1990,12.0646058007497
AK,1991,11.13813205559633
AK,1992,10.83442816101543
AK,1993,10.9956523603641
AK,1994,11.1683821002567
AK,1995,12.31331470878226
AK,1996,11.99355090145263
AK,1997,13.47008362553297
AK,1998,13.73218966584374
AK,1999,14.7948501158216
AK,2000,15.74014146900653
AK,2001,14.7281885606614
AK,2002,15.02855060267953
AK,2003,15.78231616456733
AK,2004,19.1669364176598
AK,2005,19.0287290502177
AK,2006,19.17950093413163
AK,2007,18.04709604723263
AK,2008,15.4890240509774
AK,2009,13.6623450161506
AK,2010,13.89382021012993
AK,2011,13.24744106564487
AK,2012,12.0075959043766
AK,2013,10.87158748723447
AK,2014,10.95757448426043
AK,2015,11.6484933366241
AK,2016,10.9607474989463
AK,2017,11.13626861200773
AK,2018,11.7097640651475
AK,2019,11.7690103833302
AK,2020,11.79913170175337
AK,2021,13.93969736648427
AK,2022,13.56595650174453
AZ,1990,22.7539763103015
AZ,1991,23.28712302262646
AZ,1992,23.66296118922046
AZ,1993,24.87648540854547
AZ,1994,25.59197129798943
AZ,1995,26.07324902350519
AZ,1996,27.71701818562124
AZ,1997,27.7359209435616
AZ,1998,29.90117856564044
AZ,1999,31.56287545323074
AZ,2000,32.58788331722366
AZ,2001,33.49318790619303
AZ,2002,34.3064066255889
AZ,2003,35.73555147108613
AZ,2004,36.3205327102915
AZ,2005,36.86660429522987
AZ,2006,38.11647972531263
AZ,2007,37.50517037224687
AZ,2008,34.3338414387496
AZ,2009,32.323611687488
AZ,2010,35.260231913544
