date,state,year,megatonnes CO2,month
2011-01-01,AK,2011,13.838922255392841,1
2011-02-01,AK,2011,13.784024300655755,2
2011-03-01,AK,2011,13.734439051215805,3
2011-04-01,AK,2011,13.679541096478717,4
2011-05-01,AK,2011,13.626414043507342,5
2011-06-01,AK,2011,13.571516088770256,6
2011-07-01,AK,2011,13.518389035798881,7
2011-08-01,AK,2011,13.463491081061793,8
2011-09-01,AK,2011,13.408593126324707,9
2011-10-01,AK,2011,13.355466073353332,10
2011-11-01,AK,2011,13.300568118616244,11
2011-12-01,AK,2011,13.24744106564487,12
2012-01-01,AK,2012,13.142426857996464,1
2012-02-01,AK,2012,13.03741265034806,2
2012-03-01,AK,2012,12.939173552870518,3
2012-04-01,AK,2012,12.834159345222114,4
2012-05-01,AK,2012,12.73253269265914,5
2012-06-01,AK,2012,12.627518485010736,6
2012-07-01,AK,2012,12.525891832447762,7
2012-08-01,AK,2012,12.420877624799356,8
2012-09-01,AK,2012,12.315863417150952,9
2012-10-01,AK,2012,12.214236764587978,10
2012-11-01,AK,2012,12.109222556939573,11
2012-12-01,AK,2012,12.0075959043766,12
2013-01-01,AK,2013,11.911112997715215,1
2013-02-01,AK,2013,11.814630091053827,2
2013-03-01,AK,2013,11.727484239875801,3
2013-04-01,AK,2013,11.631001333214414,4
2013-05-01,AK,2013,11.537630778380814,5
2013-06-01,AK,2013,11.441147871719428,6
2013-07-01,AK,2013,11.347777316885828,7
2013-08-01,AK,2013,11.251294410224443,8
2013-09-01,AK,2013,11.154811503563055,9
2013-10-01,AK,2013,11.061440948729455,10
2013-11-01,AK,2013,10.96495804206807,11
2013-12-01,AK,2013,10.87158748723447,12
2011-01-01,AL,2011,32.18571453837621,1
2011-02-01,AL,2011,32.18324326790668,2
2011-03-01,AL,2011,32.181011152643876,3
2011-04-01,AL,2011,32.17853988217435,4
2011-05-01,AL,2011,32.17614833010706,5
2011-06-01,AL,2011,32.173677059637534,6
2011-07-01,AL,2011,32.171285507570246,7
2011-08-01,AL,2011,32.16881423710072,8
2011-09-01,AL,2011,32.16634296663119,9
2011-10-01,AL,2011,32.163951414563904,10
2011-11-01,AL,2011,32.16148014409438,11
2011-12-01,AL,2011,32.15908859202709,12
2012-01-01,AL,2012,32.11874461172248,1
2012-02-01,AL,2012,32.078400631417864,2
2012-03-01,AL,2012,32.04065948855226,3
2012-04-01,AL,2012,32.00031550824765,4
2012-05-01,AL,2012,31.96127294666254,5
2012-06-01,AL,2012,31.920928966357927,6
2012-07-01,AL,2012,31.88188640477282,7
2012-08-01,AL,2012,31.84154242446821,8
2012-09-01,AL,2012,31.801198444163596,9
2012-10-01,AL,2012,31.762155882578487,10
2012-11-01,AL,2012,31.721811902273878,11
2012-12-01,AL,2012,31.68276934068877,12
2013-01-01,AL,2013,31.630750938313273,1
2013-02-01,AL,2013,31.57873253593778,2
2013-03-01,AL,2013,31.531748172501853,3
2013-04-01,AL,2013,31.479729770126358,4
2013-05-01,AL,2013,31.42938938073072,5
2013-06-01,AL,2013,31.377370978355227,6
2013-07-01,AL,2013,31.327030588959587,7
2013-08-01,AL,2013,31.275012186584096,8
2013-09-01,AL,2013,31.2229937842086,9
2013-10-01,AL,2013,31.17265339481296,10
2013-11-01,AL,2013,31.12063499243747,11
2013-12-01,AL,2013,31.07029460304183,12
2011-01-01,AR,2011,19.727300288134355,1
2011-02-01,AR,2011,19.70330903274818,2
2011-03-01,AR,2011,19.681639511754216,3
2011-04-01,AR,2011,19.65764825636804,4
2011-05-01,AR,2011,19.63443091244594,5
2011-06-01,AR,2011,19.610439657059764,6
2011-07-01,AR,2011,19.587222313137662,7
2011-08-01,AR,2011,19.563231057751487,8
2011-09-01,AR,2011,19.539239802365312,9
2011-10-01,AR,2011,19.516022458443206,10
2011-11-01,AR,2011,19.492031203057035,11
2011-12-01,AR,2011,19.46881385913493,12
2012-01-01,AR,2012,19.41350282833871,1
2012-02-01,AR,2012,19.358191797542492,2
2012-03-01,AR,2012,19.30644922034603,3
2012-04-01,AR,2012,19.25113818954981,4
2012-05-01,AR,2012,19.19761138555347,5
2012-06-01,AR,2012,19.14230035475725,6
2012-07-01,AR,2012,19.08877355076091,7
2012-08-01,AR,2012,19.03346251996469,8
2012-09-01,AR,2012,18.97815148916847,9
2012-10-01,AR,2012,18.92462468517213,10
2012-11-01,AR,2012,18.86931365437591,11
2012-12-01,AR,2012,18.81578685037957,12
2013-01-01,AR,2013,18.791703038759533,1
2013-02-01,AR,2013,18.767619227139498,2
