date,city,year,month,GDP per Capita
2000-01-01,Charlottetown,2000,1,22712.199413489736
2000-02-01,Charlottetown,2000,2,22801.990623450172
2000-03-01,Charlottetown,2000,3,22891.72963916392
2000-04-01,Charlottetown,2000,4,22981.416506127352
2000-05-01,Charlottetown,2000,5,23071.05126978393
2000-06-01,Charlottetown,2000,6,23160.633975524343
2000-07-01,Charlottetown,2000,7,23250.1646686866
2000-08-01,Charlottetown,2000,8,23339.64339455605
2000-09-01,Charlottetown,2000,9,23429.07019836548
2000-10-01,Charlottetown,2000,10,23518.44512529523
2000-11-01,Charlottetown,2000,11,23607.768220473212
2000-12-01,Charlottetown,2000,12,23697.039528975
2001-01-01,Charlottetown,2001,1,23786.25909582396
2001-02-01,Charlottetown,2001,2,23879.351172873252
2001-03-01,Charlottetown,2001,3,23972.419904998646
2001-04-01,Charlottetown,2001,4,24065.465300980442
2001-05-01,Charlottetown,2001,5,24158.487369594535
2001-06-01,Charlottetown,2001,6,24251.486119612397
2001-07-01,Charlottetown,2001,7,24344.461559801137
2001-08-01,Charlottetown,2001,8,24437.41369892345
2001-09-01,Charlottetown,2001,9,24530.342545737636
2001-10-01,Charlottetown,2001,10,24623.248108997628
2001-11-01,Charlottetown,2001,11,24716.130397452955
2001-12-01,Charlottetown,2001,12,24808.989419848756
2002-01-01,Charlottetown,2002,1,24901.825184925812
2002-02-01,Charlottetown,2002,2,24932.66039923857
2002-03-01,Charlottetown,2002,3,24963.482572553592
2002-04-01,Charlottetown,2002,4,24994.291713142182
2002-05-01,Charlottetown,2002,5,25025.087829268647
2002-06-01,Charlottetown,2002,6,25055.870929190318
2002-07-01,Charlottetown,2002,7,25086.641021157546
2002-08-01,Charlottetown,2002,8,25117.3981134137
2002-09-01,Charlottetown,2002,9,25148.142214195203
2002-10-01,Charlottetown,2002,10,25178.873331731505
2002-11-01,Charlottetown,2002,11,25209.591474245113
2002-12-01,Charlottetown,2002,12,25240.2966499516
2003-01-01,Charlottetown,2003,1,25270.988867059594
2003-02-01,Charlottetown,2003,2,25328.970606155955
2003-03-01,Charlottetown,2003,3,25386.93357677242
2003-04-01,Charlottetown,2003,4,25444.877788020443
2003-05-01,Charlottetown,2003,5,25502.803249005592
2003-06-01,Charlottetown,2003,6,25560.709968827534
2003-07-01,Charlottetown,2003,7,25618.597956580055
2003-08-01,Charlottetown,2003,8,25676.46722135105
2003-09-01,Charlottetown,2003,9,25734.31777222254
2003-10-01,Charlottetown,2003,10,25792.149618270694
2003-11-01,Charlottetown,2003,11,25849.96276856577
2003-12-01,Charlottetown,2003,12,25907.7572321722
2004-01-01,Charlottetown,2004,1,25965.53301814854
2004-02-01,Charlottetown,2004,2,26027.555663117135
2004-03-01,Charlottetown,2004,3,26089.545594216437
2004-04-01,Charlottetown,2004,4,26151.502837322034
