date,GDP per Capita,City,Year,Month
2000-01-01,48599.0,Albany,2000,1
2000-02-01,48557.5,Albany,2000,2
2000-03-01,48516.0,Albany,2000,3
2000-04-01,48474.5,Albany,2000,4
2000-05-01,48433.0,Albany,2000,5
2000-06-01,48391.5,Albany,2000,6
2000-07-01,48350.0,Albany,2000,7
2000-08-01,48308.5,Albany,2000,8
2000-09-01,48267.0,Albany,2000,9
2000-10-01,48225.5,Albany,2000,10
2000-11-01,48184.0,Albany,2000,11
2000-12-01,48142.5,Albany,2000,12
2001-01-01,48101.0,Albany,2001,1
2001-02-01,48059.5,Albany,2001,2
2001-03-01,48018.0,Albany,2001,3
2001-04-01,47976.5,Albany,2001,4
2001-05-01,47935.0,Albany,2001,5
2001-06-01,47893.5,Albany,2001,6
2001-07-01,47852.0,Albany,2001,7
2001-08-01,47810.5,Albany,2001,8
2001-09-01,47769.0,Albany,2001,9
2001-10-01,47727.5,Albany,2001,10
2001-11-01,47686.0,Albany,2001,11
2001-12-01,47644.5,Albany,2001,12
2002-01-01,47603.0,Albany,2002,1
2002-02-01,47682.5,Albany,2002,2
2002-03-01,47762.0,Albany,2002,3
2002-04-01,47841.5,Albany,2002,4
2002-05-01,47921.0,Albany,2002,5
2002-06-01,48000.5,Albany,2002,6
2002-07-01,48080.0,Albany,2002,7
2002-08-01,48159.5,Albany,2002,8
2002-09-01,48239.0,Albany,2002,9
2002-10-01,48318.5,Albany,2002,10
2002-11-01,48398.0,Albany,2002,11
2002-12-01,48477.5,Albany,2002,12
2003-01-01,48557.0,Albany,2003,1
2003-02-01,48614.41666666666,Albany,2003,2
2003-03-01,48671.833333333336,Albany,2003,3
2003-04-01,48729.25,Albany,2003,4
2003-05-01,48786.66666666666,Albany,2003,5
2003-06-01,48844.083333333336,Albany,2003,6
2003-07-01,48901.5,Albany,2003,7
2003-08-01,48958.91666666666,Albany,2003,8
2003-09-01,49016.333333333336,Albany,2003,9
2003-10-01,49073.75,Albany,2003,10
2003-11-01,49131.16666666666,Albany,2003,11
2003-12-01,49188.583333333336,Albany,2003,12
2004-01-01,49246.0,Albany,2004,1
2004-02-01,49245.91666666666,Albany,2004,2
2004-03-01,49245.833333333336,Albany,2004,3
2004-04-01,49245.75,Albany,2004,4
2004-05-01,49245.66666666666,Albany,2004,5
2004-06-01,49245.583333333336,Albany,2004,6
2004-07-01,49245.5,Albany,2004,7
2004-08-01,49245.41666666666,Albany,2004,8
2004-09-01,49245.333333333336,Albany,2004,9
2004-10-01,49245.25,Albany,2004,10
2004-11-01,49245.16666666666,Albany,2004,11
2004-12-01,49245.083333333336,Albany,2004,12
2005-01-01,49245.0,Albany,2005,1
2005-02-01,49270.333333333336,Albany,2005,2
2005-03-01,49295.66666666666,Albany,2005,3
2005-04-01,49321.0,Albany,2005,4
2005-05-01,49346.333333333336,Albany,2005,5
2005-06-01,49371.66666666666,Albany,2005,6
2005-07-01,49397.0,Albany,2005,7
2005-08-01,49422.333333333336,Albany,2005,8
2005-09-01,49447.66666666666,Albany,2005,9
2005-10-01,49473.0,Albany,2005,10
2005-11-01,49498.333333333336,Albany,2005,11
2005-12-01,49523.66666666666,Albany,2005,12
