DATE,PCPI24003
1969-01-01,4324
1970-01-01,4628
1971-01-01,5019
1972-01-01,5435
1973-01-01,5911
1974-01-01,6511
1975-01-01,6981
1976-01-01,7589
1977-01-01,8296
1978-01-01,9383
1979-01-01,10507
1980-01-01,11948
1981-01-01,13000
1982-01-01,13946
1983-01-01,14904
1984-01-01,16320
1985-01-01,17405
1986-01-01,18509
1987-01-01,19189
1988-01-01,20805
1989-01-01,22220
1990-01-01,23222
1991-01-01,23889
1992-01-01,25051
1993-01-01,25999
1994-01-01,26998
1995-01-01,28141
1996-01-01,29531
1997-01-01,31063
1998-01-01,33402
1999-01-01,35089
2000-01-01,38149
2001-01-01,40450
2002-01-01,41771
2003-01-01,43521
2004-01-01,45663
2005-01-01,47486
2006-01-01,49945
2007-01-01,51780
2008-01-01,53152
2009-01-01,52011
2010-01-01,53109
2011-01-01,55773
2012-01-01,56694
2013-01-01,56776
2014-01-01,58365
2015-01-01,60207
2016-01-01,61667
2017-01-01,63346
2018-01-01,65309
2019-01-01,67527
2020-01-01,72136
2021-01-01,77764
2022-01-01,79335
2023-01-01,84019
