DATE,PCPI13121
1969-01-01,4146
1970-01-01,4602
1971-01-01,4999
1972-01-01,5505
1973-01-01,6083
1974-01-01,6703
1975-01-01,7112
1976-01-01,7742
1977-01-01,8625
1978-01-01,9534
1979-01-01,10048
1980-01-01,10964
1981-01-01,11980
1982-01-01,12736
1983-01-01,13958
1984-01-01,15723
1985-01-01,17137
1986-01-01,18536
1987-01-01,19923
1988-01-01,22232
1989-01-01,24063
1990-01-01,25775
1991-01-01,26222
1992-01-01,28163
1993-01-01,29173
1994-01-01,30254
1995-01-01,32529
1996-01-01,33981
1997-01-01,36718
1998-01-01,40897
1999-01-01,42658
2000-01-01,47487
2001-01-01,51635
2002-01-01,53256
2003-01-01,53807
2004-01-01,57010
2005-01-01,61544
2006-01-01,66414
2007-01-01,67100
2008-01-01,61568
2009-01-01,58806
2010-01-01,59433
2011-01-01,63665
2012-01-01,64608
2013-01-01,63333
2014-01-01,70263
2015-01-01,73978
2016-01-01,77349
2017-01-01,83377
2018-01-01,87609
2019-01-01,93309
2020-01-01,93399
2021-01-01,100995
2022-01-01,100577
2023-01-01,106131
