DATE,PCPI08031
1969-01-01,4431
1970-01-01,4954
1971-01-01,5414
1972-01-01,5920
1973-01-01,6517
1974-01-01,7210
1975-01-01,7954
1976-01-01,8526
1977-01-01,9355
1978-01-01,10474
1979-01-01,11448
1980-01-01,12612
1981-01-01,14060
1982-01-01,15271
1983-01-01,16002
1984-01-01,17280
1985-01-01,18086
1986-01-01,18478
1987-01-01,18883
1988-01-01,20192
1989-01-01,22168
1990-01-01,23304
1991-01-01,23452
1992-01-01,24339
1993-01-01,25231
1994-01-01,26373
1995-01-01,28210
1996-01-01,29574
1997-01-01,30975
1998-01-01,34082
1999-01-01,35657
2000-01-01,39202
2001-01-01,39694
2002-01-01,39756
2003-01-01,40383
2004-01-01,41506
2005-01-01,45769
2006-01-01,49967
2007-01-01,51386
2008-01-01,53724
2009-01-01,46123
2010-01-01,47939
2011-01-01,53542
2012-01-01,56928
2013-01-01,62142
2014-01-01,68252
2015-01-01,67395
2016-01-01,62754
2017-01-01,73644
2018-01-01,78624
2019-01-01,84001
2020-01-01,86700
2021-01-01,103320
2022-01-01,114769
2023-01-01,116530
