DATE,PCPI19057
1969-01-01,4319
1970-01-01,4339
1971-01-01,4525
1972-01-01,4906
1973-01-01,5486
1974-01-01,5932
1975-01-01,6529
1976-01-01,7048
1977-01-01,7742
1978-01-01,8528
1979-01-01,9473
1980-01-01,10014
1981-01-01,11004
1982-01-01,11341
1983-01-01,11806
1984-01-01,13115
1985-01-01,13602
1986-01-01,14204
1987-01-01,14915
1988-01-01,15553
1989-01-01,16660
1990-01-01,17609
1991-01-01,17940
1992-01-01,18783
1993-01-01,19180
1994-01-01,20192
1995-01-01,20863
1996-01-01,22170
1997-01-01,23263
1998-01-01,24426
1999-01-01,24887
2000-01-01,26569
2001-01-01,27677
2002-01-01,28131
2003-01-01,27688
2004-01-01,28796
2005-01-01,29460
2006-01-01,32819
2007-01-01,35294
2008-01-01,36988
2009-01-01,35839
2010-01-01,35451
2011-01-01,38352
2012-01-01,39701
2013-01-01,41509
2014-01-01,44909
2015-01-01,46858
2016-01-01,48596
2017-01-01,47318
2018-01-01,48167
2019-01-01,50045
2020-01-01,53857
2021-01-01,58440
2022-01-01,57639
2023-01-01,58928
