DATE,PCPI25011
1969-01-01,3637
1970-01-01,3857
1971-01-01,4073
1972-01-01,4469
1973-01-01,4814
1974-01-01,5120
1975-01-01,5539
1976-01-01,6173
1977-01-01,6601
1978-01-01,7230
1979-01-01,8062
1980-01-01,9070
1981-01-01,10117
1982-01-01,11324
1983-01-01,12121
1984-01-01,13321
1985-01-01,14094
1986-01-01,15123
1987-01-01,16153
1988-01-01,17435
1989-01-01,18205
1990-01-01,18792
1991-01-01,19057
1992-01-01,19532
1993-01-01,20257
1994-01-01,21377
1995-01-01,22453
1996-01-01,23486
1997-01-01,25015
1998-01-01,26211
1999-01-01,27109
2000-01-01,28766
2001-01-01,31012
2002-01-01,31521
2003-01-01,32230
2004-01-01,33920
2005-01-01,34777
2006-01-01,35767
2007-01-01,37373
2008-01-01,39181
2009-01-01,39690
2010-01-01,40850
2011-01-01,42495
2012-01-01,43634
2013-01-01,44501
2014-01-01,45728
2015-01-01,48955
2016-01-01,49783
2017-01-01,51350
2018-01-01,53438
2019-01-01,55730
2020-01-01,60567
2021-01-01,63178
2022-01-01,63534
2023-01-01,67327
