DATE,PCPI09003
1969-01-01,4848
1970-01-01,5122
1971-01-01,5282
1972-01-01,5652
1973-01-01,6192
1974-01-01,6793
1975-01-01,7339
1976-01-01,7850
1977-01-01,8623
1978-01-01,9589
1979-01-01,10812
1980-01-01,12228
1981-01-01,13507
1982-01-01,14575
1983-01-01,15472
1984-01-01,17077
1985-01-01,18195
1986-01-01,19560
1987-01-01,21019
1988-01-01,22811
1989-01-01,24847
1990-01-01,25683
1991-01-01,25806
1992-01-01,27026
1993-01-01,27680
1994-01-01,28269
1995-01-01,29167
1996-01-01,30134
1997-01-01,31835
1998-01-01,33893
1999-01-01,35299
2000-01-01,38379
2001-01-01,38799
2002-01-01,38760
2003-01-01,39330
2004-01-01,41617
2005-01-01,43350
2006-01-01,46285
2007-01-01,48617
2008-01-01,50195
2009-01-01,49459
2010-01-01,50432
2011-01-01,52406
2012-01-01,53574
2013-01-01,53855
2014-01-01,55768
2015-01-01,57678
2016-01-01,58536
2017-01-01,59688
2018-01-01,61867
2019-01-01,63528
2020-01-01,66773
2021-01-01,69982
2022-01-01,71987
2023-01-01,75433
