DATE,PCPI15003
1969-01-01,5191
1970-01-01,5828
1971-01-01,6202
1972-01-01,6509
1973-01-01,7007
1974-01-01,7556
1975-01-01,8224
1976-01-01,8762
1977-01-01,9213
1978-01-01,10123
1979-01-01,11114
1980-01-01,12340
1981-01-01,13430
1982-01-01,14028
1983-01-01,15023
1984-01-01,15973
1985-01-01,16840
1986-01-01,17636
1987-01-01,18552
1988-01-01,20195
1989-01-01,22152
1990-01-01,23895
1991-01-01,24834
1992-01-01,26223
1993-01-01,26857
1994-01-01,27130
1995-01-01,27585
1996-01-01,27439
1997-01-01,28183
1998-01-01,28544
1999-01-01,29559
2000-01-01,31260
2001-01-01,32305
2002-01-01,33589
2003-01-01,34915
2004-01-01,36662
2005-01-01,38695
2006-01-01,40931
2007-01-01,43163
2008-01-01,44975
2009-01-01,44761
2010-01-01,44945
2011-01-01,46267
2012-01-01,46893
2013-01-01,46750
2014-01-01,48743
2015-01-01,50316
2016-01-01,51805
2017-01-01,53723
2018-01-01,54633
2019-01-01,56784
2020-01-01,60246
2021-01-01,63755
2022-01-01,65708
2023-01-01,69893
