DATE,PCPI02110
1969-01-01,6642
1970-01-01,7570
1971-01-01,8196
1972-01-01,8853
1973-01-01,9330
1974-01-01,10183
1975-01-01,12253
1976-01-01,13732
1977-01-01,14583
1978-01-01,16680
1979-01-01,17059
1980-01-01,20356
1981-01-01,22608
1982-01-01,23441
1983-01-01,23527
1984-01-01,23639
1985-01-01,24190
1986-01-01,23424
1987-01-01,23491
1988-01-01,24967
1989-01-01,27010
1990-01-01,27573
1991-01-01,28396
1992-01-01,29899
1993-01-01,30436
1994-01-01,31770
1995-01-01,33148
1996-01-01,33341
1997-01-01,34216
1998-01-01,35139
1999-01-01,35483
2000-01-01,38236
2001-01-01,39406
2002-01-01,39421
2003-01-01,41012
2004-01-01,41714
2005-01-01,43995
2006-01-01,46378
2007-01-01,49479
2008-01-01,52521
2009-01-01,52228
2010-01-01,55006
2011-01-01,58152
2012-01-01,60615
2013-01-01,59538
2014-01-01,61345
2015-01-01,62186
2016-01-01,63075
2017-01-01,65221
2018-01-01,68368
2019-01-01,69918
2020-01-01,70536
2021-01-01,74274
2022-01-01,78743
2023-01-01,82234
