DATE,LANS626PCPI
1969-01-01,3861
1970-01-01,3910
1971-01-01,4372
1972-01-01,4788
1973-01-01,5227
1974-01-01,5453
1975-01-01,6056
1976-01-01,6749
1977-01-01,7524
1978-01-01,8206
1979-01-01,9072
1980-01-01,9777
1981-01-01,10672
1982-01-01,11202
1983-01-01,12281
1984-01-01,13303
1985-01-01,14250
1986-01-01,14923
1987-01-01,15144
1988-01-01,15994
1989-01-01,17250
1990-01-01,17906
1991-01-01,18602
1992-01-01,19444
1993-01-01,19980
1994-01-01,21313
1995-01-01,22155
1996-01-01,23035
1997-01-01,23979
1998-01-01,24740
1999-01-01,26161
2000-01-01,27369
2001-01-01,28054
2002-01-01,28040
2003-01-01,28450
2004-01-01,28863
2005-01-01,29249
2006-01-01,30140
2007-01-01,31097
2008-01-01,32379
2009-01-01,31776
2010-01-01,33269
2011-01-01,34188
2012-01-01,34631
2013-01-01,34880
2014-01-01,36099
2015-01-01,37578
2016-01-01,38709
2017-01-01,39815
2018-01-01,41334
2019-01-01,42871
2020-01-01,47112
2021-01-01,51789
2022-01-01,51152
2023-01-01,53806
