DATE,PHOE004PCPI
1969-01-01,3842
1970-01-01,4225
1971-01-01,4579
1972-01-01,4970
1973-01-01,5419
1974-01-01,5848
1975-01-01,6086
1976-01-01,6679
1977-01-01,7306
1978-01-01,8313
1979-01-01,9439
1980-01-01,10484
1981-01-01,11645
1982-01-01,12074
1983-01-01,13007
1984-01-01,14215
1985-01-01,15220
1986-01-01,16042
1987-01-01,16549
1988-01-01,17465
1989-01-01,18271
1990-01-01,18878
1991-01-01,19174
1992-01-01,19721
1993-01-01,20328
1994-01-01,21370
1995-01-01,22438
1996-01-01,23593
1997-01-01,24905
1998-01-01,26392
1999-01-01,27181
2000-01-01,28901
2001-01-01,29074
2002-01-01,29376
2003-01-01,30333
2004-01-01,32417
2005-01-01,34683
2006-01-01,37336
2007-01-01,38310
2008-01-01,37511
2009-01-01,34797
2010-01-01,35092
2011-01-01,36767
2012-01-01,38129
2013-01-01,38590
2014-01-01,40090
2015-01-01,41828
2016-01-01,43196
2017-01-01,45249
2018-01-01,47562
2019-01-01,50342
2020-01-01,54681
2021-01-01,60086
2022-01-01,62555
2023-01-01,66365
