DATE,PCPI06067
1969-01-01,4417
1970-01-01,4790
1971-01-01,5108
1972-01-01,5467
1973-01-01,5969
1974-01-01,6530
1975-01-01,7162
1976-01-01,7780
1977-01-01,8447
1978-01-01,9372
1979-01-01,10305
1980-01-01,11169
1981-01-01,12073
1982-01-01,12612
1983-01-01,13312
1984-01-01,14569
1985-01-01,15801
1986-01-01,16755
1987-01-01,17429
1988-01-01,18392
1989-01-01,19654
1990-01-01,20151
1991-01-01,20670
1992-01-01,21523
1993-01-01,21739
1994-01-01,22657
1995-01-01,23760
1996-01-01,24219
1997-01-01,25201
1998-01-01,26665
1999-01-01,27961
2000-01-01,29968
2001-01-01,31542
2002-01-01,31984
2003-01-01,33121
2004-01-01,34253
2005-01-01,35225
2006-01-01,36975
2007-01-01,38310
2008-01-01,39055
2009-01-01,37892
2010-01-01,38280
2011-01-01,39655
2012-01-01,40623
2013-01-01,41581
2014-01-01,43469
2015-01-01,45866
2016-01-01,46904
2017-01-01,48299
2018-01-01,50314
2019-01-01,52570
2020-01-01,57621
2021-01-01,61752
2022-01-01,61965
2023-01-01,65104
