DATE,SALE441PCPI
1969-01-01,3541
1970-01-01,3769
1971-01-01,4058
1972-01-01,4445
1973-01-01,5061
1974-01-01,5590
1975-01-01,6115
1976-01-01,6796
1977-01-01,7330
1978-01-01,8075
1979-01-01,9005
1980-01-01,9778
1981-01-01,10354
1982-01-01,10635
1983-01-01,11233
1984-01-01,11987
1985-01-01,12633
1986-01-01,13225
1987-01-01,13778
1988-01-01,14824
1989-01-01,15991
1990-01-01,16922
1991-01-01,17596
1992-01-01,18302
1993-01-01,19015
1994-01-01,19943
1995-01-01,20822
1996-01-01,21942
1997-01-01,22322
1998-01-01,23223
1999-01-01,23922
2000-01-01,24764
2001-01-01,24824
2002-01-01,24805
2003-01-01,25645
2004-01-01,26420
2005-01-01,27501
2006-01-01,29687
2007-01-01,30344
2008-01-01,31761
2009-01-01,30976
2010-01-01,31353
2011-01-01,32178
2012-01-01,33068
2013-01-01,33523
2014-01-01,35464
2015-01-01,37496
2016-01-01,38704
2017-01-01,40173
2018-01-01,42028
2019-01-01,44270
2020-01-01,48325
2021-01-01,53543
2022-01-01,54703
2023-01-01,57774
