DATE,PCPI20177
1969-01-01,3919
1970-01-01,4231
1971-01-01,4633
1972-01-01,5020
1973-01-01,5550
1974-01-01,6088
1975-01-01,6655
1976-01-01,7244
1977-01-01,8105
1978-01-01,9051
1979-01-01,9892
1980-01-01,10952
1981-01-01,12214
1982-01-01,13049
1983-01-01,13686
1984-01-01,14759
1985-01-01,15642
1986-01-01,16357
1987-01-01,16861
1988-01-01,17835
1989-01-01,18659
1990-01-01,19321
1991-01-01,19558
1992-01-01,20528
1993-01-01,21299
1994-01-01,22172
1995-01-01,23043
1996-01-01,23993
1997-01-01,24890
1998-01-01,26317
1999-01-01,26975
2000-01-01,28437
2001-01-01,29807
2002-01-01,30541
2003-01-01,30791
2004-01-01,31449
2005-01-01,32191
2006-01-01,33734
2007-01-01,35799
2008-01-01,37582
2009-01-01,37448
2010-01-01,37423
2011-01-01,39147
2012-01-01,39541
2013-01-01,39294
2014-01-01,40926
2015-01-01,41504
2016-01-01,42616
2017-01-01,43458
2018-01-01,45702
2019-01-01,46977
2020-01-01,50496
2021-01-01,54083
2022-01-01,55071
2023-01-01,58412
