date,City,Year,Population,Month,State,Area(km^2),Population Density
2000-01-01,Baton Rouge,2000,227818.0,1,LA,199.0,1144.8140703517588
2000-02-01,Baton Rouge,2000,227831.9583333333,2,LA,199.0,1144.8842127303183
2000-03-01,Baton Rouge,2000,227845.91666666663,3,LA,199.0,1144.9543551088775
2000-04-01,Baton Rouge,2000,227859.875,4,LA,199.0,1145.0244974874372
2000-05-01,Baton Rouge,2000,227873.8333333333,5,LA,199.0,1145.0946398659964
2000-06-01,Baton Rouge,2000,227887.79166666663,6,LA,199.0,1145.164782244556
2000-07-01,Baton Rouge,2000,227901.75,7,LA,199.0,1145.2349246231156
2000-08-01,Baton Rouge,2000,227915.7083333333,8,LA,199.0,1145.3050670016748
2000-09-01,Baton Rouge,2000,227929.66666666663,9,LA,199.0,1145.3752093802343
2000-10-01,Baton Rouge,2000,227943.625,10,LA,199.0,1145.445351758794
2000-11-01,Baton Rouge,2000,227957.5833333333,11,LA,199.0,1145.5154941373532
2000-12-01,Baton Rouge,2000,227971.54166666663,12,LA,199.0,1145.5856365159127
2001-01-01,Baton Rouge,2001,227985.5,1,LA,199.0,1145.6557788944724
2001-02-01,Baton Rouge,2001,227999.4583333333,2,LA,199.0,1145.7259212730316
2001-03-01,Baton Rouge,2001,228013.41666666663,3,LA,199.0,1145.796063651591
2001-04-01,Baton Rouge,2001,228027.375,4,LA,199.0,1145.8662060301508
2001-05-01,Baton Rouge,2001,228041.3333333333,5,LA,199.0,1145.93634840871
2001-06-01,Baton Rouge,2001,228055.29166666663,6,LA,199.0,1146.0064907872695
2001-07-01,Baton Rouge,2001,228069.25,7,LA,199.0,1146.0766331658292
2001-08-01,Baton Rouge,2001,228083.2083333333,8,LA,199.0,1146.1467755443884
2001-09-01,Baton Rouge,2001,228097.16666666663,9,LA,199.0,1146.216917922948
2001-10-01,Baton Rouge,2001,228111.125,10,LA,199.0,1146.2870603015076
2001-11-01,Baton Rouge,2001,228125.0833333333,11,LA,199.0,1146.3572026800668
2001-12-01,Baton Rouge,2001,228139.04166666663,12,LA,199.0,1146.4273450586263
2002-01-01,Baton Rouge,2002,228153.0,1,LA,199.0,1146.497487437186
2002-02-01,Baton Rouge,2002,228166.9583333333,2,LA,199.0,1146.5676298157452
2002-03-01,Baton Rouge,2002,228180.91666666663,3,LA,199.0,1146.6377721943047
2002-04-01,Baton Rouge,2002,228194.875,4,LA,199.0,1146.7079145728644
2002-05-01,Baton Rouge,2002,228208.8333333333,5,LA,199.0,1146.7780569514237
2002-06-01,Baton Rouge,2002,228222.79166666663,6,LA,199.0,1146.8481993299831
2002-07-01,Baton Rouge,2002,228236.75,7,LA,199.0,1146.9183417085428
2002-08-01,Baton Rouge,2002,228250.7083333333,8,LA,199.0,1146.988484087102
2002-09-01,Baton Rouge,2002,228264.66666666663,9,LA,199.0,1147.0586264656615
2002-10-01,Baton Rouge,2002,228278.625,10,LA,199.0,1147.1287688442212
2002-11-01,Baton Rouge,2002,228292.5833333333,11,LA,199.0,1147.1989112227805
2002-12-01,Baton Rouge,2002,228306.54166666663,12,LA,199.0,1147.26905360134
2003-01-01,Baton Rouge,2003,228320.5,1,LA,199.0,1147.3391959798994
2003-02-01,Baton Rouge,2003,228334.4583333333,2,LA,199.0,1147.4093383584589
2003-03-01,Baton Rouge,2003,228348.41666666663,3,LA,199.0,1147.4794807370183
2003-04-01,Baton Rouge,2003,228362.375,4,LA,199.0,1147.5496231155778
