date,population,year,month,city,abr,state_province
2000-01-01,4452000.0,2000,1,Montgomery,AL,Alabama
2000-02-01,4453250.0,2000,2,Montgomery,AL,Alabama
2000-03-01,4454500.0,2000,3,Montgomery,AL,Alabama
2000-04-01,4455750.0,2000,4,Montgomery,AL,Alabama
2000-05-01,4457000.0,2000,5,Montgomery,AL,Alabama
2000-06-01,4458250.0,2000,6,Montgomery,AL,Alabama
2000-07-01,4459500.0,2000,7,Montgomery,AL,Alabama
2000-08-01,4460750.0,2000,8,Montgomery,AL,Alabama
2000-09-01,4462000.0,2000,9,Montgomery,AL,Alabama
2000-10-01,4463250.0,2000,10,Montgomery,AL,Alabama
2000-11-01,4464500.0,2000,11,Montgomery,AL,Alabama
2000-12-01,4465750.0,2000,12,Montgomery,AL,Alabama
2001-01-01,4467000.0,2001,1,Montgomery,AL,Alabama
2001-02-01,4468083.333333333,2001,2,Montgomery,AL,Alabama
2001-03-01,4469166.666666667,2001,3,Montgomery,AL,Alabama
2001-04-01,4470250.0,2001,4,Montgomery,AL,Alabama
2001-05-01,4471333.333333333,2001,5,Montgomery,AL,Alabama
2001-06-01,4472416.666666667,2001,6,Montgomery,AL,Alabama
2001-07-01,4473500.0,2001,7,Montgomery,AL,Alabama
2001-08-01,4474583.333333333,2001,8,Montgomery,AL,Alabama
2001-09-01,4475666.666666667,2001,9,Montgomery,AL,Alabama
2001-10-01,4476750.0,2001,10,Montgomery,AL,Alabama
2001-11-01,4477833.333333333,2001,11,Montgomery,AL,Alabama
2001-12-01,4478916.666666667,2001,12,Montgomery,AL,Alabama
2002-01-01,4480000.0,2002,1,Montgomery,AL,Alabama
2002-02-01,4481916.666666667,2002,2,Montgomery,AL,Alabama
2002-03-01,4483833.333333333,2002,3,Montgomery,AL,Alabama
2002-04-01,4485750.0,2002,4,Montgomery,AL,Alabama
2002-05-01,4487666.666666667,2002,5,Montgomery,AL,Alabama
2002-06-01,4489583.333333333,2002,6,Montgomery,AL,Alabama
2002-07-01,4491500.0,2002,7,Montgomery,AL,Alabama
2002-08-01,4493416.666666667,2002,8,Montgomery,AL,Alabama
2002-09-01,4495333.333333333,2002,9,Montgomery,AL,Alabama
2002-10-01,4497250.0,2002,10,Montgomery,AL,Alabama
2002-11-01,4499166.666666667,2002,11,Montgomery,AL,Alabama
2002-12-01,4501083.333333333,2002,12,Montgomery,AL,Alabama
2003-01-01,4503000.0,2003,1,Montgomery,AL,Alabama
2003-02-01,4505250.0,2003,2,Montgomery,AL,Alabama
2003-03-01,4507500.0,2003,3,Montgomery,AL,Alabama
2003-04-01,4509750.0,2003,4,Montgomery,AL,Alabama
2003-05-01,4512000.0,2003,5,Montgomery,AL,Alabama
2003-06-01,4514250.0,2003,6,Montgomery,AL,Alabama
2003-07-01,4516500.0,2003,7,Montgomery,AL,Alabama
2003-08-01,4518750.0,2003,8,Montgomery,AL,Alabama
2003-09-01,4521000.0,2003,9,Montgomery,AL,Alabama
2003-10-01,4523250.0,2003,10,Montgomery,AL,Alabama
2003-11-01,4525500.0,2003,11,Montgomery,AL,Alabama
2003-12-01,4527750.0,2003,12,Montgomery,AL,Alabama
2004-01-01,4530000.0,2004,1,Montgomery,AL,Alabama
