time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,year,city,state_or_province
2000-01-01,19.6,10.6,0.0,11.2,2000,Baton Rouge,LA
2000-01-02,24.9,16.1,0.0,23.5,2000,Baton Rouge,LA
2000-01-03,23.5,17.8,28.4,24.5,2000,Baton Rouge,LA
2000-01-04,16.2,5.1,0.0,25.2,2000,Baton Rouge,LA
2000-01-05,11.1,0.7,0.0,9.6,2000,Baton Rouge,LA
2000-01-06,15.4,1.6,0.0,11.4,2000,Baton Rouge,LA
2000-01-07,17.3,5.8,0.0,13.8,2000,Baton Rouge,LA
2000-01-08,21.4,7.9,2.9,15.2,2000,Baton Rouge,LA
2000-01-09,20.2,16.6,19.2,18.6,2000,Baton Rouge,LA
2000-01-10,21.5,11.5,1.0,19.8,2000,Baton Rouge,LA
2000-01-11,23.8,9.6,0.0,11.8,2000,Baton Rouge,LA
2000-01-12,24.1,15.5,0.1,20.3,2000,Baton Rouge,LA
2000-01-13,22.9,13.6,0.4,20.8,2000,Baton Rouge,LA
2000-01-14,14.9,6.8,0.0,19.2,2000,Baton Rouge,LA
2000-01-15,19.5,5.0,0.0,16.4,2000,Baton Rouge,LA
2000-01-16,22.1,11.1,0.0,10.8,2000,Baton Rouge,LA
2000-01-17,22.3,10.9,0.0,12.0,2000,Baton Rouge,LA
2000-01-18,23.0,13.4,0.1,20.3,2000,Baton Rouge,LA
2000-01-19,23.4,15.3,0.0,24.4,2000,Baton Rouge,LA
2000-01-20,17.4,6.9,0.0,20.3,2000,Baton Rouge,LA
2000-01-21,12.4,3.0,0.0,13.5,2000,Baton Rouge,LA
2000-01-22,20.4,7.3,0.8,20.3,2000,Baton Rouge,LA
2000-01-23,19.9,10.6,7.2,24.3,2000,Baton Rouge,LA
2000-01-24,10.1,3.5,0.1,23.1,2000,Baton Rouge,LA
2000-01-25,10.9,-0.0,0.0,16.1,2000,Baton Rouge,LA
2000-01-26,7.4,-0.3,0.0,13.0,2000,Baton Rouge,LA
2000-01-27,8.5,3.0,7.0,22.9,2000,Baton Rouge,LA
2000-01-28,7.3,3.2,3.1,26.4,2000,Baton Rouge,LA
2000-01-29,7.8,3.3,0.0,15.7,2000,Baton Rouge,LA
2000-01-30,10.3,2.5,0.0,14.9,2000,Baton Rouge,LA
2000-01-31,11.6,-0.7,0.0,11.6,2000,Baton Rouge,LA
2000-02-01,15.4,3.8,0.0,11.3,2000,Baton Rouge,LA
2000-02-02,14.9,6.2,0.0,12.0,2000,Baton Rouge,LA
2000-02-03,17.3,2.7,0.0,11.5,2000,Baton Rouge,LA
2000-02-04,15.7,6.1,0.0,17.7,2000,Baton Rouge,LA
2000-02-05,10.1,1.0,0.0,15.4,2000,Baton Rouge,LA
2000-02-06,13.7,-1.4,0.0,8.7,2000,Baton Rouge,LA
2000-02-07,15.9,3.9,0.3,8.7,2000,Baton Rouge,LA
2000-02-08,17.4,8.4,3.6,7.8,2000,Baton Rouge,LA
2000-02-09,19.5,6.1,0.0,12.3,2000,Baton Rouge,LA
2000-02-10,22.5,8.3,0.0,23.3,2000,Baton Rouge,LA
2000-02-11,23.6,13.0,0.0,19.6,2000,Baton Rouge,LA
2000-02-12,24.3,14.5,0.6,11.3,2000,Baton Rouge,LA
2000-02-13,23.2,15.7,0.3,23.5,2000,Baton Rouge,LA
2000-02-14,23.7,13.0,0.0,10.5,2000,Baton Rouge,LA
2000-02-15,25.1,11.7,0.0,13.9,2000,Baton Rouge,LA
2000-02-16,25.0,16.9,0.1,9.0,2000,Baton Rouge,LA
2000-02-17,25.8,16.0,0.5,21.1,2000,Baton Rouge,LA
2000-02-18,25.6,18.6,1.5,24.9,2000,Baton Rouge,LA
2000-02-19,19.7,10.6,0.9,18.4,2000,Baton Rouge,LA
2000-02-20,18.7,6.0,0.0,13.7,2000,Baton Rouge,LA
2000-02-21,20.3,5.7,0.0,10.7,2000,Baton Rouge,LA
2000-02-22,22.2,7.2,0.0,17.7,2000,Baton Rouge,LA
2000-02-23,24.8,13.1,0.1,25.1,2000,Baton Rouge,LA
2000-02-24,24.1,16.8,1.1,20.5,2000,Baton Rouge,LA
2000-02-25,25.2,16.3,0.0,26.1,2000,Baton Rouge,LA
2000-02-26,25.0,12.3,18.9,26.3,2000,Baton Rouge,LA
2000-02-27,20.2,8.5,0.0,13.9,2000,Baton Rouge,LA
2000-02-28,21.9,7.0,0.0,11.1,2000,Baton Rouge,LA
2000-02-29,23.8,9.4,0.0,17.3,2000,Baton Rouge,LA
2000-03-01,24.8,15.3,1.3,12.0,2000,Baton Rouge,LA
2000-03-02,24.2,16.7,0.0,10.9,2000,Baton Rouge,LA
2000-03-03,25.1,15.5,2.8,21.7,2000,Baton Rouge,LA
2000-03-04,18.6,9.7,0.0,18.5,2000,Baton Rouge,LA
2000-03-05,20.8,6.7,0.0,8.4,2000,Baton Rouge,LA
2000-03-06,24.6,9.7,0.0,11.2,2000,Baton Rouge,LA
2000-03-07,25.9,12.8,0.0,16.3,2000,Baton Rouge,LA
2000-03-08,26.6,15.5,0.0,14.3,2000,Baton Rouge,LA
2000-03-09,26.6,17.3,1.7,13.8,2000,Baton Rouge,LA
2000-03-10,26.3,18.8,0.9,18.9,2000,Baton Rouge,LA
2000-03-11,19.6,10.5,7.3,24.7,2000,Baton Rouge,LA
2000-03-12,16.9,5.5,0.0,12.7,2000,Baton Rouge,LA
2000-03-13,19.8,5.1,0.0,10.6,2000,Baton Rouge,LA
2000-03-14,21.3,10.3,2.5,15.8,2000,Baton Rouge,LA
2000-03-15,19.3,14.0,25.6,23.9,2000,Baton Rouge,LA
2000-03-16,23.6,17.4,12.0,15.0,2000,Baton Rouge,LA
2000-03-17,23.6,14.7,0.0,13.8,2000,Baton Rouge,LA
2000-03-18,23.6,13.7,4.3,20.1,2000,Baton Rouge,LA
2000-03-19,18.5,10.5,8.5,20.8,2000,Baton Rouge,LA
2000-03-20,19.4,7.5,0.0,9.7,2000,Baton Rouge,LA
2000-03-21,23.2,8.8,0.0,16.0,2000,Baton Rouge,LA
2000-03-22,25.8,12.3,0.0,12.0,2000,Baton Rouge,LA
2000-03-23,26.5,12.7,0.0,15.5,2000,Baton Rouge,LA
