time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,year,city,state_or_province
2000-01-01,3.6,-4.8,0.2,11.9,2000,Boise,ID
2000-01-02,0.4,-4.9,2.3,11.3,2000,Boise,ID
2000-01-03,1.4,-7.4,0.0,15.4,2000,Boise,ID
2000-01-04,3.5,-0.5,5.6,19.2,2000,Boise,ID
2000-01-05,2.6,-5.5,0.0,16.1,2000,Boise,ID
2000-01-06,1.7,-10.4,0.0,16.1,2000,Boise,ID
2000-01-07,2.1,-2.7,0.2,10.7,2000,Boise,ID
2000-01-08,3.3,-2.7,4.5,21.5,2000,Boise,ID
2000-01-09,3.8,-2.9,4.0,19.2,2000,Boise,ID
2000-01-10,3.5,-1.1,6.2,24.3,2000,Boise,ID
2000-01-11,6.2,-0.3,10.7,12.2,2000,Boise,ID
2000-01-12,1.5,-8.0,0.0,17.1,2000,Boise,ID
2000-01-13,4.3,-2.4,0.0,28.0,2000,Boise,ID
2000-01-14,8.6,3.3,0.0,22.2,2000,Boise,ID
2000-01-15,5.6,1.0,3.4,23.2,2000,Boise,ID
2000-01-16,11.6,-0.8,0.0,29.7,2000,Boise,ID
2000-01-17,6.8,-2.2,0.0,8.9,2000,Boise,ID
2000-01-18,4.4,-1.7,3.8,7.2,2000,Boise,ID
2000-01-19,7.2,0.2,0.0,15.3,2000,Boise,ID
2000-01-20,9.2,-0.3,0.8,14.0,2000,Boise,ID
2000-01-21,5.8,-1.8,0.0,7.6,2000,Boise,ID
2000-01-22,5.0,-3.8,0.4,14.2,2000,Boise,ID
2000-01-23,5.0,-4.2,1.4,22.4,2000,Boise,ID
2000-01-24,5.4,0.9,6.9,19.4,2000,Boise,ID
2000-01-25,8.3,2.5,4.0,18.0,2000,Boise,ID
2000-01-26,4.3,-3.1,0.1,23.4,2000,Boise,ID
2000-01-27,1.9,-4.9,0.0,18.3,2000,Boise,ID
2000-01-28,1.4,-6.6,0.0,6.1,2000,Boise,ID
2000-01-29,1.7,-6.3,0.0,11.2,2000,Boise,ID
2000-01-30,3.1,-6.3,1.2,26.2,2000,Boise,ID
2000-01-31,4.4,-1.8,1.8,17.9,2000,Boise,ID
2000-02-01,6.9,-0.0,1.8,23.1,2000,Boise,ID
2000-02-02,9.4,-0.6,0.0,18.1,2000,Boise,ID
2000-02-03,8.8,-3.0,0.0,13.5,2000,Boise,ID
2000-02-04,9.8,0.3,0.0,18.2,2000,Boise,ID
2000-02-05,11.3,2.8,0.9,18.3,2000,Boise,ID
2000-02-06,10.9,-0.0,0.0,11.6,2000,Boise,ID
2000-02-07,12.3,1.0,0.0,22.4,2000,Boise,ID
2000-02-08,14.1,4.5,0.0,20.1,2000,Boise,ID
2000-02-09,11.8,2.3,0.6,9.2,2000,Boise,ID
2000-02-10,10.7,1.1,0.2,7.3,2000,Boise,ID
2000-02-11,8.6,2.7,5.6,13.5,2000,Boise,ID
2000-02-12,7.3,1.8,6.9,13.8,2000,Boise,ID
2000-02-13,5.1,-1.8,3.1,22.5,2000,Boise,ID
2000-02-14,12.6,3.8,8.2,24.8,2000,Boise,ID
2000-02-15,8.9,1.1,0.0,15.9,2000,Boise,ID
2000-02-16,7.8,-0.2,0.0,8.6,2000,Boise,ID
2000-02-17,6.6,-1.9,0.0,22.0,2000,Boise,ID
2000-02-18,6.4,-4.2,0.0,10.0,2000,Boise,ID
2000-02-19,8.6,-4.2,0.0,20.9,2000,Boise,ID
2000-02-20,11.4,1.6,0.0,25.6,2000,Boise,ID
2000-02-21,13.0,4.4,0.4,24.4,2000,Boise,ID
2000-02-22,12.0,1.7,2.7,22.6,2000,Boise,ID
2000-02-23,9.9,1.4,18.1,23.7,2000,Boise,ID
2000-02-24,5.4,-0.4,0.4,31.3,2000,Boise,ID
2000-02-25,6.6,-3.7,0.0,13.0,2000,Boise,ID
2000-02-26,4.6,1.3,9.0,24.1,2000,Boise,ID
2000-02-27,8.2,2.7,5.2,24.2,2000,Boise,ID
2000-02-28,8.7,1.6,0.3,17.8,2000,Boise,ID
2000-02-29,5.1,1.6,4.6,18.0,2000,Boise,ID
2000-03-01,8.4,-0.7,0.0,13.7,2000,Boise,ID
2000-03-02,11.1,-1.2,0.0,16.8,2000,Boise,ID
2000-03-03,11.3,-1.4,0.0,10.4,2000,Boise,ID
2000-03-04,15.1,2.0,0.0,28.3,2000,Boise,ID
2000-03-05,11.4,4.4,4.1,19.0,2000,Boise,ID
2000-03-06,12.0,2.5,4.4,20.5,2000,Boise,ID
2000-03-07,8.1,0.8,0.4,10.7,2000,Boise,ID
2000-03-08,9.1,0.2,1.7,21.1,2000,Boise,ID
2000-03-09,8.7,1.6,3.0,10.7,2000,Boise,ID
2000-03-10,9.5,-2.9,0.0,21.6,2000,Boise,ID
2000-03-11,9.1,1.1,2.2,21.5,2000,Boise,ID
2000-03-12,9.1,-1.7,0.0,7.3,2000,Boise,ID
2000-03-13,12.5,-2.7,0.0,14.0,2000,Boise,ID
2000-03-14,12.6,4.6,2.1,23.8,2000,Boise,ID
2000-03-15,9.1,0.2,0.0,15.9,2000,Boise,ID
2000-03-16,8.6,0.7,5.0,25.1,2000,Boise,ID
2000-03-17,9.0,-2.4,0.1,16.1,2000,Boise,ID
2000-03-18,11.6,-2.3,1.8,17.5,2000,Boise,ID
2000-03-19,6.7,0.2,5.5,30.2,2000,Boise,ID
2000-03-20,8.8,-2.4,0.0,24.5,2000,Boise,ID
2000-03-21,11.1,-1.6,0.0,13.0,2000,Boise,ID
2000-03-22,15.6,-0.1,0.0,28.1,2000,Boise,ID
2000-03-23,9.3,1.3,6.4,25.5,2000,Boise,ID
2000-03-24,11.9,-3.4,0.0,16.4,2000,Boise,ID
2000-03-25,16.8,2.3,0.9,24.1,2000,Boise,ID
2000-03-26,16.7,4.1,0.0,9.9,2000,Boise,ID
2000-03-27,18.4,3.5,3.5,18.5,2000,Boise,ID
2000-03-28,8.7,3.0,0.0,25.5,2000,Boise,ID
2000-03-29,7.4,1.8,0.3,22.2,2000,Boise,ID
2000-03-30,10.5,-2.0,0.0,17.1,2000,Boise,ID
2000-03-31,14.0,-1.8,0.0,21.2,2000,Boise,ID
2000-04-01,17.0,1.9,0.0,23.4,2000,Boise,ID
2000-04-02,18.5,4.2,0.0,28.7,2000,Boise,ID
2000-04-03,19.2,5.0,0.0,24.2,2000,Boise,ID
2000-04-04,24.4,8.4,0.1,20.9,2000,Boise,ID
2000-04-05,16.3,5.6,0.0,19.2,2000,Boise,ID
2000-04-06,15.5,7.1,0.0,30.0,2000,Boise,ID
2000-04-07,15.3,1.8,0.0,15.3,2000,Boise,ID
2000-04-08,21.2,1.3,0.0,15.8,2000,Boise,ID
2000-04-09,14.3,8.1,5.1,18.1,2000,Boise,ID
2000-04-10,19.5,3.2,0.0,14.6,2000,Boise,ID
2000-04-11,22.3,2.8,0.0,10.4,2000,Boise,ID
2000-04-12,24.8,8.4,0.0,13.5,2000,Boise,ID
2000-04-13,19.7,10.0,2.4,14.3,2000,Boise,ID
2000-04-14,16.1,5.7,0.0,21.4,2000,Boise,ID
2000-04-15,16.7,3.0,0.0,7.7,2000,Boise,ID
2000-04-16,17.7,5.8,0.0,10.0,2000,Boise,ID
2000-04-17,22.0,7.0,0.0,20.5,2000,Boise,ID
2000-04-18,18.0,7.9,1.0,12.1,2000,Boise,ID
