time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,year,city,state_or_province
2000-01-01,7.5,-3.7,0.0,21.1,2000,Boston,MA
2000-01-02,9.9,0.0,0.5,27.2,2000,Boston,MA
2000-01-03,14.4,6.4,1.0,28.0,2000,Boston,MA
2000-01-04,14.8,5.1,11.4,35.1,2000,Boston,MA
2000-01-05,9.6,-4.1,9.2,27.5,2000,Boston,MA
2000-01-06,1.1,-5.7,0.0,16.8,2000,Boston,MA
2000-01-07,5.4,-1.1,0.0,23.3,2000,Boston,MA
2000-01-08,2.4,-2.4,0.0,20.0,2000,Boston,MA
2000-01-09,8.3,-0.6,0.0,21.9,2000,Boston,MA
2000-01-10,11.4,-0.6,15.0,38.2,2000,Boston,MA
2000-01-11,10.9,3.2,0.1,29.5,2000,Boston,MA
2000-01-12,4.3,-1.4,0.0,30.5,2000,Boston,MA
2000-01-13,-0.7,-12.1,6.8,29.1,2000,Boston,MA
2000-01-14,-11.1,-16.1,0.0,29.6,2000,Boston,MA
2000-01-15,-9.8,-18.6,0.0,24.0,2000,Boston,MA
2000-01-16,3.7,-17.2,0.7,35.7,2000,Boston,MA
2000-01-17,-11.4,-18.6,0.0,37.7,2000,Boston,MA
2000-01-18,-7.6,-18.7,0.0,23.5,2000,Boston,MA
2000-01-19,-6.1,-16.2,0.0,15.6,2000,Boston,MA
2000-01-20,-4.4,-13.8,3.0,31.1,2000,Boston,MA
2000-01-21,-8.9,-16.8,3.4,35.6,2000,Boston,MA
2000-01-22,-11.6,-19.6,0.0,32.7,2000,Boston,MA
2000-01-23,-6.4,-20.5,0.0,16.1,2000,Boston,MA
2000-01-24,0.9,-13.4,0.0,15.8,2000,Boston,MA
2000-01-25,-0.0,-9.1,18.6,37.0,2000,Boston,MA
2000-01-26,0.3,-9.7,0.6,21.7,2000,Boston,MA
2000-01-27,-7.2,-16.4,0.0,22.6,2000,Boston,MA
2000-01-28,-10.3,-18.7,0.0,23.2,2000,Boston,MA
2000-01-29,-3.0,-15.3,0.0,20.1,2000,Boston,MA
