time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,year,city,state_or_province
2000-01-01,6.7,-3.7,1.6,19.9,2000,Carson City,NV
2000-01-02,3.5,-4.1,0.1,12.6,2000,Carson City,NV
2000-01-03,6.3,-1.1,0.0,6.4,2000,Carson City,NV
2000-01-04,6.4,-0.3,0.2,12.7,2000,Carson City,NV
2000-01-05,1.9,-2.6,0.0,7.6,2000,Carson City,NV
2000-01-06,7.3,-5.8,0.0,7.4,2000,Carson City,NV
2000-01-07,5.9,1.8,0.3,6.4,2000,Carson City,NV
2000-01-08,10.2,-0.1,0.0,12.0,2000,Carson City,NV
2000-01-09,7.9,0.7,0.0,12.2,2000,Carson City,NV
2000-01-10,7.4,-0.4,0.0,20.8,2000,Carson City,NV
2000-01-11,6.0,-0.1,14.5,21.3,2000,Carson City,NV
2000-01-12,5.5,-1.9,0.0,15.8,2000,Carson City,NV
2000-01-13,8.1,1.4,0.0,16.8,2000,Carson City,NV
2000-01-14,11.3,3.1,0.0,12.9,2000,Carson City,NV
2000-01-15,6.3,2.6,8.9,11.0,2000,Carson City,NV
2000-01-16,4.4,1.1,13.8,17.7,2000,Carson City,NV
2000-01-17,5.8,2.3,6.3,6.1,2000,Carson City,NV
2000-01-18,5.2,3.3,14.5,7.8,2000,Carson City,NV
2000-01-19,8.7,2.2,0.0,6.9,2000,Carson City,NV
2000-01-20,7.4,1.7,1.5,6.9,2000,Carson City,NV
2000-01-21,6.4,0.2,0.0,16.4,2000,Carson City,NV
2000-01-22,6.0,-0.9,0.1,7.2,2000,Carson City,NV
2000-01-23,3.5,2.0,17.1,6.7,2000,Carson City,NV
2000-01-24,3.4,1.9,43.1,8.0,2000,Carson City,NV
2000-01-25,3.5,1.0,15.6,5.4,2000,Carson City,NV
2000-01-26,4.1,-3.4,0.0,6.5,2000,Carson City,NV
2000-01-27,0.5,-4.3,0.0,4.9,2000,Carson City,NV
2000-01-28,-2.6,-7.3,0.0,5.9,2000,Carson City,NV
2000-01-29,0.6,-6.9,0.0,5.4,2000,Carson City,NV
2000-01-30,2.8,-2.7,9.8,14.5,2000,Carson City,NV
2000-01-31,4.2,-2.2,0.9,11.6,2000,Carson City,NV
2000-02-01,8.7,1.2,0.0,8.0,2000,Carson City,NV
2000-02-02,9.7,0.4,0.0,9.5,2000,Carson City,NV
2000-02-03,7.0,0.9,3.5,7.6,2000,Carson City,NV
2000-02-04,8.2,3.2,1.7,6.1,2000,Carson City,NV
2000-02-05,6.6,2.3,0.0,13.0,2000,Carson City,NV
2000-02-06,8.1,1.9,0.0,6.6,2000,Carson City,NV
2000-02-07,11.1,4.0,0.0,8.2,2000,Carson City,NV
2000-02-08,12.8,5.3,0.0,9.2,2000,Carson City,NV
2000-02-09,8.4,4.6,2.4,8.1,2000,Carson City,NV
2000-02-10,7.0,0.9,4.7,8.0,2000,Carson City,NV
2000-02-11,5.1,1.2,7.0,16.0,2000,Carson City,NV
2000-02-12,3.5,-1.8,5.2,21.0,2000,Carson City,NV
2000-02-13,4.8,0.9,25.2,10.8,2000,Carson City,NV
2000-02-14,5.0,-2.0,20.0,19.3,2000,Carson City,NV
2000-02-15,4.9,-1.5,0.0,7.4,2000,Carson City,NV
2000-02-16,3.5,0.3,8.4,5.2,2000,Carson City,NV
2000-02-17,3.7,0.0,0.5,6.1,2000,Carson City,NV
2000-02-18,2.3,-2.8,0.0,6.8,2000,Carson City,NV
2000-02-19,3.3,-3.7,0.2,5.5,2000,Carson City,NV
2000-02-20,5.3,1.7,1.0,8.1,2000,Carson City,NV
2000-02-21,7.0,1.2,1.2,7.1,2000,Carson City,NV
2000-02-22,5.3,0.2,5.7,16.9,2000,Carson City,NV
2000-02-23,1.5,-4.1,11.6,12.1,2000,Carson City,NV
2000-02-24,1.6,-7.0,0.7,11.7,2000,Carson City,NV
2000-02-25,5.3,-2.8,0.2,7.4,2000,Carson City,NV
2000-02-26,5.6,-0.4,2.4,11.5,2000,Carson City,NV
2000-02-27,4.0,-1.1,22.6,9.7,2000,Carson City,NV
2000-02-28,6.0,-2.9,0.0,9.6,2000,Carson City,NV
2000-02-29,3.4,-2.5,4.3,9.6,2000,Carson City,NV
2000-03-01,4.3,-4.0,0.0,5.6,2000,Carson City,NV
2000-03-02,5.0,-0.2,4.1,6.5,2000,Carson City,NV
2000-03-03,4.3,-0.6,0.0,6.7,2000,Carson City,NV
2000-03-04,9.6,0.8,0.0,10.0,2000,Carson City,NV
2000-03-05,5.5,0.5,13.8,6.6,2000,Carson City,NV
2000-03-06,2.8,-1.1,5.0,6.8,2000,Carson City,NV
2000-03-07,3.6,-5.9,0.7,8.3,2000,Carson City,NV
2000-03-08,2.9,-2.4,3.8,13.0,2000,Carson City,NV
2000-03-09,3.3,-3.0,4.1,17.4,2000,Carson City,NV
2000-03-10,8.6,-2.8,0.0,9.8,2000,Carson City,NV
2000-03-11,9.6,1.1,0.0,8.4,2000,Carson City,NV
2000-03-12,9.5,2.4,0.0,5.3,2000,Carson City,NV
