time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,year,city,state_or_province
2000-01-01,15.9,-0.2,0.0,13.7,2000,Charleston,WV
2000-01-02,20.3,9.3,0.0,20.7,2000,Charleston,WV
2000-01-03,20.7,12.0,0.0,25.6,2000,Charleston,WV
2000-01-04,17.4,1.7,10.2,28.5,2000,Charleston,WV
2000-01-05,2.0,-1.2,0.0,17.9,2000,Charleston,WV
2000-01-06,8.6,-1.7,0.0,14.3,2000,Charleston,WV
2000-01-07,7.4,-1.1,0.0,17.0,2000,Charleston,WV
2000-01-08,6.4,-2.9,0.1,10.4,2000,Charleston,WV
2000-01-09,8.3,1.6,3.4,12.4,2000,Charleston,WV
2000-01-10,13.4,6.7,3.9,31.1,2000,Charleston,WV
2000-01-11,10.2,2.7,0.2,32.3,2000,Charleston,WV
2000-01-12,12.5,-0.6,0.0,16.8,2000,Charleston,WV
2000-01-13,12.4,-2.1,2.7,28.3,2000,Charleston,WV
2000-01-14,-0.4,-4.7,0.0,17.6,2000,Charleston,WV
2000-01-15,8.5,-5.2,0.0,19.0,2000,Charleston,WV
2000-01-16,12.4,-1.1,0.0,22.9,2000,Charleston,WV
2000-01-17,0.7,-4.1,0.1,14.1,2000,Charleston,WV
2000-01-18,0.1,-3.9,4.1,10.8,2000,Charleston,WV
2000-01-19,2.0,-2.7,1.4,13.8,2000,Charleston,WV
2000-01-20,1.1,-7.8,5.2,26.8,2000,Charleston,WV
2000-01-21,-7.2,-13.2,0.0,16.0,2000,Charleston,WV
2000-01-22,-1.4,-11.5,1.6,11.2,2000,Charleston,WV
2000-01-23,2.9,-1.2,0.1,10.4,2000,Charleston,WV
2000-01-24,-0.7,-6.5,0.0,11.9,2000,Charleston,WV
2000-01-25,-3.8,-10.1,0.4,16.5,2000,Charleston,WV
2000-01-26,-3.9,-11.6,0.6,16.4,2000,Charleston,WV
2000-01-27,-6.7,-16.6,0.0,10.7,2000,Charleston,WV
2000-01-28,-3.6,-17.2,0.0,10.7,2000,Charleston,WV
2000-01-29,6.1,-14.4,5.1,17.9,2000,Charleston,WV
2000-01-30,2.7,-2.0,4.7,18.4,2000,Charleston,WV
2000-01-31,-1.1,-4.7,0.2,19.2,2000,Charleston,WV
2000-02-01,-0.2,-4.8,0.5,18.8,2000,Charleston,WV
2000-02-02,0.5,-7.8,0.0,13.9,2000,Charleston,WV
2000-02-03,4.2,-6.7,1.8,18.1,2000,Charleston,WV
2000-02-04,2.2,-1.1,2.4,15.9,2000,Charleston,WV
2000-02-05,1.6,-2.8,1.0,14.1,2000,Charleston,WV
2000-02-06,3.2,-5.6,0.0,12.0,2000,Charleston,WV
2000-02-07,7.5,-5.9,0.0,12.2,2000,Charleston,WV
2000-02-08,9.2,-5.5,0.0,14.5,2000,Charleston,WV
2000-02-09,12.9,0.1,0.0,14.8,2000,Charleston,WV
2000-02-10,15.9,2.1,0.5,19.5,2000,Charleston,WV
2000-02-11,9.4,1.1,5.0,18.7,2000,Charleston,WV
2000-02-12,6.1,-0.7,0.9,11.5,2000,Charleston,WV
2000-02-13,14.9,2.8,4.6,19.5,2000,Charleston,WV
2000-02-14,10.3,1.7,10.7,21.6,2000,Charleston,WV
2000-02-15,8.1,0.3,0.0,19.4,2000,Charleston,WV
2000-02-16,14.9,2.1,0.1,21.3,2000,Charleston,WV
2000-02-17,8.7,-0.6,0.0,19.5,2000,Charleston,WV
2000-02-18,16.3,2.7,23.2,27.8,2000,Charleston,WV
2000-02-19,15.5,1.6,6.2,26.0,2000,Charleston,WV
2000-02-20,5.1,0.1,0.0,13.7,2000,Charleston,WV
2000-02-21,10.0,-1.7,0.0,11.5,2000,Charleston,WV
2000-02-22,12.4,0.9,2.4,14.3,2000,Charleston,WV
2000-02-23,18.1,8.9,0.0,16.4,2000,Charleston,WV
2000-02-24,20.9,8.9,0.0,19.0,2000,Charleston,WV
2000-02-25,22.4,12.5,0.0,14.9,2000,Charleston,WV
2000-02-26,24.1,12.3,0.0,21.6,2000,Charleston,WV
2000-02-27,15.3,9.0,8.5,21.3,2000,Charleston,WV
2000-02-28,13.2,4.2,0.0,14.2,2000,Charleston,WV
2000-02-29,17.8,0.9,0.0,14.7,2000,Charleston,WV
