time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,year,city,state_or_province
2000-01-01,-1.5,-14.2,0.7,21.9,2000,Charlottetown,PE
2000-01-02,-0.4,-3.6,1.9,22.8,2000,Charlottetown,PE
2000-01-03,7.5,-3.1,6.2,40.4,2000,Charlottetown,PE
2000-01-04,10.1,-4.1,8.9,41.1,2000,Charlottetown,PE
2000-01-05,10.5,-8.0,21.0,43.3,2000,Charlottetown,PE
2000-01-06,-7.3,-9.9,0.0,37.1,2000,Charlottetown,PE
2000-01-07,2.6,-6.9,5.2,29.5,2000,Charlottetown,PE
2000-01-08,0.1,-6.8,0.0,36.1,2000,Charlottetown,PE
2000-01-09,2.4,-8.0,1.3,23.5,2000,Charlottetown,PE
2000-01-10,-0.3,-3.4,0.0,29.5,2000,Charlottetown,PE
2000-01-11,6.3,-2.2,4.6,54.0,2000,Charlottetown,PE
2000-01-12,4.1,-3.8,14.1,40.8,2000,Charlottetown,PE
2000-01-13,-4.1,-7.9,0.0,38.4,2000,Charlottetown,PE
2000-01-14,-7.3,-13.3,0.0,33.2,2000,Charlottetown,PE
2000-01-15,-12.1,-13.4,0.0,29.0,2000,Charlottetown,PE
2000-01-16,-8.2,-11.8,0.1,24.6,2000,Charlottetown,PE
2000-01-17,-3.2,-8.5,5.4,40.9,2000,Charlottetown,PE
2000-01-18,-3.5,-5.7,2.6,41.4,2000,Charlottetown,PE
2000-01-19,-5.7,-9.7,0.0,22.1,2000,Charlottetown,PE
2000-01-20,-5.9,-10.0,0.0,23.1,2000,Charlottetown,PE
2000-01-21,2.9,-11.9,15.3,52.2,2000,Charlottetown,PE
2000-01-22,-5.8,-17.0,2.6,54.1,2000,Charlottetown,PE
2000-01-23,-14.8,-17.6,0.0,34.7,2000,Charlottetown,PE
2000-01-24,-3.1,-20.4,6.4,18.4,2000,Charlottetown,PE
2000-01-25,7.9,-3.3,17.3,38.3,2000,Charlottetown,PE
2000-01-26,9.5,1.7,0.5,33.1,2000,Charlottetown,PE
2000-01-27,1.3,-3.6,8.8,27.8,2000,Charlottetown,PE
2000-01-28,-4.3,-11.0,0.0,24.8,2000,Charlottetown,PE
2000-01-29,-3.3,-11.1,0.0,23.3,2000,Charlottetown,PE
2000-01-30,-4.4,-9.9,0.0,20.5,2000,Charlottetown,PE
2000-01-31,4.7,-13.4,5.3,38.8,2000,Charlottetown,PE
2000-02-01,2.2,-2.2,0.0,44.2,2000,Charlottetown,PE
2000-02-02,-2.4,-6.0,0.1,24.6,2000,Charlottetown,PE
2000-02-03,-4.3,-10.1,0.0,26.4,2000,Charlottetown,PE
2000-02-04,-8.0,-14.7,0.1,19.5,2000,Charlottetown,PE
2000-02-05,-6.3,-19.4,0.0,23.1,2000,Charlottetown,PE
2000-02-06,-9.4,-15.0,0.0,33.2,2000,Charlottetown,PE
2000-02-07,-2.7,-15.5,1.2,36.1,2000,Charlottetown,PE
2000-02-08,-11.7,-16.8,0.0,31.1,2000,Charlottetown,PE
2000-02-09,2.1,-12.1,0.7,46.9,2000,Charlottetown,PE
2000-02-10,-1.0,-16.2,0.0,23.8,2000,Charlottetown,PE
2000-02-11,0.2,-16.8,4.0,30.4,2000,Charlottetown,PE
2000-02-12,1.7,-14.0,2.9,37.4,2000,Charlottetown,PE
2000-02-13,-5.0,-19.9,0.0,18.6,2000,Charlottetown,PE
2000-02-14,6.4,-11.0,11.9,47.5,2000,Charlottetown,PE
2000-02-15,7.2,-6.5,0.2,39.8,2000,Charlottetown,PE
2000-02-16,-0.1,-9.6,1.2,27.9,2000,Charlottetown,PE
2000-02-17,1.1,-15.3,2.2,40.9,2000,Charlottetown,PE
2000-02-18,-11.9,-18.1,0.0,31.3,2000,Charlottetown,PE
2000-02-19,-5.9,-12.1,0.7,17.6,2000,Charlottetown,PE
2000-02-20,-5.2,-14.7,0.0,17.6,2000,Charlottetown,PE
2000-02-21,-7.1,-10.5,0.0,31.8,2000,Charlottetown,PE
2000-02-22,-8.5,-17.0,0.0,21.9,2000,Charlottetown,PE
2000-02-23,3.6,-17.1,1.1,42.1,2000,Charlottetown,PE
2000-02-24,6.2,-0.9,0.0,37.6,2000,Charlottetown,PE
2000-02-25,-1.7,-7.0,0.0,25.6,2000,Charlottetown,PE
2000-02-26,1.1,-10.1,0.0,22.7,2000,Charlottetown,PE
2000-02-27,9.5,-3.0,0.0,31.9,2000,Charlottetown,PE
2000-02-28,13.8,5.5,0.0,28.7,2000,Charlottetown,PE
2000-02-29,10.5,1.2,0.0,26.6,2000,Charlottetown,PE
2000-03-01,2.7,-0.9,0.0,25.7,2000,Charlottetown,PE
2000-03-02,1.9,-1.5,0.0,14.0,2000,Charlottetown,PE
2000-03-03,1.8,-0.8,3.9,19.5,2000,Charlottetown,PE
2000-03-04,1.7,-1.3,0.0,27.3,2000,Charlottetown,PE
2000-03-05,1.1,-1.7,3.4,22.0,2000,Charlottetown,PE
2000-03-06,-0.2,-3.2,0.3,26.1,2000,Charlottetown,PE
2000-03-07,1.3,-4.1,0.4,17.7,2000,Charlottetown,PE
2000-03-08,0.4,-4.4,0.0,19.1,2000,Charlottetown,PE
2000-03-09,5.7,-9.1,7.5,34.6,2000,Charlottetown,PE
2000-03-10,4.5,-6.0,7.3,40.1,2000,Charlottetown,PE
2000-03-11,-1.2,-5.4,0.0,23.9,2000,Charlottetown,PE
2000-03-12,9.0,-3.7,10.1,46.5,2000,Charlottetown,PE
2000-03-13,8.4,-2.9,2.7,29.8,2000,Charlottetown,PE
2000-03-14,-0.4,-5.0,0.0,24.6,2000,Charlottetown,PE
2000-03-15,9.2,-1.3,0.8,32.1,2000,Charlottetown,PE
2000-03-16,11.9,-0.3,6.1,37.2,2000,Charlottetown,PE
2000-03-17,-0.8,-5.4,35.3,50.9,2000,Charlottetown,PE
2000-03-18,-5.5,-7.7,0.4,46.4,2000,Charlottetown,PE
2000-03-19,-3.6,-6.7,0.0,27.2,2000,Charlottetown,PE
2000-03-20,-0.4,-7.9,0.0,16.8,2000,Charlottetown,PE
2000-03-21,1.6,-4.6,0.0,16.1,2000,Charlottetown,PE
2000-03-22,3.3,-7.5,0.0,12.6,2000,Charlottetown,PE
2000-03-23,6.6,-4.7,0.0,21.9,2000,Charlottetown,PE
2000-03-24,3.9,0.9,0.0,26.3,2000,Charlottetown,PE
2000-03-25,2.9,-1.4,0.0,21.4,2000,Charlottetown,PE
2000-03-26,7.2,-0.7,0.4,14.1,2000,Charlottetown,PE
2000-03-27,7.2,0.5,0.0,19.2,2000,Charlottetown,PE
2000-03-28,10.0,-0.6,3.2,42.5,2000,Charlottetown,PE
2000-03-29,15.8,7.4,6.1,31.6,2000,Charlottetown,PE
2000-03-30,10.1,3.9,0.0,29.0,2000,Charlottetown,PE
2000-03-31,7.5,1.7,4.7,16.8,2000,Charlottetown,PE
2000-04-01,7.9,1.3,0.1,21.8,2000,Charlottetown,PE
2000-04-02,12.8,1.6,0.9,25.5,2000,Charlottetown,PE
2000-04-03,11.5,5.4,3.6,27.5,2000,Charlottetown,PE
2000-04-04,11.3,2.6,12.3,35.6,2000,Charlottetown,PE
2000-04-05,12.2,4.3,6.7,32.0,2000,Charlottetown,PE
2000-04-06,9.1,1.0,0.0,34.2,2000,Charlottetown,PE
2000-04-07,7.5,1.5,0.0,22.0,2000,Charlottetown,PE
2000-04-08,11.3,0.2,0.0,35.2,2000,Charlottetown,PE
2000-04-09,16.0,11.0,5.2,51.6,2000,Charlottetown,PE
2000-04-10,11.1,3.1,7.4,41.8,2000,Charlottetown,PE
2000-04-11,5.0,0.2,0.2,25.2,2000,Charlottetown,PE
2000-04-12,6.2,0.2,6.7,45.3,2000,Charlottetown,PE
2000-04-13,4.4,0.8,0.6,36.2,2000,Charlottetown,PE
2000-04-14,7.3,-0.6,0.0,37.4,2000,Charlottetown,PE
2000-04-15,8.8,3.3,2.4,41.3,2000,Charlottetown,PE
2000-04-16,4.2,-0.1,0.1,16.6,2000,Charlottetown,PE
2000-04-17,2.0,-2.9,0.2,22.2,2000,Charlottetown,PE
2000-04-18,4.1,-3.9,0.0,13.7,2000,Charlottetown,PE
2000-04-19,6.9,-1.0,1.2,21.2,2000,Charlottetown,PE
2000-04-20,3.3,1.0,4.3,21.4,2000,Charlottetown,PE
2000-04-21,4.1,0.3,0.0,24.7,2000,Charlottetown,PE
2000-04-22,6.7,0.1,0.0,23.7,2000,Charlottetown,PE
2000-04-23,8.2,2.8,2.6,32.4,2000,Charlottetown,PE
2000-04-24,13.2,2.2,8.3,32.5,2000,Charlottetown,PE
2000-04-25,2.0,0.9,0.1,34.3,2000,Charlottetown,PE
2000-04-26,5.0,0.3,0.0,26.6,2000,Charlottetown,PE
2000-04-27,8.6,1.0,3.3,25.0,2000,Charlottetown,PE
2000-04-28,6.2,1.9,0.0,17.7,2000,Charlottetown,PE
2000-04-29,10.4,3.7,0.0,18.4,2000,Charlottetown,PE
2000-04-30,4.1,1.3,2.6,23.0,2000,Charlottetown,PE
2000-05-01,8.3,1.0,2.6,19.4,2000,Charlottetown,PE
2000-05-02,8.8,2.7,2.5,32.9,2000,Charlottetown,PE
2000-05-03,8.5,2.3,0.0,33.6,2000,Charlottetown,PE
2000-05-04,14.6,3.4,0.0,33.7,2000,Charlottetown,PE
2000-05-05,12.8,6.0,1.5,34.4,2000,Charlottetown,PE
2000-05-06,8.5,2.5,0.0,15.5,2000,Charlottetown,PE
2000-05-07,10.0,2.1,14.6,38.5,2000,Charlottetown,PE
2000-05-08,13.2,5.3,1.0,38.8,2000,Charlottetown,PE
2000-05-09,5.8,2.1,3.6,21.3,2000,Charlottetown,PE
2000-05-10,9.0,1.2,0.0,17.2,2000,Charlottetown,PE
2000-05-11,10.5,3.7,5.4,30.6,2000,Charlottetown,PE
2000-05-12,9.3,2.6,0.2,41.1,2000,Charlottetown,PE
2000-05-13,5.6,2.5,0.0,28.4,2000,Charlottetown,PE
2000-05-14,12.6,2.1,0.3,11.4,2000,Charlottetown,PE
2000-05-15,16.0,7.1,0.0,13.0,2000,Charlottetown,PE
2000-05-16,10.6,6.3,0.0,22.2,2000,Charlottetown,PE
2000-05-17,15.8,5.7,0.6,19.8,2000,Charlottetown,PE
2000-05-18,17.6,8.7,6.9,51.7,2000,Charlottetown,PE
2000-05-19,12.4,6.3,7.2,46.9,2000,Charlottetown,PE
2000-05-20,11.4,5.0,0.0,15.9,2000,Charlottetown,PE
2000-05-21,13.2,3.3,0.0,14.2,2000,Charlottetown,PE
2000-05-22,18.2,5.3,0.0,19.2,2000,Charlottetown,PE
2000-05-23,10.6,7.3,5.9,22.9,2000,Charlottetown,PE
2000-05-24,12.3,7.3,4.0,23.1,2000,Charlottetown,PE
2000-05-25,15.4,7.8,20.6,23.7,2000,Charlottetown,PE
2000-05-26,14.6,7.5,2.4,23.4,2000,Charlottetown,PE
2000-05-27,13.4,8.5,0.6,22.1,2000,Charlottetown,PE
2000-05-28,11.0,7.0,1.0,28.6,2000,Charlottetown,PE
2000-05-29,9.1,4.2,0.0,28.5,2000,Charlottetown,PE
2000-05-30,12.8,4.0,0.0,14.8,2000,Charlottetown,PE
2000-05-31,17.4,7.8,0.1,30.5,2000,Charlottetown,PE
2000-06-01,20.4,11.2,1.1,29.9,2000,Charlottetown,PE
2000-06-02,20.7,8.5,0.2,15.4,2000,Charlottetown,PE
2000-06-03,13.3,8.9,3.9,35.2,2000,Charlottetown,PE
2000-06-04,13.5,9.3,0.0,25.1,2000,Charlottetown,PE
2000-06-05,12.9,7.4,0.0,13.5,2000,Charlottetown,PE
2000-06-06,15.2,5.3,0.0,23.8,2000,Charlottetown,PE
2000-06-07,9.2,6.2,12.8,38.0,2000,Charlottetown,PE
2000-06-08,18.5,6.6,0.0,30.6,2000,Charlottetown,PE
2000-06-09,15.8,11.9,9.8,38.3,2000,Charlottetown,PE
2000-06-10,14.3,9.9,0.0,23.8,2000,Charlottetown,PE
2000-06-11,11.5,7.3,0.0,18.1,2000,Charlottetown,PE
2000-06-12,13.7,6.0,0.0,12.5,2000,Charlottetown,PE
2000-06-13,17.0,7.6,0.0,8.0,2000,Charlottetown,PE
2000-06-14,19.6,8.7,0.0,20.0,2000,Charlottetown,PE
2000-06-15,19.5,10.4,0.0,27.3,2000,Charlottetown,PE
2000-06-16,22.4,14.4,0.0,26.8,2000,Charlottetown,PE
2000-06-17,25.9,16.7,0.1,30.6,2000,Charlottetown,PE
