time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,year,city,state_or_province
2000-01-01,5.3,-7.8,0.0,14.3,2000,Concord,NH
2000-01-02,7.5,-2.3,1.5,17.9,2000,Concord,NH
2000-01-03,11.9,1.4,4.2,20.0,2000,Concord,NH
2000-01-04,12.2,0.8,20.1,23.1,2000,Concord,NH
2000-01-05,4.7,-7.8,1.3,25.0,2000,Concord,NH
2000-01-06,-0.7,-9.1,0.0,13.8,2000,Concord,NH
2000-01-07,3.6,-3.2,0.3,19.6,2000,Concord,NH
2000-01-08,1.1,-3.5,0.0,18.2,2000,Concord,NH
2000-01-09,6.7,-2.2,0.0,13.0,2000,Concord,NH
2000-01-10,6.1,-2.0,17.1,23.8,2000,Concord,NH
2000-01-11,7.8,1.4,0.6,23.3,2000,Concord,NH
2000-01-12,2.1,-3.8,0.0,28.0,2000,Concord,NH
2000-01-13,-3.7,-14.6,1.4,24.5,2000,Concord,NH
2000-01-14,-12.8,-18.0,0.0,29.1,2000,Concord,NH
2000-01-15,-10.3,-20.1,0.0,21.4,2000,Concord,NH
2000-01-16,1.8,-15.2,3.3,32.4,2000,Concord,NH
2000-01-17,-14.7,-20.7,0.0,32.6,2000,Concord,NH
2000-01-18,-10.9,-22.0,0.0,20.4,2000,Concord,NH
2000-01-19,-8.3,-19.6,0.0,12.4,2000,Concord,NH
2000-01-20,-8.0,-16.0,1.6,13.0,2000,Concord,NH
2000-01-21,-10.3,-19.4,1.5,31.1,2000,Concord,NH
2000-01-22,-14.0,-21.5,0.0,30.3,2000,Concord,NH
2000-01-23,-6.7,-19.6,0.0,15.1,2000,Concord,NH
2000-01-24,-0.1,-15.3,0.0,7.7,2000,Concord,NH
2000-01-25,-2.3,-10.9,17.4,24.8,2000,Concord,NH
2000-01-26,-2.1,-9.9,5.1,19.2,2000,Concord,NH
2000-01-27,-10.3,-18.0,0.0,20.7,2000,Concord,NH
2000-01-28,-13.0,-19.4,0.0,25.3,2000,Concord,NH
2000-01-29,-4.5,-14.8,0.0,20.9,2000,Concord,NH
2000-01-30,3.0,-9.7,0.0,13.8,2000,Concord,NH
2000-01-31,2.3,-5.1,11.7,22.1,2000,Concord,NH
2000-02-01,0.4,-7.4,0.0,20.9,2000,Concord,NH
2000-02-02,-7.6,-13.0,0.0,26.5,2000,Concord,NH
2000-02-03,-4.6,-15.3,0.0,19.9,2000,Concord,NH
2000-02-04,-3.2,-15.6,0.0,8.3,2000,Concord,NH
2000-02-05,-1.6,-18.3,0.0,16.0,2000,Concord,NH
2000-02-06,-4.0,-10.0,0.0,28.7,2000,Concord,NH
2000-02-07,1.7,-12.2,0.0,28.8,2000,Concord,NH
2000-02-08,-5.5,-17.3,0.0,18.4,2000,Concord,NH
2000-02-09,3.8,-11.4,0.0,20.4,2000,Concord,NH
2000-02-10,3.2,-4.1,0.1,12.9,2000,Concord,NH
2000-02-11,3.8,-6.7,5.6,23.4,2000,Concord,NH
2000-02-12,-5.3,-15.8,0.0,21.3,2000,Concord,NH
2000-02-13,1.0,-19.2,0.4,11.3,2000,Concord,NH
2000-02-14,4.7,-2.5,25.2,15.0,2000,Concord,NH
2000-02-15,0.4,-7.8,0.0,23.2,2000,Concord,NH
2000-02-16,4.2,-10.5,0.0,18.0,2000,Concord,NH
2000-02-17,-0.2,-16.6,0.0,23.7,2000,Concord,NH
2000-02-18,-3.3,-19.0,13.9,15.2,2000,Concord,NH
2000-02-19,-1.2,-6.6,7.5,15.0,2000,Concord,NH
2000-02-20,0.6,-9.6,0.0,18.6,2000,Concord,NH
2000-02-21,0.7,-8.8,0.0,18.0,2000,Concord,NH
2000-02-22,4.5,-9.7,0.0,10.9,2000,Concord,NH
2000-02-23,7.8,-2.2,0.0,17.5,2000,Concord,NH
2000-02-24,8.9,2.2,3.5,12.3,2000,Concord,NH
2000-02-25,3.7,-0.3,17.4,18.1,2000,Concord,NH
2000-02-26,2.5,-0.4,0.2,10.8,2000,Concord,NH
2000-02-27,11.6,1.5,0.2,15.5,2000,Concord,NH
2000-02-28,10.2,1.7,7.0,19.9,2000,Concord,NH
2000-02-29,4.8,-1.7,0.1,26.9,2000,Concord,NH
2000-03-01,8.4,-4.5,0.0,9.9,2000,Concord,NH
2000-03-02,6.4,-1.2,1.5,19.1,2000,Concord,NH
2000-03-03,4.6,-2.0,0.0,26.5,2000,Concord,NH
2000-03-04,5.9,-3.3,0.0,22.7,2000,Concord,NH
2000-03-05,7.0,-2.0,0.1,19.4,2000,Concord,NH
2000-03-06,5.2,-2.3,0.0,21.7,2000,Concord,NH
2000-03-07,13.2,-1.5,0.0,15.2,2000,Concord,NH
2000-03-08,11.7,1.4,0.0,13.0,2000,Concord,NH
2000-03-09,21.0,2.1,2.7,16.9,2000,Concord,NH
2000-03-10,10.3,-1.7,0.4,22.9,2000,Concord,NH
2000-03-11,3.1,-1.2,19.9,17.8,2000,Concord,NH
2000-03-12,3.5,-0.4,9.2,20.9,2000,Concord,NH
2000-03-13,-0.5,-8.7,0.0,19.9,2000,Concord,NH
2000-03-14,8.3,-9.7,0.0,22.4,2000,Concord,NH
2000-03-15,12.1,-0.5,0.0,21.6,2000,Concord,NH
2000-03-16,18.3,2.8,6.1,21.3,2000,Concord,NH
2000-03-17,2.0,-9.4,18.3,22.0,2000,Concord,NH
2000-03-18,-1.0,-15.5,0.0,16.4,2000,Concord,NH
2000-03-19,2.2,-15.2,0.0,10.5,2000,Concord,NH
2000-03-20,3.9,-9.9,0.0,10.5,2000,Concord,NH
2000-03-21,4.6,-1.0,0.0,14.1,2000,Concord,NH
2000-03-22,7.8,-1.7,0.0,11.3,2000,Concord,NH
2000-03-23,16.3,-2.0,0.0,14.3,2000,Concord,NH
2000-03-24,14.5,1.7,0.0,13.9,2000,Concord,NH
2000-03-25,16.7,-0.6,0.3,16.5,2000,Concord,NH
2000-03-26,15.0,4.8,0.2,21.9,2000,Concord,NH
2000-03-27,14.4,1.1,0.0,14.1,2000,Concord,NH
2000-03-28,11.8,3.8,30.1,28.1,2000,Concord,NH
2000-03-29,11.4,3.2,1.5,23.7,2000,Concord,NH
2000-03-30,9.0,1.4,0.0,17.9,2000,Concord,NH
2000-03-31,9.1,-0.4,0.0,15.8,2000,Concord,NH
2000-04-01,14.7,0.4,0.0,13.8,2000,Concord,NH
2000-04-02,17.4,5.0,2.1,13.7,2000,Concord,NH
2000-04-03,10.2,6.3,5.7,10.9,2000,Concord,NH
2000-04-04,18.3,5.5,12.1,24.0,2000,Concord,NH
2000-04-05,7.9,1.8,0.0,26.1,2000,Concord,NH
2000-04-06,11.4,-0.1,0.6,19.1,2000,Concord,NH
2000-04-07,14.3,3.6,0.0,16.1,2000,Concord,NH
2000-04-08,22.0,5.4,1.9,28.1,2000,Concord,NH
2000-04-09,13.5,-0.4,26.2,29.6,2000,Concord,NH
2000-04-10,8.7,0.5,0.0,28.6,2000,Concord,NH
2000-04-11,9.2,-1.1,0.8,12.8,2000,Concord,NH
2000-04-12,6.8,-0.1,3.0,25.4,2000,Concord,NH
2000-04-13,7.8,-1.0,0.0,17.9,2000,Concord,NH
2000-04-14,14.0,-0.8,0.0,19.8,2000,Concord,NH
2000-04-15,23.0,5.2,0.0,20.2,2000,Concord,NH
2000-04-16,19.6,7.2,1.5,15.7,2000,Concord,NH
2000-04-17,10.3,2.4,0.0,10.7,2000,Concord,NH
2000-04-18,6.2,1.5,0.0,16.9,2000,Concord,NH
2000-04-19,5.0,2.4,4.9,13.0,2000,Concord,NH
2000-04-20,13.6,3.9,0.2,7.4,2000,Concord,NH
2000-04-21,7.6,2.8,9.7,16.2,2000,Concord,NH
2000-04-22,5.2,3.0,12.8,21.3,2000,Concord,NH
2000-04-23,6.5,3.1,8.9,16.3,2000,Concord,NH
2000-04-24,8.5,2.4,2.1,21.8,2000,Concord,NH
2000-04-25,11.8,0.8,0.0,14.0,2000,Concord,NH
2000-04-26,4.4,1.5,6.9,17.4,2000,Concord,NH
2000-04-27,9.1,1.5,1.6,9.0,2000,Concord,NH
2000-04-28,10.1,0.7,1.6,13.2,2000,Concord,NH
2000-04-29,17.5,0.6,0.0,10.0,2000,Concord,NH
2000-04-30,12.0,3.8,0.9,24.8,2000,Concord,NH
2000-05-01,16.8,2.7,0.2,17.5,2000,Concord,NH
2000-05-02,14.5,6.0,3.1,20.7,2000,Concord,NH
2000-05-03,17.7,2.6,0.0,13.0,2000,Concord,NH
2000-05-04,21.5,5.9,0.0,21.3,2000,Concord,NH
2000-05-05,24.4,11.3,0.0,19.9,2000,Concord,NH
2000-05-06,19.5,11.3,1.9,10.9,2000,Concord,NH
2000-05-07,29.2,9.8,0.2,20.2,2000,Concord,NH
2000-05-08,25.7,16.0,18.1,17.3,2000,Concord,NH
2000-05-09,28.2,8.7,13.2,17.0,2000,Concord,NH
2000-05-10,8.6,6.1,11.9,17.9,2000,Concord,NH
2000-05-11,14.2,5.3,2.8,24.5,2000,Concord,NH
2000-05-12,21.1,6.5,0.0,10.7,2000,Concord,NH
2000-05-13,14.8,8.9,1.7,15.1,2000,Concord,NH
2000-05-14,19.8,8.7,0.5,17.2,2000,Concord,NH
2000-05-15,14.6,6.8,0.0,18.1,2000,Concord,NH
2000-05-16,17.2,5.4,0.0,13.1,2000,Concord,NH
2000-05-17,19.3,7.9,0.5,14.5,2000,Concord,NH
2000-05-18,21.7,9.8,7.6,30.8,2000,Concord,NH
2000-05-19,11.0,5.5,3.6,16.3,2000,Concord,NH
2000-05-20,15.7,3.8,0.7,12.6,2000,Concord,NH
2000-05-21,10.1,8.6,1.4,8.0,2000,Concord,NH
2000-05-22,14.5,8.7,0.1,10.2,2000,Concord,NH
2000-05-23,15.9,7.3,0.2,12.2,2000,Concord,NH
2000-05-24,11.3,9.5,23.0,14.0,2000,Concord,NH
2000-05-25,18.6,9.7,3.9,22.5,2000,Concord,NH
2000-05-26,17.7,10.1,0.0,22.0,2000,Concord,NH
2000-05-27,18.1,9.9,0.0,20.8,2000,Concord,NH
2000-05-28,15.5,8.5,0.0,10.1,2000,Concord,NH
2000-05-29,16.1,8.7,0.0,13.3,2000,Concord,NH
2000-05-30,18.4,6.1,0.0,13.4,2000,Concord,NH
2000-05-31,21.6,7.5,0.0,15.5,2000,Concord,NH
2000-06-01,27.0,13.7,0.0,12.1,2000,Concord,NH
2000-06-02,28.0,13.9,14.0,18.4,2000,Concord,NH
2000-06-03,19.8,11.8,0.0,24.5,2000,Concord,NH
2000-06-04,20.6,9.3,0.1,8.3,2000,Concord,NH
2000-06-05,16.1,10.7,0.2,13.5,2000,Concord,NH
2000-06-06,15.5,7.3,11.9,23.4,2000,Concord,NH
2000-06-07,18.2,7.0,10.3,20.9,2000,Concord,NH
2000-06-08,23.1,8.7,0.6,17.6,2000,Concord,NH
2000-06-09,23.2,16.7,1.2,22.2,2000,Concord,NH
2000-06-10,28.5,14.5,0.0,14.1,2000,Concord,NH
2000-06-11,17.9,9.0,7.6,12.7,2000,Concord,NH
2000-06-12,10.3,8.8,3.8,8.3,2000,Concord,NH
2000-06-13,17.2,8.5,2.9,12.8,2000,Concord,NH
2000-06-14,14.1,9.2,0.7,10.6,2000,Concord,NH
2000-06-15,20.1,10.4,0.0,15.7,2000,Concord,NH
2000-06-16,27.4,18.3,0.0,18.6,2000,Concord,NH
2000-06-17,29.4,18.6,10.8,19.2,2000,Concord,NH
2000-06-18,23.7,14.8,7.2,13.5,2000,Concord,NH
2000-06-19,20.3,14.2,0.1,9.7,2000,Concord,NH
2000-06-20,24.4,13.7,0.0,14.2,2000,Concord,NH
2000-06-21,26.4,15.1,8.0,25.0,2000,Concord,NH
2000-06-22,26.2,18.4,4.2,19.0,2000,Concord,NH
2000-06-23,23.6,16.4,0.0,18.1,2000,Concord,NH
2000-06-24,25.7,14.0,0.0,10.0,2000,Concord,NH
2000-06-25,28.9,16.8,2.6,23.1,2000,Concord,NH
2000-06-26,25.6,20.0,2.8,10.5,2000,Concord,NH
2000-06-27,26.7,19.4,10.4,16.9,2000,Concord,NH
2000-06-28,25.9,16.9,0.0,10.6,2000,Concord,NH
2000-06-29,24.7,16.8,0.0,11.1,2000,Concord,NH
2000-06-30,23.3,15.9,4.4,13.5,2000,Concord,NH
2000-07-01,25.2,14.9,0.0,9.2,2000,Concord,NH
2000-07-02,29.2,15.1,0.0,14.1,2000,Concord,NH
2000-07-03,29.5,18.0,0.3,13.3,2000,Concord,NH
2000-07-04,27.2,19.2,1.7,13.1,2000,Concord,NH
2000-07-05,24.2,15.3,0.0,19.6,2000,Concord,NH
