time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,year,city,state_or_province
2000-01-01,24.4,19.5,0.0,13.8,2000,Honolulu,HI
2000-01-02,25.1,21.8,0.0,20.2,2000,Honolulu,HI
2000-01-03,25.3,22.4,0.0,25.0,2000,Honolulu,HI
2000-01-04,24.8,22.3,0.0,37.8,2000,Honolulu,HI
2000-01-05,24.7,22.3,0.0,40.0,2000,Honolulu,HI
2000-01-06,24.4,22.1,0.0,41.1,2000,Honolulu,HI
2000-01-07,24.2,22.3,0.0,49.1,2000,Honolulu,HI
2000-01-08,24.2,22.4,0.0,46.0,2000,Honolulu,HI
2000-01-09,24.3,22.2,0.0,42.1,2000,Honolulu,HI
2000-01-10,24.0,22.2,0.0,40.4,2000,Honolulu,HI
2000-01-11,24.5,22.3,0.0,39.2,2000,Honolulu,HI
2000-01-12,24.0,21.6,0.0,33.5,2000,Honolulu,HI
2000-01-13,23.6,21.3,0.6,31.9,2000,Honolulu,HI
2000-01-14,23.7,21.5,0.0,37.1,2000,Honolulu,HI
2000-01-15,22.4,20.7,0.4,45.6,2000,Honolulu,HI
2000-01-16,22.8,20.5,0.2,44.1,2000,Honolulu,HI
2000-01-17,22.5,20.6,0.0,39.6,2000,Honolulu,HI
2000-01-18,22.6,19.7,0.2,37.2,2000,Honolulu,HI
2000-01-19,20.8,19.0,2.5,41.0,2000,Honolulu,HI
2000-01-20,22.1,19.5,2.2,40.5,2000,Honolulu,HI
2000-01-21,21.9,20.7,0.5,42.9,2000,Honolulu,HI
2000-01-22,21.7,20.2,0.0,39.3,2000,Honolulu,HI
2000-01-23,22.9,20.2,0.0,32.5,2000,Honolulu,HI
2000-01-24,23.2,20.3,0.0,25.0,2000,Honolulu,HI
2000-01-25,22.4,19.5,0.0,28.5,2000,Honolulu,HI
2000-01-26,20.8,19.8,1.4,43.4,2000,Honolulu,HI
2000-01-27,22.5,19.7,0.0,45.1,2000,Honolulu,HI
2000-01-28,23.2,21.2,0.0,43.1,2000,Honolulu,HI
2000-01-29,23.9,21.2,0.0,32.1,2000,Honolulu,HI
2000-01-30,24.5,19.6,0.0,19.9,2000,Honolulu,HI
2000-01-31,24.8,18.4,0.0,24.6,2000,Honolulu,HI
2000-02-01,23.6,21.5,0.0,36.1,2000,Honolulu,HI
2000-02-02,24.8,20.3,0.0,21.2,2000,Honolulu,HI
2000-02-03,24.8,18.9,0.0,10.8,2000,Honolulu,HI
2000-02-04,24.5,20.7,0.0,8.7,2000,Honolulu,HI
2000-02-05,24.5,20.0,0.0,13.9,2000,Honolulu,HI
2000-02-06,24.6,19.8,0.0,15.1,2000,Honolulu,HI
2000-02-07,24.8,19.1,0.0,17.3,2000,Honolulu,HI
2000-02-08,24.7,21.3,0.0,25.4,2000,Honolulu,HI
2000-02-09,24.6,20.8,0.0,19.2,2000,Honolulu,HI
2000-02-10,24.5,21.0,0.0,22.4,2000,Honolulu,HI
2000-02-11,25.1,20.0,0.0,19.5,2000,Honolulu,HI
2000-02-12,24.9,19.3,0.0,13.5,2000,Honolulu,HI
2000-02-13,24.9,21.1,0.0,21.9,2000,Honolulu,HI
2000-02-14,25.1,20.3,0.0,21.8,2000,Honolulu,HI
2000-02-15,25.0,21.7,0.0,20.1,2000,Honolulu,HI
2000-02-16,25.3,19.9,0.0,26.9,2000,Honolulu,HI
2000-02-17,25.1,21.9,0.0,27.5,2000,Honolulu,HI
2000-02-18,25.1,22.0,0.0,32.9,2000,Honolulu,HI
2000-02-19,23.1,20.8,0.4,39.2,2000,Honolulu,HI
2000-02-20,24.0,20.5,0.0,37.8,2000,Honolulu,HI
2000-02-21,24.6,22.1,0.0,38.0,2000,Honolulu,HI
2000-02-22,24.3,21.7,0.0,41.2,2000,Honolulu,HI
2000-02-23,24.6,21.6,0.0,41.6,2000,Honolulu,HI
2000-02-24,24.3,21.4,0.0,37.5,2000,Honolulu,HI
2000-02-25,24.4,21.9,0.0,37.2,2000,Honolulu,HI
2000-02-26,24.7,22.0,0.0,38.5,2000,Honolulu,HI
2000-02-27,24.8,21.9,0.0,37.2,2000,Honolulu,HI
2000-02-28,25.1,21.8,0.0,41.6,2000,Honolulu,HI
2000-02-29,24.8,22.1,0.0,39.8,2000,Honolulu,HI
2000-03-01,24.7,22.0,0.0,42.0,2000,Honolulu,HI
2000-03-02,25.3,22.2,0.0,31.7,2000,Honolulu,HI
2000-03-03,25.0,22.0,0.0,32.7,2000,Honolulu,HI
2000-03-04,25.4,22.2,0.0,31.0,2000,Honolulu,HI
2000-03-05,25.8,21.8,0.0,24.5,2000,Honolulu,HI
2000-03-06,24.8,21.8,0.0,35.9,2000,Honolulu,HI
2000-03-07,24.4,21.9,0.0,36.1,2000,Honolulu,HI
