time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,year,city,state_or_province
2000-01-01,18.5,12.0,0.0,14.8,2000,Jackson,MS
2000-01-02,23.7,12.1,0.0,22.8,2000,Jackson,MS
2000-01-03,22.4,16.8,20.2,24.4,2000,Jackson,MS
2000-01-04,15.4,2.6,0.0,23.1,2000,Jackson,MS
2000-01-05,9.2,-2.2,0.0,9.0,2000,Jackson,MS
2000-01-06,13.3,-2.1,0.0,8.9,2000,Jackson,MS
2000-01-07,15.5,2.0,0.0,10.9,2000,Jackson,MS
2000-01-08,14.7,4.9,4.9,18.0,2000,Jackson,MS
2000-01-09,19.1,13.8,14.6,21.1,2000,Jackson,MS
2000-01-10,20.0,9.6,0.9,24.1,2000,Jackson,MS
2000-01-11,20.9,6.5,0.0,18.4,2000,Jackson,MS
2000-01-12,22.5,12.5,0.0,20.5,2000,Jackson,MS
2000-01-13,18.5,8.7,1.6,20.9,2000,Jackson,MS
2000-01-14,11.4,3.0,0.0,17.4,2000,Jackson,MS
2000-01-15,17.0,1.6,0.0,17.5,2000,Jackson,MS
2000-01-16,20.0,8.9,0.0,14.8,2000,Jackson,MS
2000-01-17,21.9,12.5,0.0,15.1,2000,Jackson,MS
2000-01-18,20.5,13.5,0.3,16.3,2000,Jackson,MS
2000-01-19,21.7,12.3,4.5,23.7,2000,Jackson,MS
2000-01-20,13.6,2.1,0.0,20.9,2000,Jackson,MS
2000-01-21,9.9,-0.8,0.0,12.8,2000,Jackson,MS
2000-01-22,17.4,4.7,0.5,20.6,2000,Jackson,MS
2000-01-23,15.7,7.5,6.2,17.1,2000,Jackson,MS
2000-01-24,7.6,-0.4,0.0,19.9,2000,Jackson,MS
2000-01-25,7.9,-3.8,0.0,18.3,2000,Jackson,MS
2000-01-26,3.8,-4.3,0.0,14.0,2000,Jackson,MS
2000-01-27,4.0,-0.2,7.2,18.4,2000,Jackson,MS
2000-01-28,3.3,0.2,5.2,22.8,2000,Jackson,MS
2000-01-29,4.3,1.2,2.3,11.5,2000,Jackson,MS
2000-01-30,6.5,-2.1,0.0,12.7,2000,Jackson,MS
2000-01-31,7.7,-2.6,0.0,8.2,2000,Jackson,MS
2000-02-01,12.5,-1.4,0.0,10.2,2000,Jackson,MS
2000-02-02,10.5,-1.8,0.0,11.2,2000,Jackson,MS
