time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,year,city,state_or_province
2000-01-01,18.8,4.2,0.0,18.4,2000,Little Rock,AR
2000-01-02,19.4,12.7,11.7,23.0,2000,Little Rock,AR
2000-01-03,18.9,10.9,10.2,25.5,2000,Little Rock,AR
2000-01-04,9.9,1.3,0.0,22.7,2000,Little Rock,AR
2000-01-05,6.8,-2.9,0.0,11.7,2000,Little Rock,AR
2000-01-06,12.3,-0.6,0.0,9.5,2000,Little Rock,AR
2000-01-07,12.8,2.4,0.0,9.1,2000,Little Rock,AR
2000-01-08,9.6,6.1,8.3,12.0,2000,Little Rock,AR
2000-01-09,17.2,6.3,0.0,20.7,2000,Little Rock,AR
2000-01-10,17.8,5.9,0.0,20.9,2000,Little Rock,AR
2000-01-11,15.1,5.1,0.0,10.7,2000,Little Rock,AR
2000-01-12,19.4,5.0,0.3,22.4,2000,Little Rock,AR
2000-01-13,16.4,5.6,0.5,18.0,2000,Little Rock,AR
2000-01-14,8.3,0.9,0.0,14.4,2000,Little Rock,AR
2000-01-15,15.2,2.2,0.0,17.8,2000,Little Rock,AR
2000-01-16,18.5,11.7,1.8,16.5,2000,Little Rock,AR
2000-01-17,21.3,11.3,0.9,16.2,2000,Little Rock,AR
2000-01-18,15.9,8.9,0.0,15.0,2000,Little Rock,AR
2000-01-19,11.5,6.6,0.2,14.5,2000,Little Rock,AR
2000-01-20,9.6,0.9,0.0,21.8,2000,Little Rock,AR
2000-01-21,7.2,-1.9,0.0,13.4,2000,Little Rock,AR
2000-01-22,6.9,4.3,4.1,11.8,2000,Little Rock,AR
2000-01-23,8.3,2.4,0.6,10.5,2000,Little Rock,AR
2000-01-24,4.6,-1.1,0.2,16.0,2000,Little Rock,AR
2000-01-25,5.6,-3.3,0.0,18.0,2000,Little Rock,AR
2000-01-26,1.0,-4.0,0.0,10.8,2000,Little Rock,AR
2000-01-27,0.2,-3.5,18.4,16.9,2000,Little Rock,AR
2000-01-28,-1.7,-4.1,3.9,14.3,2000,Little Rock,AR
2000-01-29,1.9,-3.6,0.0,11.4,2000,Little Rock,AR
2000-01-30,2.3,-8.4,0.0,12.3,2000,Little Rock,AR
2000-01-31,2.9,-9.3,0.0,10.5,2000,Little Rock,AR
2000-02-01,8.2,-5.7,0.0,12.2,2000,Little Rock,AR
2000-02-02,3.8,-7.8,0.0,12.9,2000,Little Rock,AR
2000-02-03,14.0,-1.5,0.0,14.3,2000,Little Rock,AR
2000-02-04,6.9,-0.5,0.0,22.7,2000,Little Rock,AR
2000-02-05,5.6,-3.3,0.0,9.3,2000,Little Rock,AR
2000-02-06,10.8,-3.5,0.0,11.4,2000,Little Rock,AR
2000-02-07,16.4,2.8,0.0,9.1,2000,Little Rock,AR
2000-02-08,14.0,2.2,0.0,11.7,2000,Little Rock,AR
2000-02-09,19.6,3.6,0.0,18.6,2000,Little Rock,AR
2000-02-10,20.4,11.2,0.0,25.7,2000,Little Rock,AR
2000-02-11,12.0,6.8,3.0,17.8,2000,Little Rock,AR
2000-02-12,11.4,4.3,0.0,13.0,2000,Little Rock,AR
2000-02-13,20.1,5.8,2.0,21.4,2000,Little Rock,AR
2000-02-14,14.2,5.0,0.0,13.6,2000,Little Rock,AR
2000-02-15,21.6,4.1,0.0,17.7,2000,Little Rock,AR
2000-02-16,17.8,9.8,0.0,18.3,2000,Little Rock,AR
2000-02-17,12.3,6.1,10.8,16.6,2000,Little Rock,AR
2000-02-18,20.8,7.5,1.8,31.3,2000,Little Rock,AR
2000-02-19,11.1,2.8,0.0,15.3,2000,Little Rock,AR
2000-02-20,13.8,1.8,0.0,7.9,2000,Little Rock,AR
2000-02-21,18.1,5.9,0.0,15.5,2000,Little Rock,AR
2000-02-22,21.5,9.3,0.0,18.7,2000,Little Rock,AR
2000-02-23,19.6,12.2,9.3,25.3,2000,Little Rock,AR
2000-02-24,23.9,14.6,0.0,20.9,2000,Little Rock,AR
2000-02-25,21.1,17.0,2.6,27.1,2000,Little Rock,AR
2000-02-26,17.0,9.3,55.9,19.5,2000,Little Rock,AR
2000-02-27,17.2,6.4,0.0,13.1,2000,Little Rock,AR
2000-02-28,18.5,4.6,0.0,13.5,2000,Little Rock,AR
2000-02-29,19.1,8.9,0.4,24.7,2000,Little Rock,AR
2000-03-01,18.8,10.4,0.0,18.6,2000,Little Rock,AR
2000-03-02,15.4,7.3,0.4,15.0,2000,Little Rock,AR
2000-03-03,12.9,8.3,4.3,17.6,2000,Little Rock,AR
2000-03-04,13.5,6.6,0.0,15.8,2000,Little Rock,AR
2000-03-05,17.3,2.8,0.0,10.3,2000,Little Rock,AR
2000-03-06,22.7,7.3,0.0,11.3,2000,Little Rock,AR
2000-03-07,24.5,11.1,0.0,16.6,2000,Little Rock,AR
2000-03-08,23.6,16.2,0.2,26.6,2000,Little Rock,AR
2000-03-09,25.1,12.8,0.0,14.3,2000,Little Rock,AR
2000-03-10,17.5,9.4,5.0,13.4,2000,Little Rock,AR
2000-03-11,10.2,4.5,4.1,22.9,2000,Little Rock,AR
2000-03-12,12.6,0.8,0.0,7.9,2000,Little Rock,AR
2000-03-13,16.9,3.1,0.0,10.2,2000,Little Rock,AR
2000-03-14,19.2,6.3,0.2,13.4,2000,Little Rock,AR
2000-03-15,20.0,9.4,11.8,18.7,2000,Little Rock,AR
2000-03-16,20.3,11.7,3.5,16.2,2000,Little Rock,AR
2000-03-17,11.8,6.2,1.1,16.3,2000,Little Rock,AR
2000-03-18,17.0,6.3,12.8,18.9,2000,Little Rock,AR
2000-03-19,14.7,8.2,0.8,20.3,2000,Little Rock,AR
2000-03-20,18.2,3.3,0.0,11.3,2000,Little Rock,AR
2000-03-21,18.6,7.1,0.0,13.1,2000,Little Rock,AR
2000-03-22,20.0,10.2,0.4,12.1,2000,Little Rock,AR
2000-03-23,24.4,11.8,0.0,14.6,2000,Little Rock,AR
2000-03-24,24.2,16.2,0.0,16.8,2000,Little Rock,AR
2000-03-25,23.5,15.5,5.4,10.1,2000,Little Rock,AR
2000-03-26,23.4,15.0,9.5,12.4,2000,Little Rock,AR
2000-03-27,19.9,11.5,1.2,16.3,2000,Little Rock,AR
2000-03-28,21.4,12.4,0.0,16.5,2000,Little Rock,AR
2000-03-29,14.1,10.9,1.0,18.1,2000,Little Rock,AR
2000-03-30,14.0,8.6,1.5,13.1,2000,Little Rock,AR
2000-03-31,19.4,7.6,0.0,13.2,2000,Little Rock,AR
2000-04-01,23.4,10.3,2.1,14.4,2000,Little Rock,AR
2000-04-02,19.0,13.5,7.1,10.8,2000,Little Rock,AR
2000-04-03,17.7,10.5,13.5,23.2,2000,Little Rock,AR
2000-04-04,15.0,6.2,0.0,21.9,2000,Little Rock,AR
2000-04-05,22.9,6.8,0.0,26.9,2000,Little Rock,AR
2000-04-06,25.1,12.8,0.0,19.4,2000,Little Rock,AR
