time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,year,city,state_or_province
2000-01-01,18.9,6.4,0.0,29.4,2000,Oklahoma City,OK
2000-01-02,16.4,7.0,0.0,26.4,2000,Oklahoma City,OK
2000-01-03,13.6,1.6,6.0,29.9,2000,Oklahoma City,OK
2000-01-04,5.5,-3.1,0.0,28.8,2000,Oklahoma City,OK
2000-01-05,10.5,0.1,0.0,32.2,2000,Oklahoma City,OK
2000-01-06,10.4,-1.3,0.0,12.5,2000,Oklahoma City,OK
2000-01-07,11.5,-2.4,0.0,12.3,2000,Oklahoma City,OK
2000-01-08,10.4,7.0,5.3,20.8,2000,Oklahoma City,OK
2000-01-09,12.5,3.3,0.0,25.0,2000,Oklahoma City,OK
2000-01-10,16.5,3.0,0.0,19.2,2000,Oklahoma City,OK
2000-01-11,13.9,1.7,0.0,20.0,2000,Oklahoma City,OK
2000-01-12,19.9,5.8,0.0,23.4,2000,Oklahoma City,OK
2000-01-13,11.1,2.2,0.0,18.8,2000,Oklahoma City,OK
2000-01-14,12.3,-0.9,0.0,24.2,2000,Oklahoma City,OK
2000-01-15,18.4,7.4,0.0,30.3,2000,Oklahoma City,OK
2000-01-16,17.4,11.5,0.7,22.7,2000,Oklahoma City,OK
2000-01-17,18.3,8.0,0.0,16.6,2000,Oklahoma City,OK
2000-01-18,11.7,5.1,0.0,11.9,2000,Oklahoma City,OK
2000-01-19,18.8,4.4,0.0,28.9,2000,Oklahoma City,OK
2000-01-20,6.3,-1.8,0.0,27.1,2000,Oklahoma City,OK
2000-01-21,10.8,-0.0,0.0,21.3,2000,Oklahoma City,OK
2000-01-22,13.4,5.3,0.0,21.6,2000,Oklahoma City,OK
2000-01-23,11.4,1.1,1.6,19.7,2000,Oklahoma City,OK
2000-01-24,6.3,-4.0,0.0,12.7,2000,Oklahoma City,OK
2000-01-25,3.9,-1.7,0.0,23.5,2000,Oklahoma City,OK
2000-01-26,-0.1,-2.1,3.3,13.8,2000,Oklahoma City,OK
2000-01-27,-1.9,-5.1,9.9,15.0,2000,Oklahoma City,OK
2000-01-28,-3.2,-5.9,0.0,10.2,2000,Oklahoma City,OK
2000-01-29,-3.5,-12.4,0.0,10.2,2000,Oklahoma City,OK
2000-01-30,-1.6,-14.2,0.0,8.4,2000,Oklahoma City,OK
2000-01-31,4.3,-10.7,0.0,10.0,2000,Oklahoma City,OK
2000-02-01,2.3,-7.1,0.0,14.4,2000,Oklahoma City,OK
2000-02-02,8.5,-6.1,0.0,21.6,2000,Oklahoma City,OK
2000-02-03,12.7,1.0,0.0,21.5,2000,Oklahoma City,OK
2000-02-04,5.2,-2.2,0.0,27.0,2000,Oklahoma City,OK
2000-02-05,8.3,-3.6,0.0,15.9,2000,Oklahoma City,OK
2000-02-06,13.6,1.5,0.0,17.8,2000,Oklahoma City,OK
2000-02-07,16.0,1.1,0.0,17.0,2000,Oklahoma City,OK
2000-02-08,17.4,0.1,0.0,20.5,2000,Oklahoma City,OK
2000-02-09,22.8,8.8,0.0,30.8,2000,Oklahoma City,OK
2000-02-10,21.2,6.9,0.0,28.8,2000,Oklahoma City,OK
2000-02-11,10.5,2.1,0.0,22.0,2000,Oklahoma City,OK
2000-02-12,12.7,-2.7,0.0,25.6,2000,Oklahoma City,OK
2000-02-13,11.9,3.6,0.0,26.0,2000,Oklahoma City,OK
2000-02-14,12.2,-1.6,0.0,16.1,2000,Oklahoma City,OK
2000-02-15,24.4,6.6,0.0,23.3,2000,Oklahoma City,OK
2000-02-16,14.7,4.9,0.0,24.1,2000,Oklahoma City,OK
2000-02-17,19.1,8.5,7.2,30.6,2000,Oklahoma City,OK
2000-02-18,19.2,2.6,0.0,32.8,2000,Oklahoma City,OK
2000-02-19,10.5,-1.3,0.0,11.2,2000,Oklahoma City,OK
2000-02-20,14.6,0.2,0.0,17.3,2000,Oklahoma City,OK
2000-02-21,20.6,9.3,0.0,28.7,2000,Oklahoma City,OK
2000-02-22,17.9,14.8,16.3,29.2,2000,Oklahoma City,OK
2000-02-23,21.3,10.9,0.2,29.5,2000,Oklahoma City,OK
2000-02-24,23.2,10.3,0.0,32.1,2000,Oklahoma City,OK
2000-02-25,20.1,12.3,4.0,32.5,2000,Oklahoma City,OK
2000-02-26,14.1,5.2,0.0,29.9,2000,Oklahoma City,OK
2000-02-27,19.1,2.0,0.0,18.8,2000,Oklahoma City,OK
2000-02-28,20.3,9.6,0.0,30.8,2000,Oklahoma City,OK
2000-02-29,21.9,10.5,0.0,36.3,2000,Oklahoma City,OK
2000-03-01,18.6,4.1,0.0,16.9,2000,Oklahoma City,OK
2000-03-02,11.5,8.8,18.4,30.8,2000,Oklahoma City,OK
2000-03-03,8.5,3.6,4.5,26.3,2000,Oklahoma City,OK
2000-03-04,16.2,0.5,0.0,10.8,2000,Oklahoma City,OK
2000-03-05,19.5,5.6,0.0,24.3,2000,Oklahoma City,OK
2000-03-06,23.4,12.2,0.0,25.8,2000,Oklahoma City,OK
2000-03-07,21.4,15.4,13.7,34.0,2000,Oklahoma City,OK
2000-03-08,20.0,10.9,0.0,33.4,2000,Oklahoma City,OK
2000-03-09,13.3,5.1,0.0,18.7,2000,Oklahoma City,OK
2000-03-10,10.9,1.1,6.9,26.9,2000,Oklahoma City,OK
2000-03-11,9.7,0.4,0.0,23.2,2000,Oklahoma City,OK
2000-03-12,15.0,-0.4,0.0,19.4,2000,Oklahoma City,OK
2000-03-13,18.8,3.6,0.0,18.4,2000,Oklahoma City,OK
2000-03-14,18.5,9.0,4.2,19.2,2000,Oklahoma City,OK
2000-03-15,21.9,12.8,0.0,24.8,2000,Oklahoma City,OK
2000-03-16,13.7,0.8,10.9,24.1,2000,Oklahoma City,OK
2000-03-17,7.5,1.9,2.2,13.4,2000,Oklahoma City,OK
2000-03-18,9.0,3.9,1.4,22.9,2000,Oklahoma City,OK
2000-03-19,13.8,3.3,0.0,24.1,2000,Oklahoma City,OK
2000-03-20,20.9,4.5,0.0,25.7,2000,Oklahoma City,OK
2000-03-21,15.2,11.6,1.5,21.5,2000,Oklahoma City,OK
2000-03-22,16.7,10.2,1.6,19.4,2000,Oklahoma City,OK
2000-03-23,19.0,13.1,24.1,31.7,2000,Oklahoma City,OK
2000-03-24,24.2,9.6,0.0,18.6,2000,Oklahoma City,OK
2000-03-25,23.4,8.4,0.0,13.7,2000,Oklahoma City,OK
