time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,year,city,state_or_province
2000-01-01,15.4,0.8,0.0,13.2,2000,Richmond,VA
2000-01-02,18.6,6.7,0.0,17.9,2000,Richmond,VA
2000-01-03,20.7,13.3,0.0,19.4,2000,Richmond,VA
2000-01-04,21.2,10.2,18.0,31.4,2000,Richmond,VA
2000-01-05,9.3,0.4,0.3,19.5,2000,Richmond,VA
2000-01-06,9.5,-1.0,0.0,8.8,2000,Richmond,VA
2000-01-07,11.8,0.8,0.0,15.6,2000,Richmond,VA
2000-01-08,9.1,-0.7,0.0,9.5,2000,Richmond,VA
2000-01-09,7.7,1.3,6.7,9.4,2000,Richmond,VA
2000-01-10,15.4,7.3,18.0,28.2,2000,Richmond,VA
2000-01-11,15.2,6.9,0.0,28.1,2000,Richmond,VA
2000-01-12,12.1,1.4,0.0,14.6,2000,Richmond,VA
2000-01-13,18.0,1.7,0.0,30.2,2000,Richmond,VA
2000-01-14,1.8,-3.6,0.0,21.1,2000,Richmond,VA
2000-01-15,3.2,-4.0,0.0,15.9,2000,Richmond,VA
2000-01-16,14.2,-0.1,1.0,23.6,2000,Richmond,VA
2000-01-17,2.0,-3.7,0.0,20.1,2000,Richmond,VA
2000-01-18,-1.7,-3.9,0.8,12.0,2000,Richmond,VA
2000-01-19,3.7,-4.2,0.0,12.0,2000,Richmond,VA
2000-01-20,5.6,-2.2,5.2,27.6,2000,Richmond,VA
2000-01-21,-1.3,-5.8,0.0,23.4,2000,Richmond,VA
2000-01-22,0.2,-6.0,0.0,11.4,2000,Richmond,VA
2000-01-23,0.3,-1.9,2.7,8.8,2000,Richmond,VA
2000-01-24,3.7,-1.7,1.5,23.7,2000,Richmond,VA
2000-01-25,-0.3,-4.1,30.1,32.1,2000,Richmond,VA
2000-01-26,-0.4,-11.8,0.0,16.3,2000,Richmond,VA
2000-01-27,-3.7,-14.9,0.0,16.3,2000,Richmond,VA
2000-01-28,-1.1,-19.7,0.0,13.8,2000,Richmond,VA
2000-01-29,-0.5,-15.3,0.0,11.3,2000,Richmond,VA
2000-01-30,0.6,-6.3,21.5,13.9,2000,Richmond,VA
2000-01-31,2.3,-4.8,0.0,18.1,2000,Richmond,VA
2000-02-01,2.5,-9.6,0.0,18.7,2000,Richmond,VA
2000-02-02,1.5,-9.1,0.0,15.9,2000,Richmond,VA
2000-02-03,6.4,-7.5,0.0,17.3,2000,Richmond,VA
2000-02-04,6.9,-2.7,0.0,16.6,2000,Richmond,VA
2000-02-05,4.4,-6.2,0.0,16.0,2000,Richmond,VA
2000-02-06,3.5,-5.2,0.0,15.1,2000,Richmond,VA
2000-02-07,8.0,-2.5,0.0,15.2,2000,Richmond,VA
2000-02-08,3.9,-5.3,0.0,14.5,2000,Richmond,VA
2000-02-09,11.1,-4.0,0.0,10.9,2000,Richmond,VA
2000-02-10,14.2,-2.9,0.0,13.4,2000,Richmond,VA
2000-02-11,16.8,4.0,1.0,14.8,2000,Richmond,VA
2000-02-12,5.6,-3.6,8.9,15.0,2000,Richmond,VA
2000-02-13,2.9,-3.4,0.6,11.8,2000,Richmond,VA
2000-02-14,13.6,3.2,8.3,24.7,2000,Richmond,VA
2000-02-15,9.3,0.1,0.0,16.0,2000,Richmond,VA
2000-02-16,17.7,1.4,0.0,18.9,2000,Richmond,VA
2000-02-17,6.8,0.1,0.0,16.4,2000,Richmond,VA
2000-02-18,12.1,0.1,10.9,21.5,2000,Richmond,VA
2000-02-19,17.5,5.5,4.3,26.3,2000,Richmond,VA
2000-02-20,9.5,0.3,0.0,12.7,2000,Richmond,VA
2000-02-21,9.2,-1.3,0.0,11.0,2000,Richmond,VA
2000-02-22,11.6,-1.5,0.0,11.9,2000,Richmond,VA
2000-02-23,15.7,0.5,0.0,9.8,2000,Richmond,VA
2000-02-24,19.9,5.7,0.0,15.4,2000,Richmond,VA
2000-02-25,23.2,9.3,0.0,13.3,2000,Richmond,VA
2000-02-26,19.1,8.6,0.0,12.0,2000,Richmond,VA
2000-02-27,18.9,10.3,3.2,18.3,2000,Richmond,VA
2000-02-28,15.2,6.0,11.3,17.6,2000,Richmond,VA
2000-02-29,15.6,1.1,0.0,12.2,2000,Richmond,VA
2000-03-01,18.8,3.2,0.5,16.9,2000,Richmond,VA
2000-03-02,12.9,5.6,0.0,18.0,2000,Richmond,VA
2000-03-03,12.9,1.4,0.0,14.1,2000,Richmond,VA
2000-03-04,13.5,-0.4,0.0,11.9,2000,Richmond,VA
2000-03-05,18.2,1.9,0.0,15.5,2000,Richmond,VA
2000-03-06,17.4,2.7,0.0,12.6,2000,Richmond,VA
2000-03-07,19.5,3.2,0.0,15.6,2000,Richmond,VA
2000-03-08,26.9,10.1,0.0,15.0,2000,Richmond,VA
2000-03-09,25.9,13.4,0.0,19.2,2000,Richmond,VA
2000-03-10,23.5,11.9,0.0,16.4,2000,Richmond,VA
2000-03-11,24.3,10.9,3.5,20.7,2000,Richmond,VA
2000-03-12,17.6,4.6,12.6,21.6,2000,Richmond,VA
2000-03-13,10.1,0.7,0.0,12.6,2000,Richmond,VA
2000-03-14,15.4,0.6,0.0,13.0,2000,Richmond,VA
2000-03-15,19.6,4.1,0.0,14.9,2000,Richmond,VA
2000-03-16,21.2,9.3,15.8,20.0,2000,Richmond,VA
2000-03-17,17.1,4.5,4.2,22.9,2000,Richmond,VA
2000-03-18,7.2,-0.9,0.0,15.9,2000,Richmond,VA
2000-03-19,11.3,1.0,0.0,15.3,2000,Richmond,VA
2000-03-20,11.4,5.0,6.1,23.1,2000,Richmond,VA
2000-03-21,9.5,4.7,14.4,17.4,2000,Richmond,VA
2000-03-22,8.1,4.6,0.4,23.2,2000,Richmond,VA
2000-03-23,16.1,5.7,0.0,14.2,2000,Richmond,VA
2000-03-24,19.8,4.4,0.0,11.7,2000,Richmond,VA
2000-03-25,23.8,8.0,0.2,17.3,2000,Richmond,VA
2000-03-26,19.3,11.6,0.0,20.1,2000,Richmond,VA
2000-03-27,22.2,5.4,14.6,21.3,2000,Richmond,VA
2000-03-28,15.9,8.2,4.7,21.3,2000,Richmond,VA
2000-03-29,15.4,4.8,0.0,17.0,2000,Richmond,VA
2000-03-30,15.6,4.9,0.2,9.2,2000,Richmond,VA
2000-03-31,15.3,5.2,0.0,15.7,2000,Richmond,VA
2000-04-01,19.6,2.4,0.0,15.7,2000,Richmond,VA
2000-04-02,18.3,9.6,3.0,19.5,2000,Richmond,VA
2000-04-03,23.4,14.8,8.0,23.0,2000,Richmond,VA
2000-04-04,18.7,9.6,5.1,27.1,2000,Richmond,VA
2000-04-05,13.8,4.6,0.0,20.3,2000,Richmond,VA
2000-04-06,23.1,7.5,0.2,24.9,2000,Richmond,VA
2000-04-07,24.9,9.4,0.0,21.9,2000,Richmond,VA
2000-04-08,23.8,4.8,16.3,33.4,2000,Richmond,VA
2000-04-09,13.5,2.8,1.4,25.8,2000,Richmond,VA
2000-04-10,19.0,6.6,0.0,15.7,2000,Richmond,VA
2000-04-11,22.8,8.8,0.1,20.0,2000,Richmond,VA
2000-04-12,16.5,8.1,0.0,18.1,2000,Richmond,VA
2000-04-13,10.7,5.2,1.2,15.3,2000,Richmond,VA
2000-04-14,14.0,6.5,0.0,11.2,2000,Richmond,VA
2000-04-15,17.0,11.9,13.8,10.7,2000,Richmond,VA
2000-04-16,24.3,14.4,4.3,11.3,2000,Richmond,VA
2000-04-17,22.7,12.4,17.1,19.9,2000,Richmond,VA
2000-04-18,14.3,8.0,4.6,21.0,2000,Richmond,VA
2000-04-19,18.3,7.9,0.0,19.7,2000,Richmond,VA
2000-04-20,21.6,7.7,0.0,18.0,2000,Richmond,VA
2000-04-21,21.4,12.5,18.1,18.9,2000,Richmond,VA
2000-04-22,15.1,9.2,0.7,15.6,2000,Richmond,VA
2000-04-23,16.9,9.2,0.0,15.2,2000,Richmond,VA
2000-04-24,18.5,6.7,2.3,11.7,2000,Richmond,VA
2000-04-25,11.1,6.9,10.2,19.6,2000,Richmond,VA
2000-04-26,15.3,5.2,0.3,12.3,2000,Richmond,VA
2000-04-27,14.8,6.3,4.7,10.8,2000,Richmond,VA
2000-04-28,18.9,6.8,2.3,14.0,2000,Richmond,VA
2000-04-29,17.4,7.7,0.2,11.9,2000,Richmond,VA
2000-04-30,20.7,9.5,0.0,16.1,2000,Richmond,VA
2000-05-01,24.8,8.1,0.0,23.1,2000,Richmond,VA
2000-05-02,22.4,13.1,0.2,24.3,2000,Richmond,VA
2000-05-03,22.1,9.6,0.0,14.4,2000,Richmond,VA
2000-05-04,24.5,9.7,0.0,13.4,2000,Richmond,VA
2000-05-05,28.1,14.2,0.0,13.9,2000,Richmond,VA
2000-05-06,29.7,16.1,0.0,11.2,2000,Richmond,VA
2000-05-07,31.3,18.7,0.1,13.6,2000,Richmond,VA
2000-05-08,31.3,18.2,0.0,14.1,2000,Richmond,VA
2000-05-09,29.7,20.0,0.0,18.8,2000,Richmond,VA
2000-05-10,29.2,18.4,2.1,22.1,2000,Richmond,VA
2000-05-11,25.2,12.8,0.0,14.3,2000,Richmond,VA
2000-05-12,31.6,15.9,0.0,19.0,2000,Richmond,VA
2000-05-13,33.3,21.1,0.8,17.9,2000,Richmond,VA
2000-05-14,25.2,16.9,0.0,18.3,2000,Richmond,VA
2000-05-15,20.9,14.0,0.0,17.3,2000,Richmond,VA
2000-05-16,23.0,11.0,0.0,10.7,2000,Richmond,VA
2000-05-17,25.6,14.1,1.3,16.2,2000,Richmond,VA
2000-05-18,29.6,18.0,0.0,23.7,2000,Richmond,VA
2000-05-19,31.7,21.0,1.0,18.1,2000,Richmond,VA
2000-05-20,27.7,18.2,3.0,11.7,2000,Richmond,VA
2000-05-21,20.7,15.5,13.9,11.2,2000,Richmond,VA
2000-05-22,20.7,15.7,17.4,12.4,2000,Richmond,VA
2000-05-23,23.6,13.9,2.2,14.6,2000,Richmond,VA
2000-05-24,28.3,18.0,1.1,14.3,2000,Richmond,VA
2000-05-25,26.2,18.7,1.1,14.9,2000,Richmond,VA
2000-05-26,25.7,13.5,0.0,12.7,2000,Richmond,VA
2000-05-27,23.2,14.2,10.1,11.8,2000,Richmond,VA
2000-05-28,17.7,15.2,11.9,12.5,2000,Richmond,VA
2000-05-29,15.6,12.1,13.0,17.9,2000,Richmond,VA
2000-05-30,17.4,11.6,0.1,20.5,2000,Richmond,VA
2000-05-31,22.5,11.2,0.0,8.9,2000,Richmond,VA
2000-06-01,29.7,14.5,0.0,9.3,2000,Richmond,VA
2000-06-02,32.3,19.7,0.0,13.0,2000,Richmond,VA
2000-06-03,24.7,19.0,0.0,17.2,2000,Richmond,VA
2000-06-04,21.6,16.0,1.3,9.9,2000,Richmond,VA
2000-06-05,20.6,16.0,1.5,11.9,2000,Richmond,VA
2000-06-06,21.1,14.4,15.3,14.4,2000,Richmond,VA
2000-06-07,23.4,13.5,0.0,15.1,2000,Richmond,VA
2000-06-08,25.8,12.7,0.0,15.8,2000,Richmond,VA
2000-06-09,29.5,16.0,0.0,13.6,2000,Richmond,VA
2000-06-10,31.4,18.8,0.0,13.5,2000,Richmond,VA
2000-06-11,32.3,20.1,0.0,13.1,2000,Richmond,VA
2000-06-12,33.3,21.9,0.0,11.7,2000,Richmond,VA
2000-06-13,30.2,21.4,8.3,12.7,2000,Richmond,VA
2000-06-14,30.9,20.6,6.1,11.5,2000,Richmond,VA
2000-06-15,29.9,21.8,5.5,14.3,2000,Richmond,VA
2000-06-16,29.7,22.6,0.0,18.5,2000,Richmond,VA
2000-06-17,31.9,23.7,7.0,15.8,2000,Richmond,VA
2000-06-18,30.5,22.6,16.8,16.6,2000,Richmond,VA
2000-06-19,24.8,20.1,11.3,12.1,2000,Richmond,VA
2000-06-20,26.7,18.4,0.0,10.7,2000,Richmond,VA
2000-06-21,29.2,18.6,0.5,17.3,2000,Richmond,VA
2000-06-22,29.1,22.6,0.1,15.3,2000,Richmond,VA
2000-06-23,29.3,19.7,0.0,12.9,2000,Richmond,VA
2000-06-24,29.8,19.8,0.0,14.8,2000,Richmond,VA
2000-06-25,31.1,21.2,0.0,14.3,2000,Richmond,VA
2000-06-26,31.5,23.6,1.9,16.4,2000,Richmond,VA
2000-06-27,31.1,22.7,5.4,16.4,2000,Richmond,VA
2000-06-28,26.0,21.4,40.7,11.6,2000,Richmond,VA
2000-06-29,26.6,21.3,10.7,12.8,2000,Richmond,VA
2000-06-30,26.2,17.8,0.0,10.8,2000,Richmond,VA
2000-07-01,25.8,17.3,0.0,7.2,2000,Richmond,VA
2000-07-02,28.5,16.4,0.0,9.7,2000,Richmond,VA
2000-07-03,29.7,19.4,0.0,14.0,2000,Richmond,VA
2000-07-04,28.8,22.7,5.9,14.8,2000,Richmond,VA
2000-07-05,29.0,22.2,1.5,10.3,2000,Richmond,VA
2000-07-06,29.4,20.9,0.0,9.1,2000,Richmond,VA
2000-07-07,26.5,18.6,0.1,13.2,2000,Richmond,VA
2000-07-08,26.9,15.9,0.0,10.4,2000,Richmond,VA
2000-07-09,30.5,18.1,0.0,15.1,2000,Richmond,VA
2000-07-10,33.9,23.4,0.7,15.4,2000,Richmond,VA
2000-07-11,26.5,21.3,3.0,13.4,2000,Richmond,VA
2000-07-12,26.9,19.9,0.0,10.2,2000,Richmond,VA
2000-07-13,28.2,18.4,0.0,8.2,2000,Richmond,VA
2000-07-14,28.7,19.3,3.8,15.6,2000,Richmond,VA
2000-07-15,25.5,19.8,21.7,15.6,2000,Richmond,VA
2000-07-16,27.5,18.3,9.2,11.5,2000,Richmond,VA
2000-07-17,27.7,18.1,0.1,9.4,2000,Richmond,VA
2000-07-18,31.4,19.8,0.0,12.0,2000,Richmond,VA
2000-07-19,28.1,22.2,26.9,14.3,2000,Richmond,VA
2000-07-20,25.1,17.4,1.1,22.3,2000,Richmond,VA
2000-07-21,26.5,18.2,0.7,11.0,2000,Richmond,VA
2000-07-22,25.1,19.2,0.0,9.3,2000,Richmond,VA
2000-07-23,26.2,18.8,2.3,10.9,2000,Richmond,VA
2000-07-24,20.7,18.1,25.1,17.4,2000,Richmond,VA
2000-07-25,21.3,17.8,5.2,13.1,2000,Richmond,VA
2000-07-26,22.9,18.7,7.0,12.6,2000,Richmond,VA
2000-07-27,26.8,18.1,0.0,7.8,2000,Richmond,VA
2000-07-28,29.2,19.9,3.9,8.7,2000,Richmond,VA
2000-07-29,27.8,20.5,1.1,7.7,2000,Richmond,VA
2000-07-30,28.8,21.3,7.6,10.8,2000,Richmond,VA
2000-07-31,27.1,22.0,10.4,13.0,2000,Richmond,VA
2000-08-01,29.4,22.1,0.7,16.9,2000,Richmond,VA
2000-08-02,30.0,22.4,2.2,15.7,2000,Richmond,VA
2000-08-03,28.6,22.4,4.9,12.9,2000,Richmond,VA
2000-08-04,29.2,21.4,9.8,12.6,2000,Richmond,VA
2000-08-05,26.5,19.5,0.0,11.2,2000,Richmond,VA
