time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,year,city,state_or_province
2000-01-01,0.0,-4.6,0.0,14.4,2000,St. Paul,MN
2000-01-02,0.7,-3.1,1.1,18.9,2000,St. Paul,MN
2000-01-03,-3.2,-5.1,0.0,15.9,2000,St. Paul,MN
2000-01-04,-4.3,-13.2,0.0,21.1,2000,St. Paul,MN
2000-01-05,-1.5,-15.9,3.0,22.5,2000,St. Paul,MN
2000-01-06,-1.2,-11.0,0.0,23.6,2000,St. Paul,MN
2000-01-07,-3.7,-17.1,0.0,18.9,2000,St. Paul,MN
2000-01-08,3.6,-4.9,0.0,13.7,2000,St. Paul,MN
2000-01-09,2.3,-8.1,0.4,13.7,2000,St. Paul,MN
2000-01-10,2.1,-1.2,1.4,18.4,2000,St. Paul,MN
2000-01-11,-1.0,-12.8,0.2,24.0,2000,St. Paul,MN
2000-01-12,-9.9,-14.7,9.1,16.0,2000,St. Paul,MN
2000-01-13,-8.0,-16.3,0.7,10.4,2000,St. Paul,MN
2000-01-14,-1.8,-18.3,0.0,20.9,2000,St. Paul,MN
2000-01-15,2.5,-8.2,0.0,22.0,2000,St. Paul,MN
2000-01-16,-9.0,-17.0,0.0,22.2,2000,St. Paul,MN
2000-01-17,-3.4,-10.4,0.3,21.3,2000,St. Paul,MN
2000-01-18,-5.4,-13.6,0.0,16.4,2000,St. Paul,MN
2000-01-19,-10.3,-17.4,7.1,17.6,2000,St. Paul,MN
2000-01-20,-14.6,-25.2,0.0,15.3,2000,St. Paul,MN
2000-01-21,-14.3,-25.1,0.1,13.0,2000,St. Paul,MN
2000-01-22,-5.0,-13.9,0.0,23.3,2000,St. Paul,MN
2000-01-23,-11.9,-19.9,0.0,20.8,2000,St. Paul,MN
2000-01-24,-5.9,-21.2,0.0,17.1,2000,St. Paul,MN
2000-01-25,-8.3,-17.7,0.0,21.1,2000,St. Paul,MN
2000-01-26,-10.1,-22.0,0.0,9.9,2000,St. Paul,MN
2000-01-27,-7.8,-23.4,0.0,11.6,2000,St. Paul,MN
2000-01-28,-5.3,-18.0,0.0,11.6,2000,St. Paul,MN
2000-01-29,-3.5,-16.2,0.0,12.4,2000,St. Paul,MN
2000-01-30,-3.0,-14.1,0.0,14.2,2000,St. Paul,MN
2000-01-31,-2.1,-11.3,0.0,17.3,2000,St. Paul,MN
2000-02-01,-3.1,-10.9,0.0,14.2,2000,St. Paul,MN
2000-02-02,1.9,-11.2,0.0,21.7,2000,St. Paul,MN
2000-02-03,2.0,-4.6,1.0,26.0,2000,St. Paul,MN
2000-02-04,-3.1,-9.3,0.0,18.5,2000,St. Paul,MN
2000-02-05,0.4,-10.4,0.0,15.8,2000,St. Paul,MN
2000-02-06,2.2,-8.6,0.0,13.4,2000,St. Paul,MN
2000-02-07,-2.7,-10.5,0.0,14.1,2000,St. Paul,MN
2000-02-08,3.9,-12.2,0.0,21.0,2000,St. Paul,MN
2000-02-09,2.2,-1.1,0.1,13.0,2000,St. Paul,MN
2000-02-10,-1.4,-12.0,2.0,19.1,2000,St. Paul,MN
2000-02-11,-9.6,-19.5,0.0,14.1,2000,St. Paul,MN
2000-02-12,-6.2,-20.6,2.7,10.5,2000,St. Paul,MN
2000-02-13,-5.9,-14.3,0.0,17.7,2000,St. Paul,MN
2000-02-14,-3.0,-15.7,0.0,13.4,2000,St. Paul,MN
2000-02-15,-0.5,-9.2,6.4,24.1,2000,St. Paul,MN
2000-02-16,-7.1,-15.5,0.0,16.6,2000,St. Paul,MN
2000-02-17,-3.7,-14.7,2.9,13.0,2000,St. Paul,MN
2000-02-18,-1.4,-6.0,0.0,12.2,2000,St. Paul,MN
2000-02-19,-1.0,-9.1,0.0,19.2,2000,St. Paul,MN
2000-02-20,2.7,-8.6,0.0,13.8,2000,St. Paul,MN
2000-02-21,6.7,-5.8,0.0,14.3,2000,St. Paul,MN
2000-02-22,7.3,-0.4,0.0,10.2,2000,St. Paul,MN
2000-02-23,8.6,1.1,5.3,11.8,2000,St. Paul,MN
2000-02-24,7.9,2.9,0.0,11.6,2000,St. Paul,MN
2000-02-25,13.2,5.8,14.6,26.3,2000,St. Paul,MN
2000-02-26,11.4,3.1,0.0,30.3,2000,St. Paul,MN
2000-02-27,8.2,-0.5,0.0,20.4,2000,St. Paul,MN
2000-02-28,11.8,-2.2,0.0,28.0,2000,St. Paul,MN
2000-02-29,13.9,2.8,0.0,24.6,2000,St. Paul,MN
2000-03-01,4.6,-0.9,0.0,24.2,2000,St. Paul,MN
2000-03-02,5.6,-3.2,0.0,10.4,2000,St. Paul,MN
2000-03-03,11.5,-2.3,0.0,16.3,2000,St. Paul,MN
2000-03-04,13.6,0.2,0.0,14.7,2000,St. Paul,MN
2000-03-05,18.6,1.3,0.0,13.6,2000,St. Paul,MN
2000-03-06,18.3,5.6,0.1,22.9,2000,St. Paul,MN
