date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Boston,MA,-3.2841163,-1.1643187,-10.152881,1.3285619,,
2000-01-02 00:00:00+00:00,Boston,MA,-12.728046,-7.4981494,-16.35416,0.81772405,,
2000-01-03 00:00:00+00:00,Boston,MA,-6.0731277,-4.438917,-7.3041034,0.511186,,
2000-01-04 00:00:00+00:00,Boston,MA,-6.31821,-1.5796851,-7.954045,3.885839,,
2000-01-05 00:00:00+00:00,Boston,MA,-4.5632915,0.8795469,-10.5539875,7.1596465,,
2000-01-06 00:00:00+00:00,Boston,MA,-4.7583737,1.1387789,-9.20393,0.3069073,,
2000-01-07 00:00:00+00:00,Boston,MA,2.6465447,5.398011,0.6961266,2.6604295,,
2000-01-08 00:00:00+00:00,Boston,MA,-8.798536,-0.34275672,-11.703815,0.102346025,,
2000-01-09 00:00:00+00:00,Boston,MA,-11.443619,-5.983525,-15.253759,0.102367856,,
2000-01-10 00:00:00+00:00,Boston,MA,-6.338701,-0.024292566,-11.0037,1.023897,,
2000-01-11 00:00:00+00:00,Boston,MA,3.2162173,6.68494,-1.0536445,35.332,,
2000-01-12 00:00:00+00:00,Boston,MA,0.22113517,4.044172,-3.9035866,0.102433495,,
2000-01-13 00:00:00+00:00,Boston,MA,-6.673947,-4.396596,-7.75353,0.0,,
2000-01-14 00:00:00+00:00,Boston,MA,-8.4690275,-3.7873638,-11.853472,0.0,,
2000-01-15 00:00:00+00:00,Boston,MA,-10.964109,-6.7781324,-14.003414,0.30749804,,
2000-01-16 00:00:00+00:00,Boston,MA,-12.109192,-6.7689004,-16.353357,0.0,,
2000-01-17 00:00:00+00:00,Boston,MA,-9.804274,-1.0096675,-16.1033,0.0,,
2000-01-18 00:00:00+00:00,Boston,MA,-5.949356,-3.3504353,-8.553244,0.3076962,,
2000-01-19 00:00:00+00:00,Boston,MA,-14.594437,-8.991203,-17.553185,0.0,,
2000-01-20 00:00:00+00:00,Boston,MA,-10.739519,0.31802884,-17.603127,0.0,,
2000-01-21 00:00:00+00:00,Boston,MA,-1.7346014,1.9772608,-5.6530714,0.0,,
2000-01-22 00:00:00+00:00,Boston,MA,-7.879684,-3.3135066,-13.153014,0.0,,
2000-01-23 00:00:00+00:00,Boston,MA,-4.7247653,-2.7542748,-7.9529557,0.10267595,,
2000-01-24 00:00:00+00:00,Boston,MA,-4.9698467,5.1549573,-12.752899,1.4377738,,
2000-01-25 00:00:00+00:00,Boston,MA,2.4850712,5.5641894,-0.5528425,0.0,,
2000-01-26 00:00:00+00:00,Boston,MA,2.5899894,9.973422,-1.9527854,0.10274257,,
2000-01-27 00:00:00+00:00,Boston,MA,3.8949075,6.9826536,-2.8027275,11.304131,,
2000-01-28 00:00:00+00:00,Boston,MA,-8.700174,-4.1081147,-13.30267,0.6167226,,
2000-01-29 00:00:00+00:00,Boston,MA,0.20474377,5.551118,-5.9526134,2.9814725,,
2000-01-30 00:00:00+00:00,Boston,MA,0.7096618,2.86035,-1.9025558,2.0566342,,
2000-01-31 00:00:00+00:00,Boston,MA,3.81458,9.769583,-1.9024986,19.23371,,
2000-02-01 00:00:00+00:00,Boston,MA,6.069498,9.878815,1.697559,15.122836,,
2000-02-02 00:00:00+00:00,Boston,MA,-8.925583,1.0880461,-13.102385,10.49568,,
2000-02-03 00:00:00+00:00,Boston,MA,-13.570665,-10.302721,-16.902327,0.0,,
2000-02-04 00:00:00+00:00,Boston,MA,-6.9657474,1.7565109,-12.902269,0.30883107,,
2000-02-05 00:00:00+00:00,Boston,MA,0.18917051,4.9157434,-4.302212,1.33856,,
2000-02-06 00:00:00+00:00,Boston,MA,-1.5559112,3.4249752,-7.2021546,0.0,,
2000-02-07 00:00:00+00:00,Boston,MA,4.5990067,5.9342065,2.1979024,9.374015,,
