date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Carson City,NV,1.7781237,7.5484447,-1.4133341,0.0,,
2000-01-02 00:00:00+00:00,Carson City,NV,1.7760555,7.650591,-0.1694572,2.7552521,,
2000-01-03 00:00:00+00:00,Carson City,NV,-0.28128576,1.0890367,-1.7763069,8.689337,,
2000-01-04 00:00:00+00:00,Carson City,NV,-0.08862674,1.227482,-2.533156,1.735576,,
2000-01-05 00:00:00+00:00,Carson City,NV,0.054032326,2.2659278,-1.8400056,0.8666424,,
2000-01-06 00:00:00+00:00,Carson City,NV,-1.003309,2.2543736,-4.1468544,0.0,,
2000-01-07 00:00:00+00:00,Carson City,NV,0.43935,4.542819,-3.6037042,0.43217605,,
2000-01-08 00:00:00+00:00,Carson City,NV,-0.11799097,4.5312643,-5.3605537,2.0141501,,
2000-01-09 00:00:00+00:00,Carson City,NV,-8.075332,-6.380291,-9.417403,3.1608965,,
2000-01-10 00:00:00+00:00,Carson City,NV,-7.4826736,-5.5918446,-9.124252,0.0,,
2000-01-11 00:00:00+00:00,Carson City,NV,-8.290014,-5.3533993,-10.981101,0.0,,
2000-01-12 00:00:00+00:00,Carson City,NV,-5.6973553,-0.9649539,-8.437951,0.0,,
2000-01-13 00:00:00+00:00,Carson City,NV,0.49530375,2.823492,-0.6948,5.2878337,,
2000-01-14 00:00:00+00:00,Carson City,NV,0.33796257,2.8119373,-1.1016495,0.0,,
2000-01-15 00:00:00+00:00,Carson City,NV,-1.7693784,0.7503825,-4.8084984,0.0,,
2000-01-16 00:00:00+00:00,Carson City,NV,0.07328045,3.1388283,-2.1653485,0.0,,
2000-01-17 00:00:00+00:00,Carson City,NV,2.4159393,4.6272736,0.7278025,0.14215235,,
2000-01-18 00:00:00+00:00,Carson City,NV,3.9085984,7.965719,1.0209533,0.0,,
2000-01-19 00:00:00+00:00,Carson City,NV,4.4012575,8.004165,2.0141037,0.7088578,,
2000-01-20 00:00:00+00:00,Carson City,NV,4.393916,10.89261,1.6572547,0.1415812,,
2000-01-21 00:00:00+00:00,Carson City,NV,5.986575,11.331055,3.4004052,0.0,,
2000-01-22 00:00:00+00:00,Carson City,NV,5.1792345,10.9695015,1.8935559,0.28240123,,
2000-01-23 00:00:00+00:00,Carson City,NV,7.921893,12.007946,4.6367064,0.0,,
2000-01-24 00:00:00+00:00,Carson City,NV,6.8645515,11.996391,5.579857,0.14082019,,
2000-01-25 00:00:00+00:00,Carson City,NV,2.007211,5.4348373,-0.9269922,0.28126007,,
2000-01-26 00:00:00+00:00,Carson City,NV,5.14987,10.473283,2.5661583,0.56175965,,
2000-01-27 00:00:00+00:00,Carson City,NV,7.042529,10.861729,2.959309,0.0,,
2000-01-28 00:00:00+00:00,Carson City,NV,5.4351873,10.650174,3.5524597,0.2801196,,
2000-01-29 00:00:00+00:00,Carson City,NV,0.22784662,5.1386194,-2.0043898,0.13986978,,
2000-01-30 00:00:00+00:00,Carson City,NV,-1.5794942,-0.27293444,-3.2612388,0.0,,
2000-01-31 00:00:00+00:00,Carson City,NV,-1.7368355,1.5155108,-3.9180882,2.3713279,,
2000-02-01 00:00:00+00:00,Carson City,NV,2.3558235,7.4539566,0.22506237,0.5571999,,
2000-02-02 00:00:00+00:00,Carson City,NV,4.9484825,9.442401,1.7682132,0.97377086,,
2000-02-03 00:00:00+00:00,Carson City,NV,2.8911414,9.530848,0.16136372,0.13892029,,
2000-02-04 00:00:00+00:00,Carson City,NV,1.8338002,7.9192924,-1.6454856,0.0,,
2000-02-05 00:00:00+00:00,Carson City,NV,3.7764592,8.907739,-0.3023349,0.0,,
2000-02-06 00:00:00+00:00,Carson City,NV,7.0691185,11.746184,3.1408155,0.5534043,,
2000-02-07 00:00:00+00:00,Carson City,NV,6.3617773,14.28463,1.5839664,0.1381614,,
2000-02-08 00:00:00+00:00,Carson City,NV,7.104436,14.673074,2.077117,0.0,,
2000-02-09 00:00:00+00:00,Carson City,NV,3.897095,11.61152,0.0702678,0.1377822,,
2000-02-10 00:00:00+00:00,Carson City,NV,6.8897543,14.649966,1.5134184,0.0,,
2000-02-11 00:00:00+00:00,Carson City,NV,3.6824129,14.438411,-0.2934308,0.0,,
2000-02-12 00:00:00+00:00,Carson City,NV,-0.6749283,4.8268566,-4.95028,0.0,,
2000-02-13 00:00:00+00:00,Carson City,NV,-1.6322691,4.9153028,-4.30713,0.9591693,,
2000-02-14 00:00:00+00:00,Carson City,NV,-7.6896105,-2.546252,-10.813979,0.0,,
2000-02-15 00:00:00+00:00,Carson City,NV,-1.6969512,7.192193,-8.220828,0.0,,
2000-02-16 00:00:00+00:00,Carson City,NV,1.7957075,7.2806387,-2.5776775,0.0,,
2000-02-17 00:00:00+00:00,Carson City,NV,4.0383663,13.119084,-1.1845269,0.0,,
2000-02-18 00:00:00+00:00,Carson City,NV,5.9310255,13.257529,0.35862362,0.0,,
2000-02-19 00:00:00+00:00,Carson City,NV,3.2236843,10.445975,-0.6482258,0.13588832,,
2000-02-20 00:00:00+00:00,Carson City,NV,-0.3336569,4.3344207,-3.1550753,2.5782838,,
2000-02-21 00:00:00+00:00,Carson City,NV,-2.990998,-0.12713349,-5.6619244,0.0,,
2000-02-22 00:00:00+00:00,Carson City,NV,2.1016612,9.611312,-1.9687736,0.13532092,,
2000-02-23 00:00:00+00:00,Carson City,NV,3.64432,9.599757,1.1743767,3.6485593,,
2000-02-24 00:00:00+00:00,Carson City,NV,2.3369792,4.488203,-0.23247242,2.4289703,,
2000-02-25 00:00:00+00:00,Carson City,NV,3.129638,3.8266485,1.5106782,1.0780305,,
2000-02-26 00:00:00+00:00,Carson City,NV,-1.3777034,3.5650942,-3.4461715,7.4010677,,
2000-02-27 00:00:00+00:00,Carson City,NV,-4.0350447,-2.4964604,-5.0030203,2.2843912,,
2000-02-28 00:00:00+00:00,Carson City,NV,-6.742385,-4.608015,-9.20987,3.757238,,
2000-02-29 00:00:00+00:00,Carson City,NV,-6.7997265,-4.5195694,-9.166719,3.75195,,
2000-03-01 00:00:00+00:00,Carson City,NV,-5.7070675,-0.23112404,-9.973569,5.6199956,,
2000-03-02 00:00:00+00:00,Carson City,NV,-2.4644082,2.3573217,-7.480418,0.9353445,,
2000-03-03 00:00:00+00:00,Carson City,NV,-1.22826,2.2929463,-2.6456687,0.40003425,,
2000-03-04 00:00:00+00:00,Carson City,NV,-4.096018,-2.023121,-6.1659613,5.8526554,,
2000-03-05 00:00:00+00:00,Carson City,NV,-7.013776,-0.9891875,-12.236254,0.132683,,
2000-03-06 00:00:00+00:00,Carson City,NV,-2.2315328,0.24474394,-5.556546,0.7940942,,
2000-03-07 00:00:00+00:00,Carson City,NV,4.45071,9.228677,1.5731618,5.1485066,,
2000-03-08 00:00:00+00:00,Carson City,NV,6.5829515,10.36261,2.7028694,0.0,,
2000-03-09 00:00:00+00:00,Carson City,NV,2.265194,10.046542,-0.6174228,0.7880075,,
2000-03-10 00:00:00+00:00,Carson City,NV,0.5474367,6.430475,-1.3377151,0.13099217,,
2000-03-11 00:00:00+00:00,Carson City,NV,3.3296793,7.0644083,1.3919923,0.2612952,,
2000-03-12 00:00:00+00:00,Carson City,NV,3.1119213,10.79834,-0.87829995,0.26060173,,
2000-03-13 00:00:00+00:00,Carson City,NV,7.144163,15.182273,1.9514078,0.0,,
2000-03-14 00:00:00+00:00,Carson City,NV,10.726405,16.716206,3.7311156,0.0,,
2000-03-15 00:00:00+00:00,Carson City,NV,8.758648,16.750137,2.1108232,0.0,,
2000-03-16 00:00:00+00:00,Carson City,NV,9.790891,16.934072,2.9405308,0.0,,
2000-03-17 00:00:00+00:00,Carson City,NV,6.5731335,13.868003,1.9702384,1.285336,,
2000-03-18 00:00:00+00:00,Carson City,NV,5.0053754,9.351935,1.8999461,0.76903987,,
2000-03-19 00:00:00+00:00,Carson City,NV,4.9376183,13.435868,0.029653788,0.0,,
2000-03-20 00:00:00+00:00,Carson City,NV,8.96986,14.469802,3.7093613,0.0,,
2000-03-21 00:00:00+00:00,Carson City,NV,9.852101,15.153733,3.8390694,0.0,,
2000-03-22 00:00:00+00:00,Carson City,NV,7.884345,14.687667,4.4687767,0.7602512,,
2000-03-23 00:00:00+00:00,Carson City,NV,2.066588,8.4716,-1.0515153,1.6423721,,
2000-03-24 00:00:00+00:00,Carson City,NV,0.49882948,3.0555317,-1.0218079,1.8894255,,
2000-03-25 00:00:00+00:00,Carson City,NV,1.2310721,7.789465,-2.5421002,0.12558456,,
2000-03-26 00:00:00+00:00,Carson City,NV,6.3133144,12.423396,1.5876076,1.5024592,,
2000-03-27 00:00:00+00:00,Carson City,NV,9.845557,17.557331,4.1173153,0.0,,
2000-03-28 00:00:00+00:00,Carson City,NV,13.127799,20.541264,7.047023,0.0,,
2000-03-29 00:00:00+00:00,Carson City,NV,13.060041,20.675196,9.276731,0.12405079,,
2000-03-30 00:00:00+00:00,Carson City,NV,5.6422834,12.659128,2.806438,1.2366091,,
2000-03-31 00:00:00+00:00,Carson City,NV,4.1745267,11.793061,-0.31385398,0.1232684,,
2000-04-01 00:00:00+00:00,Carson City,NV,9.506768,17.476994,3.865854,0.0,,
2000-04-02 00:00:00+00:00,Carson City,NV,10.989011,19.210926,4.395561,0.0,,
2000-04-03 00:00:00+00:00,Carson City,NV,9.221253,19.34486,4.8252687,0.6103742,,
2000-04-04 00:00:00+00:00,Carson City,NV,9.203496,18.028791,3.104977,0.0,,
2000-04-05 00:00:00+00:00,Carson City,NV,10.785737,18.462725,5.3846846,0.0,,
2000-04-06 00:00:00+00:00,Carson City,NV,10.86798,15.496655,5.1643925,0.96685314,,
2000-04-07 00:00:00+00:00,Carson City,NV,10.550222,15.480588,6.2941,1.0840048,,
2000-04-08 00:00:00+00:00,Carson City,NV,8.632465,15.314522,2.7238073,0.0,,
2000-04-09 00:00:00+00:00,Carson City,NV,9.714706,15.648454,4.203515,0.59806526,,
2000-04-10 00:00:00+00:00,Carson City,NV,11.29695,15.582387,7.733223,3.2182035,,
2000-04-11 00:00:00+00:00,Carson City,NV,10.379192,13.616321,7.81293,0.47507787,,
2000-04-12 00:00:00+00:00,Carson City,NV,6.5114346,11.450251,3.6426384,0.7100594,,
2000-04-13 00:00:00+00:00,Carson City,NV,1.9436765,5.2841854,-0.77765393,3.183678,,
2000-04-14 00:00:00+00:00,Carson City,NV,0.72591996,2.168118,-0.7979467,4.816751,,
2000-04-15 00:00:00+00:00,Carson City,NV,0.80816257,6.402049,-2.9182389,0.0,,
2000-04-16 00:00:00+00:00,Carson City,NV,4.8404036,12.3859825,-0.93853116,0.0,,
2000-04-17 00:00:00+00:00,Carson City,NV,9.372646,15.769916,3.4911766,0.0,,
2000-04-18 00:00:00+00:00,Carson City,NV,10.254889,15.8538475,5.3208838,0.0,,
2000-04-19 00:00:00+00:00,Carson City,NV,9.837131,13.68778,5.6005917,0.0,,
2000-04-20 00:00:00+00:00,Carson City,NV,9.569373,15.621714,4.3302994,0.0,,
2000-04-21 00:00:00+00:00,Carson City,NV,12.451615,16.105646,7.2100077,0.343104,,
2000-04-22 00:00:00+00:00,Carson City,NV,11.183859,15.489578,6.589715,1.7086533,,
2000-04-23 00:00:00+00:00,Carson City,NV,9.7161,14.6735115,6.3194237,3.8572702,,
2000-04-24 00:00:00+00:00,Carson City,NV,10.148343,16.557446,3.6991305,0.0,,
2000-04-25 00:00:00+00:00,Carson City,NV,13.130585,19.291378,8.428838,0.45006678,,
2000-04-26 00:00:00+00:00,Carson City,NV,11.312827,19.425308,6.308545,3.4734046,,
2000-04-27 00:00:00+00:00,Carson City,NV,8.945069,13.20924,5.9882536,0.44628182,,
2000-04-28 00:00:00+00:00,Carson City,NV,7.0273123,12.493175,3.7179608,0.88873637,,
2000-04-29 00:00:00+00:00,Carson City,NV,5.059555,11.327107,-0.15233135,0.3318302,,
2000-04-30 00:00:00+00:00,Carson City,NV,9.941797,16.811039,3.3273764,0.0,,
2000-05-01 00:00:00+00:00,Carson City,NV,10.8240385,18.994972,3.5570836,0.0,,
2000-05-02 00:00:00+00:00,Carson City,NV,12.256282,19.178905,5.386792,0.0,,
2000-05-03 00:00:00+00:00,Carson City,NV,13.132859,20.00189,6.917474,0.0,,
2000-05-04 00:00:00+00:00,Carson City,NV,15.3075485,24.521221,8.248481,0.0,,
2000-05-05 00:00:00+00:00,Carson City,NV,17.18224,24.790558,9.279487,0.0,,
2000-05-06 00:00:00+00:00,Carson City,NV,16.706926,24.75989,10.110495,0.0,,
2000-05-07 00:00:00+00:00,Carson City,NV,16.681616,23.929222,9.941501,0.0,,
2000-05-08 00:00:00+00:00,Carson City,NV,12.806304,21.998556,7.4725075,0.0,,
2000-05-09 00:00:00+00:00,Carson City,NV,10.280994,15.417891,4.3535147,0.0,,
2000-05-10 00:00:00+00:00,Carson City,NV,11.205684,21.787224,3.7345214,0.0,,
2000-05-11 00:00:00+00:00,Carson City,NV,14.080372,22.106558,6.9655285,1.9676522,,
2000-05-12 00:00:00+00:00,Carson City,NV,14.3550625,20.62589,7.946535,0.0,,
2000-05-13 00:00:00+00:00,Carson City,NV,16.979752,20.895224,10.927542,0.10938751,,
