date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Charleston,WV,-6.6791883,1.538488,-9.894617,3.086372,,
2000-01-02 00:00:00+00:00,Charleston,WV,-2.1226997,7.0125203,-9.448545,0.0,,
2000-01-03 00:00:00+00:00,Charleston,WV,2.8219972,8.71293,0.14104977,0.0,,
2000-01-04 00:00:00+00:00,Charleston,WV,2.316694,6.5133395,0.38064423,0.7652881,,
2000-01-05 00:00:00+00:00,Charleston,WV,-1.3886098,3.563749,-6.0797615,0.21798919,,
2000-01-06 00:00:00+00:00,Charleston,WV,3.2560873,10.664159,-0.79016745,0.0,,
2000-01-07 00:00:00+00:00,Charleston,WV,4.800784,7.164568,1.0994264,0.541696,,
2000-01-08 00:00:00+00:00,Charleston,WV,-2.954519,0.06497708,-5.8609786,0.21603201,,
2000-01-09 00:00:00+00:00,Charleston,WV,1.7901775,7.065387,-1.2713851,4.8463087,,
2000-01-10 00:00:00+00:00,Charleston,WV,4.2848744,10.315796,1.8682088,11.274731,,
2000-01-11 00:00:00+00:00,Charleston,WV,10.97957,15.466206,4.4578032,33.082745,,
2000-01-12 00:00:00+00:00,Charleston,WV,1.7742676,3.616615,-0.15260252,0.10675224,,
2000-01-13 00:00:00+00:00,Charleston,WV,-3.3810358,0.3670241,-6.363008,0.10644337,,
2000-01-14 00:00:00+00:00,Charleston,WV,-3.1363392,1.5174335,-5.7734146,0.0,,
2000-01-15 00:00:00+00:00,Charleston,WV,-7.6916423,-2.2321568,-11.33382,0.6350031,,
2000-01-16 00:00:00+00:00,Charleston,WV,-6.796945,-1.9817468,-9.094227,0.0,,
2000-01-17 00:00:00+00:00,Charleston,WV,-3.5022488,2.5686622,-6.7546315,0.0,,
2000-01-18 00:00:00+00:00,Charleston,WV,-5.107552,-0.8809291,-12.965038,0.8395163,,
2000-01-19 00:00:00+00:00,Charleston,WV,-15.5128565,-8.7805195,-20.775444,0.10464662,,
2000-01-20 00:00:00+00:00,Charleston,WV,-2.3181589,7.7698903,-10.53585,0.0,,
2000-01-21 00:00:00+00:00,Charleston,WV,-1.0734621,2.8203,-4.146255,0.52034205,,
2000-01-22 00:00:00+00:00,Charleston,WV,-0.9787656,6.120709,-5.156661,0.0,,
2000-01-23 00:00:00+00:00,Charleston,WV,0.9659313,7.4711185,-3.9670663,0.0,,
2000-01-24 00:00:00+00:00,Charleston,WV,5.060628,10.871529,1.9725276,0.0,,
2000-01-25 00:00:00+00:00,Charleston,WV,6.8053246,13.771937,2.5621219,0.20588282,,
2000-01-26 00:00:00+00:00,Charleston,WV,10.900021,13.172346,7.3517165,10.369226,,
2000-01-27 00:00:00+00:00,Charleston,WV,3.294718,6.3727565,1.8413104,0.30717638,,
2000-01-28 00:00:00+00:00,Charleston,WV,3.789415,9.2231655,1.1809045,0.9190885,,
2000-01-29 00:00:00+00:00,Charleston,WV,7.2841115,11.923574,4.820499,0.8148162,,
2000-01-30 00:00:00+00:00,Charleston,WV,12.678807,17.473984,9.860092,1.5237801,,
2000-01-31 00:00:00+00:00,Charleston,WV,16.173504,19.774393,9.649687,13.475675,,
2000-02-01 00:00:00+00:00,Charleston,WV,0.8182014,8.774803,-5.2607193,0.101058565,,
2000-02-02 00:00:00+00:00,Charleston,WV,-7.687102,-5.7747874,-9.571125,0.60479057,,
2000-02-03 00:00:00+00:00,Charleston,WV,-2.8924053,5.3256226,-7.33153,0.0,,
2000-02-04 00:00:00+00:00,Charleston,WV,3.2022915,6.9760327,1.458064,0.100284494,,
2000-02-05 00:00:00+00:00,Charleston,WV,1.8469884,4.726442,-0.80234206,0.10003065,,
2000-02-06 00:00:00+00:00,Charleston,WV,3.9416852,6.72685,0.43725243,2.5942504,,
2000-02-07 00:00:00+00:00,Charleston,WV,2.3863814,5.1272597,-3.3731537,8.360445,,
2000-02-08 00:00:00+00:00,Charleston,WV,-5.7689214,1.32767,-10.33356,1.4892201,,
2000-02-09 00:00:00+00:00,Charleston,WV,2.2257752,5.378079,-1.8439652,1.8816756,,
2000-02-10 00:00:00+00:00,Charleston,WV,-13.679528,-3.1715117,-20.654371,16.49822,,
2000-02-11 00:00:00+00:00,Charleston,WV,-17.384832,-8.271102,-22.714779,0.29564947,,
2000-02-12 00:00:00+00:00,Charleston,WV,-2.340135,7.329307,-10.7251835,0.09830984,,
2000-02-13 00:00:00+00:00,Charleston,WV,2.8045616,5.8797164,-4.9855886,19.712418,,
2000-02-14 00:00:00+00:00,Charleston,WV,-8.950742,-4.569874,-13.7459955,0.19567095,,
2000-02-15 00:00:00+00:00,Charleston,WV,-1.9560448,7.030535,-7.2563996,0.29280326,,
2000-02-16 00:00:00+00:00,Charleston,WV,6.938652,8.930944,4.433194,43.52372,,
