date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Harrisburg,PA,-6.951554,-0.027404517,-12.804714,0.42537174,,
2000-01-02 00:00:00+00:00,Harrisburg,PA,-6.2434535,3.543567,-12.455263,0.0,,
2000-01-03 00:00:00+00:00,Harrisburg,PA,-0.09893629,4.696158,-2.8167808,0.0,,
2000-01-04 00:00:00+00:00,Harrisburg,PA,-1.0544188,4.3487487,-4.6782985,0.10573035,,
2000-01-05 00:00:00+00:00,Harrisburg,PA,-3.2599008,0.90133977,-7.6898155,0.5275691,,
2000-01-06 00:00:00+00:00,Harrisburg,PA,-1.5153832,4.753931,-5.9013343,0.1052986,,
2000-01-07 00:00:00+00:00,Harrisburg,PA,2.7791343,4.606522,0.3871484,0.3152541,,
2000-01-08 00:00:00+00:00,Harrisburg,PA,-5.826348,-0.2908878,-8.77437,0.0,,
2000-01-09 00:00:00+00:00,Harrisburg,PA,-5.8318305,-2.6382968,-8.385887,1.2559289,,
2000-01-10 00:00:00+00:00,Harrisburg,PA,-3.387313,-0.6857054,-5.347404,2.7157173,,
2000-01-11 00:00:00+00:00,Harrisburg,PA,5.7072053,11.766886,-0.7089226,22.411997,,
2000-01-12 00:00:00+00:00,Harrisburg,PA,1.5017225,7.2694764,-1.0704405,0.0,,
2000-01-13 00:00:00+00:00,Harrisburg,PA,-4.8037596,-1.377933,-7.8319583,0.0,,
2000-01-14 00:00:00+00:00,Harrisburg,PA,-5.059242,1.0746577,-9.043476,0.0,,
2000-01-15 00:00:00+00:00,Harrisburg,PA,-8.7147255,-3.0727508,-11.704994,0.3102568,,
2000-01-16 00:00:00+00:00,Harrisburg,PA,-8.620207,-3.42016,-11.566511,0.0,,
2000-01-17 00:00:00+00:00,Harrisburg,PA,-5.4756894,1.3324307,-9.47803,0.0,,
2000-01-18 00:00:00+00:00,Harrisburg,PA,-6.0811715,-1.7649777,-14.789548,0.10281441,,
2000-01-19 00:00:00+00:00,Harrisburg,PA,-16.786654,-11.012387,-20.951065,0.0,,
2000-01-20 00:00:00+00:00,Harrisburg,PA,-8.642137,-0.2597966,-13.812584,0.0,,
2000-01-21 00:00:00+00:00,Harrisburg,PA,-1.8476188,3.442794,-5.6741004,0.102220416,,
2000-01-22 00:00:00+00:00,Harrisburg,PA,-2.8031013,4.7453856,-8.685618,0.0,,
2000-01-23 00:00:00+00:00,Harrisburg,PA,-2.4085839,1.1979764,-6.4471354,0.0,,
2000-01-24 00:00:00+00:00,Harrisburg,PA,0.6359339,8.150567,-3.3586538,0.0,,
2000-01-25 00:00:00+00:00,Harrisburg,PA,2.7304516,6.253158,-1.0201719,0.0,,
2000-01-26 00:00:00+00:00,Harrisburg,PA,4.1249695,8.555749,1.5183105,2.3288212,,
2000-01-27 00:00:00+00:00,Harrisburg,PA,1.9694868,8.00834,-4.543207,2.8297622,,
2000-01-28 00:00:00+00:00,Harrisburg,PA,-5.085995,1.6609309,-10.0047245,0.20174773,,
2000-01-29 00:00:00+00:00,Harrisburg,PA,3.258522,8.213522,0.33375767,0.20137174,,
2000-01-30 00:00:00+00:00,Harrisburg,PA,3.9030397,5.6661134,2.8222396,2.9144692,,
2000-01-31 00:00:00+00:00,Harrisburg,PA,10.097557,16.568703,2.860722,2.60814,,
2000-02-01 00:00:00+00:00,Harrisburg,PA,4.892075,13.321295,0.7492038,15.219491,,
2000-02-02 00:00:00+00:00,Harrisburg,PA,-7.3634067,0.42388514,-10.812314,0.09994445,,
2000-02-03 00:00:00+00:00,Harrisburg,PA,-8.66889,-4.0735235,-12.223832,0.0,,
2000-02-04 00:00:00+00:00,Harrisburg,PA,-2.2243721,3.1790674,-5.085349,0.09957994,,
2000-02-05 00:00:00+00:00,Harrisburg,PA,0.12014559,4.481659,-3.2468667,0.0,,
2000-02-06 00:00:00+00:00,Harrisburg,PA,0.5646632,5.03425,-3.2083852,0.0,,
2000-02-07 00:00:00+00:00,Harrisburg,PA,2.8591807,4.23684,1.1800975,5.7443633,,
2000-02-08 00:00:00+00:00,Harrisburg,PA,-6.996301,2.7394316,-12.431421,0.6920409,,
2000-02-09 00:00:00+00:00,Harrisburg,PA,-0.6517842,4.842022,-5.442938,0.29605868,,
2000-02-10 00:00:00+00:00,Harrisburg,PA,-6.357267,3.694613,-17.904457,10.245084,,
2000-02-11 00:00:00+00:00,Harrisburg,PA,-19.262749,-12.652796,-24.165976,0.39334238,,
2000-02-12 00:00:00+00:00,Harrisburg,PA,-8.318232,-0.8502047,-14.377491,0.39264685,,
2000-02-13 00:00:00+00:00,Harrisburg,PA,1.7262866,4.9523864,-3.0390093,6.7612257,,
2000-02-14 00:00:00+00:00,Harrisburg,PA,-7.5291953,3.0049763,-14.500527,0.0,,
2000-02-15 00:00:00+00:00,Harrisburg,PA,-6.9346776,-0.49243233,-11.912045,0.0,,
2000-02-16 00:00:00+00:00,Harrisburg,PA,2.5598392,6.8601584,-2.0235624,25.24617,,
2000-02-17 00:00:00+00:00,Harrisburg,PA,-0.94564295,4.6127496,-5.1350803,4.7680106,,
2000-02-18 00:00:00+00:00,Harrisburg,PA,0.44887474,8.96534,-4.596598,0.0,,
2000-02-19 00:00:00+00:00,Harrisburg,PA,3.9433923,9.767931,-0.10811612,0.0,,
2000-02-20 00:00:00+00:00,Harrisburg,PA,4.6379104,9.720521,1.580366,0.0968041,,
2000-02-21 00:00:00+00:00,Harrisburg,PA,6.2824273,11.0731125,3.1188483,8.600822,,
2000-02-22 00:00:00+00:00,Harrisburg,PA,12.376945,14.975704,6.257331,11.19095,,
2000-02-23 00:00:00+00:00,Harrisburg,PA,-3.6285374,5.728296,-7.8041873,0.28892952,,
2000-02-24 00:00:00+00:00,Harrisburg,PA,-3.6340196,2.7808855,-7.865705,0.0,,
2000-02-25 00:00:00+00:00,Harrisburg,PA,2.210498,5.433477,-0.12722275,0.38393864,,
2000-02-26 00:00:00+00:00,Harrisburg,PA,3.5550158,7.186068,0.7612597,0.0,,
2000-02-27 00:00:00+00:00,Harrisburg,PA,4.699534,8.888659,2.3997416,0.66964036,,
2000-02-28 00:00:00+00:00,Harrisburg,PA,10.34405,15.441249,7.7882237,4.106642,,
2000-02-29 00:00:00+00:00,Harrisburg,PA,10.5385685,15.44384,7.6767063,4.099814,,
2000-03-01 00:00:00+00:00,Harrisburg,PA,4.8330865,10.746431,2.3151882,4.664141,,
2000-03-02 00:00:00+00:00,Harrisburg,PA,5.677604,10.349022,2.7536705,24.137472,,
2000-03-03 00:00:00+00:00,Harrisburg,PA,3.1476896,6.4154825,1.2740407,0.28463432,,
2000-03-04 00:00:00+00:00,Harrisburg,PA,3.5031161,9.110264,0.1835436,0.0,,
2000-03-05 00:00:00+00:00,Harrisburg,PA,4.108543,7.505045,2.0930464,0.094584,,
2000-03-06 00:00:00+00:00,Harrisburg,PA,12.963969,18.799826,6.752549,15.110108,,
2000-03-07 00:00:00+00:00,Harrisburg,PA,4.719396,13.944608,0.8120518,19.330093,,
2000-03-08 00:00:00+00:00,Harrisburg,PA,2.7248228,4.289389,1.7215544,7.343617,,
2000-03-09 00:00:00+00:00,Harrisburg,PA,3.7302496,8.834171,0.43105724,0.0,,
2000-03-10 00:00:00+00:00,Harrisburg,PA,9.035676,15.728952,4.1905603,0.093862854,,
2000-03-11 00:00:00+00:00,Harrisburg,PA,1.2911029,3.3737335,-0.14993712,6.185585,,
2000-03-12 00:00:00+00:00,Harrisburg,PA,0.19652966,2.5185158,-2.4404342,0.0,,
2000-03-13 00:00:00+00:00,Harrisburg,PA,1.6019557,4.2632976,0.01906827,0.0,,
2000-03-14 00:00:00+00:00,Harrisburg,PA,2.9073827,5.5580783,1.1285713,8.863501,,
2000-03-15 00:00:00+00:00,Harrisburg,PA,1.9628094,4.0028605,-0.66192627,0.0,,
2000-03-16 00:00:00+00:00,Harrisburg,PA,-3.3817642,0.24764112,-7.2024226,0.0,,
2000-03-17 00:00:00+00:00,Harrisburg,PA,-2.4263375,2.7924232,-7.19292,0.0,,
2000-03-18 00:00:00+00:00,Harrisburg,PA,4.6790895,12.287205,0.11658254,0.0,,
2000-03-19 00:00:00+00:00,Harrisburg,PA,8.184516,18.181986,1.426085,0.092613444,,
2000-03-20 00:00:00+00:00,Harrisburg,PA,14.439943,21.026768,10.3355875,0.36991325,,
2000-03-21 00:00:00+00:00,Harrisburg,PA,10.345369,16.921549,4.745091,13.0204935,,
2000-03-22 00:00:00+00:00,Harrisburg,PA,9.8007965,18.06633,3.3545935,0.09221024,,
2000-03-23 00:00:00+00:00,Harrisburg,PA,9.806223,18.51111,2.164096,0.0,,
2000-03-24 00:00:00+00:00,Harrisburg,PA,12.761649,21.855894,5.8235993,0.0,,
2000-03-25 00:00:00+00:00,Harrisburg,PA,13.867075,22.150675,6.183102,0.091813415,,
