date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Indianapolis,IN,-11.173263,-6.3013554,-14.879604,1.2479849,,
2000-01-02 00:00:00+00:00,Indianapolis,IN,-2.1930747,3.483572,-7.1031675,0.0,,
2000-01-03 00:00:00+00:00,Indianapolis,IN,1.1163107,5.195084,-2.345388,0.0,,
2000-01-04 00:00:00+00:00,Indianapolis,IN,0.3756956,2.856596,-1.9876078,0.0,,
2000-01-05 00:00:00+00:00,Indianapolis,IN,-1.914919,2.8181076,-6.1798277,0.12319084,,
2000-01-06 00:00:00+00:00,Indianapolis,IN,3.1444664,7.5796194,0.4779514,0.12270925,,
2000-01-07 00:00:00+00:00,Indianapolis,IN,-0.7961484,6.6911316,-4.1642685,0.12223376,,
2000-01-08 00:00:00+00:00,Indianapolis,IN,-5.5867634,-1.8473574,-9.006489,0.3652927,,
2000-01-09 00:00:00+00:00,Indianapolis,IN,-2.6773782,0.5641545,-5.1487093,4.973322,,
2000-01-10 00:00:00+00:00,Indianapolis,IN,-0.4179927,5.025666,-4.24093,2.2960095,,
2000-01-11 00:00:00+00:00,Indianapolis,IN,0.89139235,5.687178,-5.0331497,46.83184,,
2000-01-12 00:00:00+00:00,Indianapolis,IN,-9.599223,-4.3513103,-12.07537,0.47977433,,
2000-01-13 00:00:00+00:00,Indianapolis,IN,-10.489837,-4.239799,-14.217589,0.11950228,,
2000-01-14 00:00:00+00:00,Indianapolis,IN,-8.230452,-4.078287,-12.309812,0.11906629,,
2000-01-15 00:00:00+00:00,Indianapolis,IN,-17.021067,-11.866776,-20.902033,0.71181333,,
2000-01-16 00:00:00+00:00,Indianapolis,IN,-10.811681,-6.955264,-13.094253,0.11820996,,
2000-01-17 00:00:00+00:00,Indianapolis,IN,-7.5522966,-2.143752,-10.686473,0.11778944,,
2000-01-18 00:00:00+00:00,Indianapolis,IN,-10.742911,-2.2322402,-17.528692,0.4694955,,
2000-01-19 00:00:00+00:00,Indianapolis,IN,-14.883525,-5.2707286,-19.920914,0.0,,
2000-01-20 00:00:00+00:00,Indianapolis,IN,-1.524141,3.690783,-6.0131326,0.0,,
2000-01-21 00:00:00+00:00,Indianapolis,IN,-3.964755,1.5022944,-7.1053534,0.2323122,,
2000-01-22 00:00:00+00:00,Indianapolis,IN,-1.6053702,3.9638062,-5.697574,0.0,,
2000-01-23 00:00:00+00:00,Indianapolis,IN,-0.94598496,5.975318,-6.9397945,0.11536755,,
2000-01-24 00:00:00+00:00,Indianapolis,IN,4.8134007,7.7368298,3.3179855,0.0,,
2000-01-25 00:00:00+00:00,Indianapolis,IN,4.0727854,10.648341,0.025764823,7.4487963,,
2000-01-26 00:00:00+00:00,Indianapolis,IN,4.7321706,10.609853,0.933545,1.9417067,,
2000-01-27 00:00:00+00:00,Indianapolis,IN,-1.4084445,1.9713649,-4.208675,0.0,,
2000-01-28 00:00:00+00:00,Indianapolis,IN,2.950941,6.782877,0.49910438,1.3616769,,
2000-01-29 00:00:00+00:00,Indianapolis,IN,3.7603264,5.994388,0.95688474,0.11310679,,
2000-01-30 00:00:00+00:00,Indianapolis,IN,1.2697119,9.1559,-2.5353355,9.696031,,
2000-01-31 00:00:00+00:00,Indianapolis,IN,5.279097,13.117412,-4.477556,33.378723,,
2000-02-01 00:00:00+00:00,Indianapolis,IN,-14.661517,-4.2710767,-18.419777,0.22406378,,
2000-02-02 00:00:00+00:00,Indianapolis,IN,-16.652132,-9.809566,-20.161997,0.111681364,,
2000-02-03 00:00:00+00:00,Indianapolis,IN,-7.142748,0.25194633,-10.904217,0.22266924,,
2000-02-04 00:00:00+00:00,Indianapolis,IN,-0.2333628,2.6634579,-2.8964381,0.55495805,,
2000-02-05 00:00:00+00:00,Indianapolis,IN,-2.5239773,2.9749703,-7.3386583,0.0,,
2000-02-06 00:00:00+00:00,Indianapolis,IN,1.435408,3.0864816,-0.93087804,2.4269629,,
2000-02-07 00:00:00+00:00,Indianapolis,IN,-7.255207,-0.25200617,-11.323099,2.749607,,
2000-02-08 00:00:00+00:00,Indianapolis,IN,-7.8958216,3.0095053,-13.965319,0.109655574,,
2000-02-09 00:00:00+00:00,Indianapolis,IN,-5.636437,3.3710175,-13.407539,9.1837435,,
2000-02-10 00:00:00+00:00,Indianapolis,IN,-21.427052,-12.717472,-24.94976,3.0522346,,
2000-02-11 00:00:00+00:00,Indianapolis,IN,-18.167667,-6.85596,-25.141981,0.10868981,,
2000-02-12 00:00:00+00:00,Indianapolis,IN,-4.808281,4.6055517,-8.7342005,0.6502471,,
2000-02-13 00:00:00+00:00,Indianapolis,IN,-11.998896,4.2670636,-16.926422,5.0789347,,
2000-02-14 00:00:00+00:00,Indianapolis,IN,-18.339512,-10.271424,-24.768642,0.0,,
