date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Jackson,MS,2.1044707,6.774894,-0.7125023,0.0,,
2000-01-02 00:00:00+00:00,Jackson,MS,1.9588318,9.034967,-2.4115367,0.0,,
2000-01-03 00:00:00+00:00,Jackson,MS,8.19242,16.617283,2.8753314,0.47941312,,
2000-01-04 00:00:00+00:00,Jackson,MS,13.226009,16.499598,10.812199,3.3469353,,
2000-01-05 00:00:00+00:00,Jackson,MS,8.309597,14.481915,3.6490679,0.0,,
2000-01-06 00:00:00+00:00,Jackson,MS,10.443186,19.864233,4.785936,0.0,,
2000-01-07 00:00:00+00:00,Jackson,MS,11.476774,16.696547,8.0728035,1.0672859,,
2000-01-08 00:00:00+00:00,Jackson,MS,6.110363,10.028862,2.6596723,0.591382,,
2000-01-09 00:00:00+00:00,Jackson,MS,10.59395,14.761176,8.3465395,14.038152,,
2000-01-10 00:00:00+00:00,Jackson,MS,19.627539,24.993494,13.983408,8.824581,,
2000-01-11 00:00:00+00:00,Jackson,MS,10.2611265,24.22581,2.7702763,7.3934674,,
2000-01-12 00:00:00+00:00,Jackson,MS,0.59471625,3.558125,-0.8428555,0.2341086,,
2000-01-13 00:00:00+00:00,Jackson,MS,-0.7716959,2.340441,-2.9559875,0.0,,
2000-01-14 00:00:00+00:00,Jackson,MS,0.4618928,6.772757,-3.7191195,0.0,,
2000-01-15 00:00:00+00:00,Jackson,MS,-1.1045189,2.855072,-4.4822516,0.11615975,,
2000-01-16 00:00:00+00:00,Jackson,MS,-1.9709301,2.33739,-5.1953835,0.0,,
2000-01-17 00:00:00+00:00,Jackson,MS,0.61265785,7.469704,-3.7085152,0.0,,
2000-01-18 00:00:00+00:00,Jackson,MS,1.7462456,5.55202,-0.52164704,0.0,,
2000-01-19 00:00:00+00:00,Jackson,MS,-0.12016514,3.8343363,-3.8347788,0.0,,
2000-01-20 00:00:00+00:00,Jackson,MS,2.3634222,9.216651,-1.6479113,0.0,,
2000-01-21 00:00:00+00:00,Jackson,MS,3.6970112,9.998966,-0.21104291,0.0,,
2000-01-22 00:00:00+00:00,Jackson,MS,4.6306005,12.381284,-1.3741748,0.0,,
2000-01-23 00:00:00+00:00,Jackson,MS,7.3641877,16.7636,0.81269306,0.0,,
2000-01-24 00:00:00+00:00,Jackson,MS,12.097776,18.895914,7.4495616,0.45433354,,
2000-01-25 00:00:00+00:00,Jackson,MS,18.481363,23.07823,15.986429,1.4729861,,
2000-01-26 00:00:00+00:00,Jackson,MS,15.814953,20.710546,12.023296,18.876297,,
2000-01-27 00:00:00+00:00,Jackson,MS,8.998541,14.342862,4.0101657,0.0,,
2000-01-28 00:00:00+00:00,Jackson,MS,11.58213,19.775179,6.697034,0.0,,
2000-01-29 00:00:00+00:00,Jackson,MS,16.515718,22.607494,12.333901,0.2244355,,
2000-01-30 00:00:00+00:00,Jackson,MS,20.399305,25.389809,17.37077,1.0075495,,
2000-01-31 00:00:00+00:00,Jackson,MS,17.432894,24.472124,9.657638,11.056708,,
2000-02-01 00:00:00+00:00,Jackson,MS,-0.28351644,9.404441,-4.1554937,0.22283927,,
2000-02-02 00:00:00+00:00,Jackson,MS,-2.3499284,1.5867566,-5.4186254,0.0,,
2000-02-03 00:00:00+00:00,Jackson,MS,1.483659,8.569071,-3.1817575,0.0,,
2000-02-04 00:00:00+00:00,Jackson,MS,5.8172483,12.551388,0.9551103,0.0,,
2000-02-05 00:00:00+00:00,Jackson,MS,7.0008373,14.783704,0.24197873,0.0,,
2000-02-06 00:00:00+00:00,Jackson,MS,9.184424,11.866018,6.3288465,16.518509,,
2000-02-07 00:00:00+00:00,Jackson,MS,4.418014,9.398335,2.1657145,0.0,,
2000-02-08 00:00:00+00:00,Jackson,MS,2.401602,9.6306505,-2.247417,0.0,,
2000-02-09 00:00:00+00:00,Jackson,MS,10.53519,20.462965,1.9394509,1.3123844,,
2000-02-10 00:00:00+00:00,Jackson,MS,-9.781222,-0.15471724,-14.823681,3.6008227,,
2000-02-11 00:00:00+00:00,Jackson,MS,-6.0476336,2.677599,-10.436813,0.0,,
2000-02-12 00:00:00+00:00,Jackson,MS,5.585954,12.859914,1.700055,0.8689724,,
2000-02-13 00:00:00+00:00,Jackson,MS,8.319543,14.99223,2.4369235,9.645526,,
2000-02-14 00:00:00+00:00,Jackson,MS,2.0031323,3.3245468,1.1237913,90.18326,,
2000-02-15 00:00:00+00:00,Jackson,MS,7.4867206,16.306862,2.5106592,12.083859,,
2000-02-16 00:00:00+00:00,Jackson,MS,8.670309,16.189178,6.4475274,13.133457,,
2000-02-17 00:00:00+00:00,Jackson,MS,4.653897,8.171493,1.384396,5.2632113,,
2000-02-18 00:00:00+00:00,Jackson,MS,3.2874851,10.603807,-2.528736,0.0,,
2000-02-19 00:00:00+00:00,Jackson,MS,7.7210746,14.786124,2.4081318,0.21387844,,
2000-02-20 00:00:00+00:00,Jackson,MS,14.004662,21.11844,9.8949995,1.6005716,,
2000-02-21 00:00:00+00:00,Jackson,MS,19.588251,24.000755,16.731867,0.53235865,,
2000-02-22 00:00:00+00:00,Jackson,MS,6.871839,22.533073,-0.131264,13.598737,,
2000-02-23 00:00:00+00:00,Jackson,MS,-0.8945728,3.2153883,-3.8943958,0.0,,
2000-02-24 00:00:00+00:00,Jackson,MS,3.8890154,12.547703,-1.8075278,0.0,,
2000-02-25 00:00:00+00:00,Jackson,MS,12.022603,19.18002,7.5293407,1.7944124,,
2000-02-26 00:00:00+00:00,Jackson,MS,19.706192,23.262335,17.316208,2.317207,,
2000-02-27 00:00:00+00:00,Jackson,MS,22.289782,26.24465,19.553076,4.0990124,,
2000-02-28 00:00:00+00:00,Jackson,MS,23.073366,26.676968,20.039946,0.41951796,,
2000-02-29 00:00:00+00:00,Jackson,MS,23.106958,26.759281,20.026814,0.41862974,,
2000-03-01 00:00:00+00:00,Jackson,MS,23.340544,26.541597,20.61368,1.4621137,,
2000-03-02 00:00:00+00:00,Jackson,MS,15.924133,24.923914,12.100549,3.6476045,,
2000-03-03 00:00:00+00:00,Jackson,MS,13.100535,18.740885,10.385365,12.683585,,
2000-03-04 00:00:00+00:00,Jackson,MS,16.72263,23.898642,11.168949,2.4885533,,
2000-03-05 00:00:00+00:00,Jackson,MS,23.094723,28.456402,19.502535,2.1717358,,
2000-03-06 00:00:00+00:00,Jackson,MS,21.066813,26.164164,19.38612,8.6639805,,
2000-03-07 00:00:00+00:00,Jackson,MS,14.688905,20.721924,10.819706,33.32976,,
2000-03-08 00:00:00+00:00,Jackson,MS,10.860996,18.729685,4.2532907,0.410388,,
2000-03-09 00:00:00+00:00,Jackson,MS,15.283088,23.587446,8.786875,0.0,,
2000-03-10 00:00:00+00:00,Jackson,MS,15.005181,19.795208,11.52046,2.653373,,
2000-03-11 00:00:00+00:00,Jackson,MS,8.727273,13.702967,4.5040455,2.4427505,,
2000-03-12 00:00:00+00:00,Jackson,MS,10.299365,17.460726,3.837631,0.0,,
2000-03-13 00:00:00+00:00,Jackson,MS,10.521458,16.218487,6.7212152,3.644613,,
2000-03-14 00:00:00+00:00,Jackson,MS,7.7435493,13.676247,1.8048007,0.10096878,,
2000-03-15 00:00:00+00:00,Jackson,MS,10.715641,18.184008,4.6383853,0.0,,
2000-03-16 00:00:00+00:00,Jackson,MS,11.187733,18.191769,4.6719704,0.0,,
