date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Little Rock,AR,0.13889265,6.300442,-5.0524793,0.0,,
2000-01-02 00:00:00+00:00,Little Rock,AR,3.2482398,10.11442,-1.1989596,0.0,,
2000-01-03 00:00:00+00:00,Little Rock,AR,7.387136,13.44555,3.2965138,1.1765323,,
2000-01-04 00:00:00+00:00,Little Rock,AR,11.0260315,12.976681,9.591988,0.91261035,,
2000-01-05 00:00:00+00:00,Little Rock,AR,5.964928,10.607813,0.93746185,0.0,,
2000-01-06 00:00:00+00:00,Little Rock,AR,11.903824,20.088943,7.332936,0.0,,
2000-01-07 00:00:00+00:00,Little Rock,AR,8.54272,16.770073,5.12841,0.0,,
2000-01-08 00:00:00+00:00,Little Rock,AR,2.131616,5.701205,0.4738834,2.9668534,,
2000-01-09 00:00:00+00:00,Little Rock,AR,0.4705124,4.482336,-2.2306426,24.959394,,
2000-01-10 00:00:00+00:00,Little Rock,AR,5.0594087,11.613466,3.4148314,34.39052,,
2000-01-11 00:00:00+00:00,Little Rock,AR,2.0983045,11.844598,-1.3896947,12.031244,,
2000-01-12 00:00:00+00:00,Little Rock,AR,-4.362799,-0.3242705,-6.644221,0.0,,
2000-01-13 00:00:00+00:00,Little Rock,AR,-3.8239028,0.9568603,-7.398747,0.0,,
2000-01-14 00:00:00+00:00,Little Rock,AR,-0.785007,5.687991,-5.7032733,0.0,,
2000-01-15 00:00:00+00:00,Little Rock,AR,-5.2461114,3.1691225,-9.0078,0.0,,
2000-01-16 00:00:00+00:00,Little Rock,AR,-3.4572146,2.6002529,-7.612325,0.0,,
2000-01-17 00:00:00+00:00,Little Rock,AR,-0.118319266,6.481384,-5.566851,0.0,,
2000-01-18 00:00:00+00:00,Little Rock,AR,1.4205775,4.1125154,-0.62137794,0.0,,
2000-01-19 00:00:00+00:00,Little Rock,AR,-1.5405271,3.5936468,-5.6259036,0.0,,
2000-01-20 00:00:00+00:00,Little Rock,AR,1.9983697,8.474776,-2.6804297,0.0,,
2000-01-21 00:00:00+00:00,Little Rock,AR,2.3872657,5.555908,0.21504402,0.0,,
2000-01-22 00:00:00+00:00,Little Rock,AR,2.426161,7.9870396,-1.1894825,0.0,,
2000-01-23 00:00:00+00:00,Little Rock,AR,5.5650573,12.71817,0.50599146,0.0,,
2000-01-24 00:00:00+00:00,Little Rock,AR,9.203954,14.649301,5.201466,0.74369,,
2000-01-25 00:00:00+00:00,Little Rock,AR,15.19285,19.98043,11.846939,2.2258048,,
2000-01-26 00:00:00+00:00,Little Rock,AR,10.831745,18.11156,6.442414,0.9869264,,
2000-01-27 00:00:00+00:00,Little Rock,AR,6.8206415,12.542694,1.5378873,0.0,,
2000-01-28 00:00:00+00:00,Little Rock,AR,11.159538,17.673824,6.783361,0.0,,
2000-01-29 00:00:00+00:00,Little Rock,AR,15.748434,21.354958,12.428834,0.24502055,,
2000-01-30 00:00:00+00:00,Little Rock,AR,19.23733,22.086086,17.77431,8.556091,,
2000-01-31 00:00:00+00:00,Little Rock,AR,7.076226,21.217218,-0.6802175,21.585468,,
2000-02-01 00:00:00+00:00,Little Rock,AR,-5.6848774,-0.5516517,-9.284744,0.0,,
2000-02-02 00:00:00+00:00,Little Rock,AR,-3.495982,1.0294797,-6.439269,0.0,,
2000-02-03 00:00:00+00:00,Little Rock,AR,0.7929137,7.3606105,-3.643796,0.0,,
2000-02-04 00:00:00+00:00,Little Rock,AR,4.8818107,10.741741,1.2016783,0.0,,
2000-02-05 00:00:00+00:00,Little Rock,AR,5.4207067,11.9228735,0.7471516,0.0,,
2000-02-06 00:00:00+00:00,Little Rock,AR,5.709602,10.654004,2.742626,2.1659505,,
2000-02-07 00:00:00+00:00,Little Rock,AR,0.94849825,6.835135,-2.6619008,0.0,,
2000-02-08 00:00:00+00:00,Little Rock,AR,3.4373941,11.566265,-0.7664263,0.0,,
2000-02-09 00:00:00+00:00,Little Rock,AR,4.3762913,11.4973955,-7.9209523,6.336107,,
2000-02-10 00:00:00+00:00,Little Rock,AR,-14.584813,-8.521474,-18.525478,0.47717148,,
2000-02-11 00:00:00+00:00,Little Rock,AR,-5.5459175,2.959659,-9.430004,0.0,,
2000-02-12 00:00:00+00:00,Little Rock,AR,3.0429785,6.290789,0.7154691,5.345384,,
2000-02-13 00:00:00+00:00,Little Rock,AR,-1.7181256,6.0219207,-5.8390574,5.6897297,,
2000-02-14 00:00:00+00:00,Little Rock,AR,-4.979229,-0.59694815,-7.5935836,1.656028,,
2000-02-15 00:00:00+00:00,Little Rock,AR,-2.2403333,2.1341834,-4.148109,25.614973,,
2000-02-16 00:00:00+00:00,Little Rock,AR,3.7485635,6.915314,1.9973643,9.188157,,
2000-02-17 00:00:00+00:00,Little Rock,AR,1.7374591,4.896445,-1.8071616,0.0,,
2000-02-18 00:00:00+00:00,Little Rock,AR,1.7763549,7.5275755,-2.5116875,0.0,,
2000-02-19 00:00:00+00:00,Little Rock,AR,4.2152514,9.458706,0.9337864,0.35122436,,
2000-02-20 00:00:00+00:00,Little Rock,AR,10.954148,18.539837,6.27926,0.93470234,,
2000-02-21 00:00:00+00:00,Little Rock,AR,16.793041,19.820969,11.624733,6.179938,,
2000-02-22 00:00:00+00:00,Little Rock,AR,-0.91806054,10.3021,-5.0797925,0.581846,,
2000-02-23 00:00:00+00:00,Little Rock,AR,-3.0291636,2.033231,-6.834318,0.0,,
2000-02-24 00:00:00+00:00,Little Rock,AR,2.3097308,8.914362,-2.2888443,0.0,,
2000-02-25 00:00:00+00:00,Little Rock,AR,6.298628,12.545493,1.6066291,0.231359,,
2000-02-26 00:00:00+00:00,Little Rock,AR,12.737524,19.976624,9.052103,0.80817145,,
2000-02-27 00:00:00+00:00,Little Rock,AR,21.32642,25.907755,18.747578,2.4197943,,
2000-02-28 00:00:00+00:00,Little Rock,AR,18.865316,22.738884,15.243052,9.89045,,
