date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Madison,WI,-17.386713,-2.5991771,-26.701906,0.12867051,,
2000-01-02 00:00:00+00:00,Madison,WI,-3.150081,-0.8583711,-6.4177747,0.0,,
2000-01-03 00:00:00+00:00,Madison,WI,-7.189038,-4.0415444,-10.108099,0.12860163,,
2000-01-04 00:00:00+00:00,Madison,WI,-8.477993,-6.4247174,-10.948422,0.6423123,,
2000-01-05 00:00:00+00:00,Madison,WI,-6.666952,-1.6578887,-11.838746,0.12832485,,
2000-01-06 00:00:00+00:00,Madison,WI,0.39409178,3.8589385,-3.1790712,0.64094377,,
2000-01-07 00:00:00+00:00,Madison,WI,-8.4948635,-0.4242342,-11.4193945,0.25610828,,
2000-01-08 00:00:00+00:00,Madison,WI,-13.33382,-6.457407,-19.609718,0.25584206,,
2000-01-09 00:00:00+00:00,Madison,WI,-9.222777,-7.1405797,-11.450042,4.8559947,,
2000-01-10 00:00:00+00:00,Madison,WI,-9.711735,-4.4737525,-12.540367,5.616999,,
2000-01-11 00:00:00+00:00,Madison,WI,-7.400692,-5.9569254,-10.58069,21.17002,,
2000-01-12 00:00:00+00:00,Madison,WI,-15.839649,-10.840097,-19.821014,5.987929,,
2000-01-13 00:00:00+00:00,Madison,WI,-16.978605,-9.72327,-21.311338,0.0,,
2000-01-14 00:00:00+00:00,Madison,WI,-18.967562,-14.556442,-21.401663,0.25430366,,
2000-01-15 00:00:00+00:00,Madison,WI,-20.35652,-9.989616,-27.041986,0.0,,
2000-01-16 00:00:00+00:00,Madison,WI,-15.195477,-10.122788,-19.23231,0.0,,
2000-01-17 00:00:00+00:00,Madison,WI,-8.184432,-2.1559618,-16.122633,0.38035586,,
2000-01-18 00:00:00+00:00,Madison,WI,-19.973389,-9.089134,-24.412958,0.0,,
2000-01-19 00:00:00+00:00,Madison,WI,-16.362347,-5.422307,-23.403284,0.8858304,,
2000-01-20 00:00:00+00:00,Madison,WI,-0.501303,2.4945207,-4.943607,0.12643002,,
2000-01-21 00:00:00+00:00,Madison,WI,-10.290258,-2.5386522,-15.683931,0.0,,
2000-01-22 00:00:00+00:00,Madison,WI,-4.4792175,-0.17182523,-11.474254,0.757195,,
2000-01-23 00:00:00+00:00,Madison,WI,-4.968174,3.745002,-12.51458,1.8912823,,
2000-01-24 00:00:00+00:00,Madison,WI,3.7928698,5.81183,0.9450962,0.3779189,,
2000-01-25 00:00:00+00:00,Madison,WI,-1.1960871,5.8286567,-5.4452276,9.062032,,
2000-01-26 00:00:00+00:00,Madison,WI,-3.785043,5.8454847,-8.435551,5.533056,,
2000-01-27 00:00:00+00:00,Madison,WI,-13.874,-8.587688,-18.625875,0.25128412,,
2000-01-28 00:00:00+00:00,Madison,WI,-7.5129576,2.3791394,-12.1161995,2.3851442,,
2000-01-29 00:00:00+00:00,Madison,WI,-11.451914,2.445966,-16.656523,0.25085375,,
2000-01-30 00:00:00+00:00,Madison,WI,-12.790871,-3.787206,-18.046848,1.1278876,,
2000-01-31 00:00:00+00:00,Madison,WI,-4.7798285,3.5296214,-21.737173,26.044897,,
2000-02-01 00:00:00+00:00,Madison,WI,-28.118784,-22.75355,-30.227497,0.87578315,,
2000-02-02 00:00:00+00:00,Madison,WI,-29.507742,-21.236723,-37.11782,0.0,,
2000-02-03 00:00:00+00:00,Madison,WI,-8.796699,-0.819897,-21.208143,0.7494415,,
2000-02-04 00:00:00+00:00,Madison,WI,-8.085655,-1.2030699,-14.748468,4.8674297,,
2000-02-05 00:00:00+00:00,Madison,WI,-20.02461,-14.186241,-26.138792,0.7482349,,
2000-02-06 00:00:00+00:00,Madison,WI,-16.463568,-14.119415,-20.429115,1.6198871,,
2000-02-07 00:00:00+00:00,Madison,WI,-18.702524,-15.152587,-23.86944,1.3695937,,
2000-02-08 00:00:00+00:00,Madison,WI,-14.191483,-1.1357601,-27.159763,4.478805,,
2000-02-09 00:00:00+00:00,Madison,WI,-19.680439,-6.718933,-24.25009,0.7458893,,
2000-02-10 00:00:00+00:00,Madison,WI,-30.869396,-22.802107,-35.590412,0.24843882,,
2000-02-11 00:00:00+00:00,Madison,WI,-19.908352,-6.2352786,-33.03074,0.99299854,,
2000-02-12 00:00:00+00:00,Madison,WI,-16.297308,-6.618451,-20.47106,1.6124042,,
2000-02-13 00:00:00+00:00,Madison,WI,-23.486265,-16.651623,-29.261383,4.089961,,
2000-02-14 00:00:00+00:00,Madison,WI,-21.125223,-10.184796,-29.251707,0.0,,
2000-02-15 00:00:00+00:00,Madison,WI,-9.914179,-2.417969,-14.492033,0.37126505,,
2000-02-16 00:00:00+00:00,Madison,WI,-5.1531367,-1.2011421,-8.932356,1.2366464,,
2000-02-17 00:00:00+00:00,Madison,WI,-8.8420925,0.31568545,-15.5726795,0.0,,
2000-02-18 00:00:00+00:00,Madison,WI,1.6689498,6.382512,-0.6130045,0.0,,
2000-02-19 00:00:00+00:00,Madison,WI,2.6299934,5.2993402,0.7966706,0.0,,
2000-02-20 00:00:00+00:00,Madison,WI,1.1910365,4.866167,-3.343652,0.24662231,,
2000-02-21 00:00:00+00:00,Madison,WI,3.7020795,5.3329945,0.76602286,5.668338,,
2000-02-22 00:00:00+00:00,Madison,WI,-10.336878,0.44982213,-13.724302,1.7239469,,
2000-02-23 00:00:00+00:00,Madison,WI,-18.575832,-8.13335,-26.714624,0.0,,
2000-02-24 00:00:00+00:00,Madison,WI,-4.2147903,1.3334768,-8.754949,0.36890996,,
2000-02-25 00:00:00+00:00,Madison,WI,-5.253748,0.10030431,-11.645273,3.4408224,,
2000-02-26 00:00:00+00:00,Madison,WI,-2.9927042,5.067131,-7.735597,0.122803785,,
2000-02-27 00:00:00+00:00,Madison,WI,3.268339,6.8839583,1.1240783,1.595383,,
2000-02-28 00:00:00+00:00,Madison,WI,-1.8206174,6.150786,-8.616245,0.36792138,,
2000-02-29 00:00:00+00:00,Madison,WI,-2.6095746,6.167613,-8.506569,0.3676795,,
2000-03-01 00:00:00+00:00,Madison,WI,-5.6985316,-1.2155597,-9.146894,0.12247989,,
2000-03-02 00:00:00+00:00,Madison,WI,-10.187489,-1.548732,-15.237219,0.3672019,,
2000-03-03 00:00:00+00:00,Madison,WI,-6.336156,3.252022,-12.437325,0.0,,
2000-03-04 00:00:00+00:00,Madison,WI,-4.870649,2.413132,-11.423301,0.12104165,,
2000-03-05 00:00:00+00:00,Madison,WI,4.3448586,6.9242415,0.7907228,6.8548403,,
2000-03-06 00:00:00+00:00,Madison,WI,-1.789634,6.8353524,-8.045252,12.189548,,
2000-03-07 00:00:00+00:00,Madison,WI,-10.874126,-4.053538,-17.831228,0.0,,
2000-03-08 00:00:00+00:00,Madison,WI,-3.9586194,3.7075725,-9.167205,0.47227702,,
2000-03-09 00:00:00+00:00,Madison,WI,3.0068877,7.318682,-0.75318176,0.23477149,,
2000-03-10 00:00:00+00:00,Madison,WI,-6.5776057,-0.37020713,-8.939158,0.23344766,,
2000-03-11 00:00:00+00:00,Madison,WI,-11.962097,-5.5090966,-18.075132,0.0,,
2000-03-12 00:00:00+00:00,Madison,WI,-3.9465907,3.102013,-8.361111,0.69276446,,
2000-03-13 00:00:00+00:00,Madison,WI,-4.331084,1.313123,-9.497087,0.45943093,,
2000-03-14 00:00:00+00:00,Madison,WI,-1.5155761,5.224233,-6.833063,0.114272654,,
2000-03-15 00:00:00+00:00,Madison,WI,-3.0500696,2.6853435,-5.2690387,0.0,,
2000-03-16 00:00:00+00:00,Madison,WI,-6.734562,0.096453376,-13.005014,0.0,,
2000-03-17 00:00:00+00:00,Madison,WI,2.2309453,6.7075634,-1.040992,0.0,,
2000-03-18 00:00:00+00:00,Madison,WI,6.7464523,8.118673,6.073032,0.1120963,,
2000-03-19 00:00:00+00:00,Madison,WI,6.7119594,8.479784,5.2370553,4.9099517,,
2000-03-20 00:00:00+00:00,Madison,WI,3.5274668,7.1908937,0.4510793,0.0,,
2000-03-21 00:00:00+00:00,Madison,WI,6.242974,8.652004,4.6151032,0.1106177,,
2000-03-22 00:00:00+00:00,Madison,WI,5.8084807,10.713115,3.1291263,0.33045304,,
2000-03-23 00:00:00+00:00,Madison,WI,12.623989,21.524225,6.793151,0.0,,
2000-03-24 00:00:00+00:00,Madison,WI,18.239496,24.085337,13.307175,0.8740303,,
2000-03-25 00:00:00+00:00,Madison,WI,19.605003,23.146444,15.621199,0.32646713,,
2000-03-26 00:00:00+00:00,Madison,WI,14.92051,22.557554,8.485222,4.336073,,
2000-03-27 00:00:00+00:00,Madison,WI,12.236017,17.268665,9.999246,37.25715,,
2000-03-28 00:00:00+00:00,Madison,WI,10.701525,17.079775,7.7132688,1.7214676,,
2000-03-29 00:00:00+00:00,Madison,WI,7.917031,13.440885,5.9772935,2.8944387,,
2000-03-30 00:00:00+00:00,Madison,WI,10.332539,15.751995,5.8413167,1.281846,,
2000-03-31 00:00:00+00:00,Madison,WI,12.148046,17.513105,6.8053403,2.6612158,,
2000-04-01 00:00:00+00:00,Madison,WI,12.713552,17.224215,7.819364,1.5912817,,
2000-04-02 00:00:00+00:00,Madison,WI,10.32906,16.335325,5.0333877,0.0,,
2000-04-03 00:00:00+00:00,Madison,WI,9.194567,14.296435,3.6974123,0.0,,
2000-04-04 00:00:00+00:00,Madison,WI,10.410074,14.707546,6.461436,0.10504524,,
2000-04-05 00:00:00+00:00,Madison,WI,10.575582,14.668656,8.67546,8.06298,,
2000-04-06 00:00:00+00:00,Madison,WI,11.791088,20.329767,5.1894827,0.20878029,,
2000-04-07 00:00:00+00:00,Madison,WI,14.806595,20.440876,9.503507,36.73789,,
2000-04-08 00:00:00+00:00,Madison,WI,11.472102,15.451988,6.867531,0.0,,
2000-04-09 00:00:00+00:00,Madison,WI,10.837609,18.213097,3.7315543,0.0,,
2000-04-10 00:00:00+00:00,Madison,WI,13.653117,20.624207,6.9955783,0.0,,
2000-04-11 00:00:00+00:00,Madison,WI,16.268625,20.935316,11.809603,5.0407586,,
2000-04-12 00:00:00+00:00,Madison,WI,16.98413,20.796427,13.723626,2.4621127,,
2000-04-13 00:00:00+00:00,Madison,WI,18.74964,26.007536,12.68765,0.40923706,,
2000-04-14 00:00:00+00:00,Madison,WI,21.165146,24.568647,18.151674,3.4692302,,
2000-04-15 00:00:00+00:00,Madison,WI,20.780653,23.129759,18.665697,14.552909,,
2000-04-16 00:00:00+00:00,Madison,WI,15.446159,22.640867,10.429722,4.364772,,
2000-04-17 00:00:00+00:00,Madison,WI,9.761667,17.151978,5.693744,14.984888,,
2000-04-18 00:00:00+00:00,Madison,WI,4.8771744,9.963087,1.0577677,31.612118,,
2000-04-19 00:00:00+00:00,Madison,WI,6.2426805,12.574198,0.7217918,0.0,,
2000-04-20 00:00:00+00:00,Madison,WI,7.7581882,13.135307,2.485816,0.40203023,,
2000-04-21 00:00:00+00:00,Madison,WI,9.473695,16.646418,4.2498393,0.30080917,,
2000-04-22 00:00:00+00:00,Madison,WI,14.389204,22.657528,7.463863,0.0,,
2000-04-23 00:00:00+00:00,Madison,WI,16.854712,22.468637,11.077888,1.6967245,,
2000-04-24 00:00:00+00:00,Madison,WI,14.320217,21.929749,10.741911,18.024439,,
2000-04-25 00:00:00+00:00,Madison,WI,8.9857235,11.390859,7.555934,8.247033,,
2000-04-26 00:00:00+00:00,Madison,WI,8.801233,11.451967,6.019958,1.9829031,,
2000-04-27 00:00:00+00:00,Madison,WI,11.766739,19.363081,6.783982,1.9786474,,
2000-04-28 00:00:00+00:00,Madison,WI,14.532246,19.174189,9.898006,0.9872337,,
2000-04-29 00:00:00+00:00,Madison,WI,10.997753,15.035299,7.112029,31.32874,,
2000-04-30 00:00:00+00:00,Madison,WI,8.963261,14.396409,3.8260534,2.359592,,
2000-05-01 00:00:00+00:00,Madison,WI,10.478766,18.05752,3.2900767,0.0,,
2000-05-02 00:00:00+00:00,Madison,WI,14.044274,21.968632,6.7541003,0.0,,
2000-05-03 00:00:00+00:00,Madison,WI,16.079952,22.833666,9.203516,0.0,,
2000-05-04 00:00:00+00:00,Madison,WI,16.472353,23.050016,9.614729,0.0,,
2000-05-05 00:00:00+00:00,Madison,WI,17.914755,24.266361,11.675942,0.0,,
2000-05-06 00:00:00+00:00,Madison,WI,17.807158,22.682707,13.637156,3.0511599,,
2000-05-07 00:00:00+00:00,Madison,WI,16.84956,22.549055,13.948367,26.713005,,
2000-05-08 00:00:00+00:00,Madison,WI,20.941961,25.765402,18.30958,7.3052683,,
2000-05-09 00:00:00+00:00,Madison,WI,18.53436,25.831749,12.570793,3.361515,,
2000-05-10 00:00:00+00:00,Madison,WI,10.326764,13.998096,7.132005,37.923424,,
2000-05-11 00:00:00+00:00,Madison,WI,10.119165,15.614443,4.9932175,0.0,,
2000-05-12 00:00:00+00:00,Madison,WI,12.061566,17.78079,6.254431,0.0,,
2000-05-13 00:00:00+00:00,Madison,WI,13.553967,16.797138,10.865644,22.976461,,
2000-05-14 00:00:00+00:00,Madison,WI,12.14637,17.813486,7.776857,14.743095,,
2000-05-15 00:00:00+00:00,Madison,WI,15.038773,22.379833,8.78807,0.49883106,,
2000-05-16 00:00:00+00:00,Madison,WI,14.831174,21.596178,9.349281,5.9950404,,
2000-05-17 00:00:00+00:00,Madison,WI,12.723575,17.462526,7.6604953,0.0,,
2000-05-18 00:00:00+00:00,Madison,WI,13.415977,19.128872,8.421707,0.0,,
2000-05-19 00:00:00+00:00,Madison,WI,17.758379,24.545221,12.282921,0.0,,
2000-05-20 00:00:00+00:00,Madison,WI,20.05078,24.961567,15.894133,1.0052602,,
2000-05-21 00:00:00+00:00,Madison,WI,21.243181,24.727913,17.055346,1.6108681,,
2000-05-22 00:00:00+00:00,Madison,WI,21.735582,25.744259,18.216558,0.8066632,,
2000-05-23 00:00:00+00:00,Madison,WI,18.977985,22.91061,14.877771,6.7661266,,
2000-05-24 00:00:00+00:00,Madison,WI,18.970387,24.376957,13.488984,2.2251124,,
2000-05-25 00:00:00+00:00,Madison,WI,20.762789,24.943302,17.000196,7.90112,,
