date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Montpelier,VT,-9.586664,-3.508112,-18.83113,3.6889405,,
2000-01-02 00:00:00+00:00,Montpelier,VT,-20.523596,-8.936158,-27.873884,1.0780705,,
2000-01-03 00:00:00+00:00,Montpelier,VT,-18.421185,-9.038296,-25.623426,1.0778275,,
2000-01-04 00:00:00+00:00,Montpelier,VT,-17.568773,-10.340431,-22.57297,2.3347661,,
2000-01-05 00:00:00+00:00,Montpelier,VT,-12.31636,-7.742569,-16.322514,4.488923,,
2000-01-06 00:00:00+00:00,Montpelier,VT,-7.863947,-2.0447054,-12.472055,0.6283077,,
2000-01-07 00:00:00+00:00,Montpelier,VT,-0.8115355,0.85315746,-3.2715974,5.7432346,,
2000-01-08 00:00:00+00:00,Montpelier,VT,-18.009123,-5.4489784,-25.171139,0.7177427,,
2000-01-09 00:00:00+00:00,Montpelier,VT,-19.556711,-9.151115,-25.670681,0.17939529,,
2000-01-10 00:00:00+00:00,Montpelier,VT,-14.804298,-4.7032523,-21.020224,0.17935492,,
2000-01-11 00:00:00+00:00,Montpelier,VT,-2.1518846,3.5946112,-8.669767,14.076196,,
2000-01-12 00:00:00+00:00,Montpelier,VT,-5.1994734,2.7424743,-9.669311,3.854397,,
2000-01-13 00:00:00+00:00,Montpelier,VT,-12.89706,-9.409662,-16.218853,0.08961699,,
2000-01-14 00:00:00+00:00,Montpelier,VT,-14.994648,-10.111798,-18.168394,0.0,,
2000-01-15 00:00:00+00:00,Montpelier,VT,-20.442236,-14.113935,-25.817938,0.35830694,,
2000-01-16 00:00:00+00:00,Montpelier,VT,-20.089823,-14.016072,-26.267479,0.0,,
2000-01-17 00:00:00+00:00,Montpelier,VT,-17.48741,-7.7182093,-23.517023,0.53721905,,
2000-01-18 00:00:00+00:00,Montpelier,VT,-14.135,-7.6703453,-22.316565,1.6112953,,
2000-01-19 00:00:00+00:00,Montpelier,VT,-25.882587,-23.472483,-30.26611,0.53697795,,
2000-01-20 00:00:00+00:00,Montpelier,VT,-14.730173,0.1753807,-30.215649,0.0,,
2000-01-21 00:00:00+00:00,Montpelier,VT,-5.9777617,-2.326756,-12.665194,0.0,,
2000-01-22 00:00:00+00:00,Montpelier,VT,-14.675349,-7.2288923,-20.514736,0.35774454,,
2000-01-23 00:00:00+00:00,Montpelier,VT,-12.672937,-7.381029,-18.364279,1.1624091,,
2000-01-24 00:00:00+00:00,Montpelier,VT,-7.320524,1.016834,-18.96382,2.2349014,,
2000-01-25 00:00:00+00:00,Montpelier,VT,0.5818876,2.0646973,-1.4633623,1.2512646,,
2000-01-26 00:00:00+00:00,Montpelier,VT,0.9842999,4.5625606,-2.3629055,3.1274607,,
2000-01-27 00:00:00+00:00,Montpelier,VT,-1.9632884,3.460424,-11.162449,4.7348094,,
2000-01-28 00:00:00+00:00,Montpelier,VT,-15.360876,-12.541713,-18.71199,0.35726413,,
2000-01-29 00:00:00+00:00,Montpelier,VT,-5.1584625,0.15615046,-11.861532,1.5180329,,
2000-01-30 00:00:00+00:00,Montpelier,VT,-11.706051,-4.445986,-16.311077,1.4284174,,
2000-01-31 00:00:00+00:00,Montpelier,VT,-1.3036376,6.0518775,-11.610619,8.0330515,,
2000-02-01 00:00:00+00:00,Montpelier,VT,-1.0012261,5.8497405,-7.210161,7.8527837,,
2000-02-02 00:00:00+00:00,Montpelier,VT,-17.448812,-9.252396,-21.409702,0.0,,
2000-02-03 00:00:00+00:00,Montpelier,VT,-20.4964,-16.804533,-24.209246,0.0,,
2000-02-04 00:00:00+00:00,Montpelier,VT,-9.043988,-3.6066694,-15.758789,1.2484696,,
2000-02-05 00:00:00+00:00,Montpelier,VT,-3.4915757,-0.10880649,-6.5083313,0.0891565,,
2000-02-06 00:00:00+00:00,Montpelier,VT,-6.139163,-1.0109432,-10.957873,0.0,,
2000-02-07 00:00:00+00:00,Montpelier,VT,0.7632487,2.48692,-3.307416,13.54574,,
2000-02-08 00:00:00+00:00,Montpelier,VT,-15.234339,-5.5652165,-20.30696,0.35638735,,
2000-02-09 00:00:00+00:00,Montpelier,VT,-8.131927,-0.7673532,-20.406502,3.117694,,
2000-02-10 00:00:00+00:00,Montpelier,VT,-13.729515,-3.31949,-20.406044,17.455194,,
2000-02-11 00:00:00+00:00,Montpelier,VT,-28.877102,-22.171625,-33.50559,0.62326086,,
2000-02-12 00:00:00+00:00,Montpelier,VT,-18.674688,-6.3237634,-34.15513,1.7803487,,
2000-02-13 00:00:00+00:00,Montpelier,VT,-0.4722768,3.3241,-5.1046715,14.061625,,
2000-02-14 00:00:00+00:00,Montpelier,VT,-15.1198635,-4.828037,-22.604216,0.088977806,,
2000-02-15 00:00:00+00:00,Montpelier,VT,-16.567453,-6.0801735,-25.103758,0.0,,
2000-02-16 00:00:00+00:00,Montpelier,VT,-0.46503985,3.36769,-7.4032993,7.470808,,
2000-02-17 00:00:00+00:00,Montpelier,VT,-5.9126277,1.6655533,-10.002841,0.17783688,,
2000-02-18 00:00:00+00:00,Montpelier,VT,-5.0102153,3.8634167,-10.302384,0.0,,
2000-02-19 00:00:00+00:00,Montpelier,VT,-0.20780241,4.31128,-3.8519268,0.0,,
2000-02-20 00:00:00+00:00,Montpelier,VT,2.9446092,4.459143,1.7985299,0.9774505,,
2000-02-21 00:00:00+00:00,Montpelier,VT,2.7470217,6.2070065,0.09898865,0.5330365,,
2000-02-22 00:00:00+00:00,Montpelier,VT,5.3994346,6.85487,4.0494456,13.145311,,
2000-02-23 00:00:00+00:00,Montpelier,VT,-13.348154,1.6527331,-19.800098,1.1543993,,
2000-02-24 00:00:00+00:00,Montpelier,VT,-13.29574,-6.649404,-17.99964,0.08878025,,
2000-02-25 00:00:00+00:00,Montpelier,VT,-3.4433289,-0.10154021,-6.9491825,2.485295,,
2000-02-26 00:00:00+00:00,Montpelier,VT,-1.2409159,1.396323,-4.0987244,0.17748171,,
2000-02-27 00:00:00+00:00,Montpelier,VT,-0.5885035,5.3941865,-4.4982667,0.88721174,,
2000-02-28 00:00:00+00:00,Montpelier,VT,8.113909,14.84205,4.00219,2.661045,,
2000-02-29 00:00:00+00:00,Montpelier,VT,8.116321,14.839912,3.552647,2.6604555,,
2000-03-01 00:00:00+00:00,Montpelier,VT,-3.481267,2.7377763,-7.996895,0.0,,
2000-03-02 00:00:00+00:00,Montpelier,VT,0.021145701,4.2356396,-3.6464376,7.4459743,,
2000-03-03 00:00:00+00:00,Montpelier,VT,-5.6019983,-2.5895066,-8.918541,0.0,,
2000-03-04 00:00:00+00:00,Montpelier,VT,-5.390476,1.121541,-9.204178,0.08849548,,
2000-03-05 00:00:00+00:00,Montpelier,VT,-6.328954,-0.6674111,-11.4398155,0.44205278,,
2000-03-06 00:00:00+00:00,Montpelier,VT,2.1325681,5.9936366,-1.8254544,5.9178715,,
2000-03-07 00:00:00+00:00,Montpelier,VT,-2.15591,3.8546848,-6.3110933,0.0,,
2000-03-08 00:00:00+00:00,Montpelier,VT,-6.9943876,-5.0342674,-9.796732,0.705284,,
2000-03-09 00:00:00+00:00,Montpelier,VT,-4.7328663,3.5267806,-10.78237,0.0,,
2000-03-10 00:00:00+00:00,Montpelier,VT,4.6786556,7.3378286,2.7819917,1.935948,,
2000-03-11 00:00:00+00:00,Montpelier,VT,-4.309822,0.49887633,-7.553646,2.1100152,,
2000-03-12 00:00:00+00:00,Montpelier,VT,-7.8983,-3.5400753,-11.339284,0.0,,
2000-03-13 00:00:00+00:00,Montpelier,VT,-2.786778,4.420972,-8.974924,2.369488,,
2000-03-14 00:00:00+00:00,Montpelier,VT,1.4247439,5.83202,-2.3105621,0.7014453,,
2000-03-15 00:00:00+00:00,Montpelier,VT,-2.563734,-0.15693235,-6.0462,2.014873,,
2000-03-16 00:00:00+00:00,Montpelier,VT,-11.652212,-2.4958844,-17.181839,2.013107,,
2000-03-17 00:00:00+00:00,Montpelier,VT,-12.540689,-4.834836,-18.667475,0.0,,
2000-03-18 00:00:00+00:00,Montpelier,VT,-0.2791679,6.126212,-4.303115,3.2328706,,
2000-03-19 00:00:00+00:00,Montpelier,VT,4.132354,9.88726,0.6112462,6.3729086,,
2000-03-20 00:00:00+00:00,Montpelier,VT,10.293877,14.098309,7.9256086,6.6291766,,
2000-03-21 00:00:00+00:00,Montpelier,VT,4.355398,10.459355,-0.36002982,2.963187,,
2000-03-22 00:00:00+00:00,Montpelier,VT,3.21692,9.6704035,0.3043313,0.0,,
2000-03-23 00:00:00+00:00,Montpelier,VT,4.6284423,14.28145,-0.98130715,0.0,,
2000-03-24 00:00:00+00:00,Montpelier,VT,10.139965,19.242498,4.733055,0.43467984,,
2000-03-25 00:00:00+00:00,Montpelier,VT,12.201487,22.503548,6.4974165,0.0,,
2000-03-26 00:00:00+00:00,Montpelier,VT,7.513008,10.714594,4.9117785,1.1283307,,
2000-03-27 00:00:00+00:00,Montpelier,VT,3.4245305,7.6256433,0.6761403,0.4336245,,
2000-03-28 00:00:00+00:00,Montpelier,VT,1.4860525,1.9866906,0.89050126,2.5996718,,
2000-03-29 00:00:00+00:00,Montpelier,VT,2.4475741,5.6977386,0.8048632,5.454991,,
2000-03-30 00:00:00+00:00,Montpelier,VT,4.209096,9.658787,0.76922536,0.519115,,
2000-03-31 00:00:00+00:00,Montpelier,VT,9.170619,18.319834,3.3335862,0.08645171,,
2000-04-01 00:00:00+00:00,Montpelier,VT,6.9821405,10.1808815,5.2479486,1.9868512,,
2000-04-02 00:00:00+00:00,Montpelier,VT,1.6936626,4.29193,-1.0876905,0.0,,
2000-04-03 00:00:00+00:00,Montpelier,VT,1.3551846,5.5029783,-0.77332795,0.0,,
2000-04-04 00:00:00+00:00,Montpelier,VT,1.716707,8.064026,-1.358967,0.0,,
2000-04-05 00:00:00+00:00,Montpelier,VT,4.1282287,12.375074,-0.49460542,0.0,,
2000-04-06 00:00:00+00:00,Montpelier,VT,7.4397507,13.836122,3.2697558,0.08605864,,
2000-04-07 00:00:00+00:00,Montpelier,VT,12.351274,22.247171,6.4841185,0.6019649,,
2000-04-08 00:00:00+00:00,Montpelier,VT,13.162794,15.358218,11.198481,6.616752,,
2000-04-09 00:00:00+00:00,Montpelier,VT,4.0743165,9.169265,0.61284155,0.17173845,,
2000-04-10 00:00:00+00:00,Montpelier,VT,6.3358393,17.280313,0.027203202,1.0296853,,
2000-04-11 00:00:00+00:00,Montpelier,VT,9.897361,17.141361,4.7915645,0.0,,
2000-04-12 00:00:00+00:00,Montpelier,VT,10.558883,17.70241,6.005927,0.0,,
2000-04-13 00:00:00+00:00,Montpelier,VT,8.870405,9.963456,7.920288,29.882664,,
2000-04-14 00:00:00+00:00,Montpelier,VT,7.231927,8.874506,5.9846497,2.566905,,
2000-04-15 00:00:00+00:00,Montpelier,VT,9.093451,13.535553,6.0990114,0.25651142,,
2000-04-16 00:00:00+00:00,Montpelier,VT,13.304972,23.0466,6.563373,0.0,,
2000-04-17 00:00:00+00:00,Montpelier,VT,15.816493,20.607649,11.677734,0.17077158,,
2000-04-18 00:00:00+00:00,Montpelier,VT,18.278015,22.668695,15.092096,3.1571167,,
2000-04-19 00:00:00+00:00,Montpelier,VT,12.539536,20.579744,7.156458,4.007672,,
2000-04-20 00:00:00+00:00,Montpelier,VT,4.8010592,8.190792,1.2208192,0.25563657,,
2000-04-21 00:00:00+00:00,Montpelier,VT,6.112581,12.651839,1.0351814,0.68124175,,
2000-04-22 00:00:00+00:00,Montpelier,VT,8.174103,15.112887,2.249543,0.17019737,,
2000-04-23 00:00:00+00:00,Montpelier,VT,12.185625,21.523937,5.1639047,0.0,,
2000-04-24 00:00:00+00:00,Montpelier,VT,14.897147,23.634983,8.728266,0.0,,
2000-04-25 00:00:00+00:00,Montpelier,VT,17.60867,26.196032,11.392628,0.0,,
2000-04-26 00:00:00+00:00,Montpelier,VT,16.420193,20.40708,13.206989,6.026251,,
2000-04-27 00:00:00+00:00,Montpelier,VT,17.031713,21.518127,13.371351,8.906346,,
2000-04-28 00:00:00+00:00,Montpelier,VT,14.493237,15.529175,13.035713,5.0013313,,
2000-04-29 00:00:00+00:00,Montpelier,VT,15.354758,22.640223,8.500074,0.847147,,
2000-04-30 00:00:00+00:00,Montpelier,VT,20.066278,28.301271,15.014436,2.2858598,,
2000-05-01 00:00:00+00:00,Montpelier,VT,14.527801,20.01232,9.578798,3.5535626,,
2000-05-02 00:00:00+00:00,Montpelier,VT,15.839323,25.073366,8.993159,6.172603,,
2000-05-03 00:00:00+00:00,Montpelier,VT,17.111612,18.833164,14.780663,6.6894336,,
2000-05-04 00:00:00+00:00,Montpelier,VT,15.137488,19.242546,10.875879,2.9698887,,
2000-05-05 00:00:00+00:00,Montpelier,VT,15.863363,17.801926,14.121096,6.462391,,
2000-05-06 00:00:00+00:00,Montpelier,VT,17.48924,19.911306,15.116313,2.3858497,,
2000-05-07 00:00:00+00:00,Montpelier,VT,19.565115,24.670687,15.76153,4.8670197,,
2000-05-08 00:00:00+00:00,Montpelier,VT,20.690992,26.03007,16.356747,0.5989455,,
2000-05-09 00:00:00+00:00,Montpelier,VT,20.616869,25.189447,16.401964,0.6859273,,
2000-05-10 00:00:00+00:00,Montpelier,VT,20.442743,24.948828,16.64718,0.25775436,,
2000-05-11 00:00:00+00:00,Montpelier,VT,17.06862,21.758207,13.192398,4.9935246,,
2000-05-12 00:00:00+00:00,Montpelier,VT,11.444495,14.467589,8.037614,0.60390633,,
2000-05-13 00:00:00+00:00,Montpelier,VT,12.270371,19.97697,4.432831,0.0,,
