date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Nashville,TN,-5.395911,-1.059403,-9.564148,0.45963916,,
2000-01-02 00:00:00+00:00,Nashville,TN,0.011785701,8.507432,-4.712389,0.0,,
2000-01-03 00:00:00+00:00,Nashville,TN,4.002792,8.948299,1.3299227,0.0,,
2000-01-04 00:00:00+00:00,Nashville,TN,5.943799,9.139166,3.922234,1.8220196,,
2000-01-05 00:00:00+00:00,Nashville,TN,2.1848059,5.0800343,-0.4354542,0.11346876,,
2000-01-06 00:00:00+00:00,Nashville,TN,5.8258123,14.120901,1.1568575,0.7914552,,
2000-01-07 00:00:00+00:00,Nashville,TN,4.566819,9.811768,0.6991691,0.22532998,,
2000-01-08 00:00:00+00:00,Nashville,TN,-1.1421742,1.8026348,-3.658519,0.22453713,,
2000-01-09 00:00:00+00:00,Nashville,TN,4.0988326,6.8435025,1.3837926,14.096342,,
2000-01-10 00:00:00+00:00,Nashville,TN,8.539839,20.53437,3.4761047,28.7635,,
2000-01-11 00:00:00+00:00,Nashville,TN,8.580847,20.725237,1.8684161,30.774872,,
2000-01-12 00:00:00+00:00,Nashville,TN,-1.0781474,2.066104,-2.739272,0.22143646,,
2000-01-13 00:00:00+00:00,Nashville,TN,-3.5871406,-0.7930284,-5.84696,0.11033925,,
2000-01-14 00:00:00+00:00,Nashville,TN,-2.1961346,3.1478376,-5.704649,0.0,,
2000-01-15 00:00:00+00:00,Nashville,TN,-7.555127,-0.411295,-10.912336,0.10959128,,
2000-01-16 00:00:00+00:00,Nashville,TN,-5.564121,1.529573,-9.620025,0.0,,
2000-01-17 00:00:00+00:00,Nashville,TN,-2.223114,5.3204393,-7.077714,0.0,,
2000-01-18 00:00:00+00:00,Nashville,TN,-2.0321066,1.211307,-5.3354025,0.0,,
2000-01-19 00:00:00+00:00,Nashville,TN,-6.2411003,0.20217462,-11.09309,0.0,,
2000-01-20 00:00:00+00:00,Nashville,TN,1.8999064,8.543041,-1.3507781,0.0,,
2000-01-21 00:00:00+00:00,Nashville,TN,0.7909133,5.733909,-3.4084666,0.0,,
2000-01-22 00:00:00+00:00,Nashville,TN,1.1819196,8.824776,-3.566155,0.0,,
2000-01-23 00:00:00+00:00,Nashville,TN,3.9729266,11.215643,-0.37384325,0.0,,
2000-01-24 00:00:00+00:00,Nashville,TN,6.8639336,13.306511,3.3684688,0.0,,
2000-01-25 00:00:00+00:00,Nashville,TN,10.854939,17.247377,7.2607803,0.84832424,,
2000-01-26 00:00:00+00:00,Nashville,TN,10.145947,16.238245,4.553092,27.165373,,
2000-01-27 00:00:00+00:00,Nashville,TN,2.436953,4.879112,0.74540347,0.0,,
2000-01-28 00:00:00+00:00,Nashville,TN,7.02796,15.619979,1.0877155,0.0,,
2000-01-29 00:00:00+00:00,Nashville,TN,12.718966,18.110846,9.330028,0.41881037,,
2000-01-30 00:00:00+00:00,Nashville,TN,16.809973,20.401712,14.822338,2.5050008,,
2000-01-31 00:00:00+00:00,Nashville,TN,14.90098,20.692581,5.7146506,27.57329,,
2000-02-01 00:00:00+00:00,Nashville,TN,-4.1580133,5.133448,-7.5930376,1.244735,,
2000-02-02 00:00:00+00:00,Nashville,TN,-7.217006,-3.175686,-9.950726,0.0,,
2000-02-03 00:00:00+00:00,Nashville,TN,-1.026,6.2151823,-5.2084146,0.0,,
2000-02-04 00:00:00+00:00,Nashville,TN,3.715007,8.106049,0.93389744,0.0,,
2000-02-05 00:00:00+00:00,Nashville,TN,2.4560137,8.996917,-1.8737907,0.0,,
2000-02-06 00:00:00+00:00,Nashville,TN,3.5470202,4.7377844,2.768521,5.414244,,
2000-02-07 00:00:00+00:00,Nashville,TN,-0.61197287,3.078651,-5.789167,1.0184861,,
2000-02-08 00:00:00+00:00,Nashville,TN,-2.1709661,5.3695173,-7.096855,0.0,,
2000-02-09 00:00:00+00:00,Nashville,TN,1.8700403,4.660385,-6.5545435,6.2770057,,
2000-02-10 00:00:00+00:00,Nashville,TN,-18.488955,-7.5987473,-23.062231,3.936751,,
2000-02-11 00:00:00+00:00,Nashville,TN,-11.347946,-2.1578808,-17.46992,0.0,,
2000-02-12 00:00:00+00:00,Nashville,TN,0.29306048,6.582988,-2.9276085,1.7059497,,
2000-02-13 00:00:00+00:00,Nashville,TN,0.58406776,6.673854,-5.235297,29.216722,,
2000-02-14 00:00:00+00:00,Nashville,TN,-5.674926,-2.3852797,-7.992985,3.0927718,,
2000-02-15 00:00:00+00:00,Nashville,TN,1.7160804,8.455587,-2.6506734,5.8692403,,
2000-02-16 00:00:00+00:00,Nashville,TN,5.957087,8.746456,3.441638,54.754364,,
2000-02-17 00:00:00+00:00,Nashville,TN,0.8980941,3.687323,-0.9660502,0.0989089,,
2000-02-18 00:00:00+00:00,Nashville,TN,1.3391011,6.478191,-1.5237386,0.0,,
2000-02-19 00:00:00+00:00,Nashville,TN,3.7301073,9.069057,0.5685732,0.0,,
2000-02-20 00:00:00+00:00,Nashville,TN,7.6211143,12.609924,4.7608852,2.9421163,,
