date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Raleigh,NC,0.092690095,4.661515,-3.9240367,0.0,,
2000-01-02 00:00:00+00:00,Raleigh,NC,0.44541824,8.023271,-3.8764977,0.0,,
2000-01-03 00:00:00+00:00,Raleigh,NC,3.0854893,9.266587,-0.8897437,0.0,,
2000-01-04 00:00:00+00:00,Raleigh,NC,3.2755601,9.709903,-1.10299,0.0,,
2000-01-05 00:00:00+00:00,Raleigh,NC,2.9656312,6.5532193,-0.5162364,0.08400726,,
2000-01-06 00:00:00+00:00,Raleigh,NC,2.555702,8.596534,-1.6294826,0.0,,
2000-01-07 00:00:00+00:00,Raleigh,NC,7.4957733,11.489852,5.557271,2.4294178,,
2000-01-08 00:00:00+00:00,Raleigh,NC,1.235844,4.7831674,-1.9059752,0.0,,
2000-01-09 00:00:00+00:00,Raleigh,NC,1.2759153,2.576484,0.63077843,7.100973,,
2000-01-10 00:00:00+00:00,Raleigh,NC,2.465986,3.9697998,1.3675321,3.0033197,,
2000-01-11 00:00:00+00:00,Raleigh,NC,13.406057,20.113115,3.2542858,5.1652665,,
2000-01-12 00:00:00+00:00,Raleigh,NC,6.246128,14.556432,0.9410398,0.0,,
2000-01-13 00:00:00+00:00,Raleigh,NC,2.9861984,5.649747,-1.6222066,2.9078937,,
2000-01-14 00:00:00+00:00,Raleigh,NC,0.3762697,7.0430646,-2.9354527,0.0,,
2000-01-15 00:00:00+00:00,Raleigh,NC,-0.2336594,1.1363801,-2.1486993,0.0,,
2000-01-16 00:00:00+00:00,Raleigh,NC,-2.0435884,4.479696,-6.5119452,0.0,,
2000-01-17 00:00:00+00:00,Raleigh,NC,0.39648235,7.7230115,-4.925192,0.0,,
2000-01-18 00:00:00+00:00,Raleigh,NC,1.2365534,5.4163284,-2.288438,0.0,,
2000-01-19 00:00:00+00:00,Raleigh,NC,-6.923375,-0.29035628,-11.551684,0.0,,
2000-01-20 00:00:00+00:00,Raleigh,NC,-4.5333047,3.8029604,-10.51493,0.0,,
2000-01-21 00:00:00+00:00,Raleigh,NC,3.0067666,9.496276,-0.3781768,0.0,,
2000-01-22 00:00:00+00:00,Raleigh,NC,1.4968379,8.039593,-3.9414232,0.0,,
2000-01-23 00:00:00+00:00,Raleigh,NC,3.3369086,10.832909,-1.6046695,0.0,,
2000-01-24 00:00:00+00:00,Raleigh,NC,5.37698,14.326224,-0.3179158,0.0,,
2000-01-25 00:00:00+00:00,Raleigh,NC,6.9670506,15.119541,1.718838,0.0,,
2000-01-26 00:00:00+00:00,Raleigh,NC,10.207122,18.912857,4.855592,0.4082392,,
2000-01-27 00:00:00+00:00,Raleigh,NC,7.0971923,13.456172,3.492345,10.518759,,
2000-01-28 00:00:00+00:00,Raleigh,NC,4.837263,12.19949,-0.4709009,0.0,,
2000-01-29 00:00:00+00:00,Raleigh,NC,11.277334,18.742805,5.7158527,0.0,,
2000-01-30 00:00:00+00:00,Raleigh,NC,14.467404,20.38612,10.052607,0.64977837,,
2000-01-31 00:00:00+00:00,Raleigh,NC,19.857475,23.129436,17.83936,1.4601066,,
2000-02-01 00:00:00+00:00,Raleigh,NC,14.147547,21.122753,6.126114,40.4251,,
