date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Regina,SK,-2.6439378,-1.0385687,-3.793596,0.0,,
2000-01-02 00:00:00+00:00,Regina,SK,-6.271979,-1.2169573,-8.970293,0.087300904,,
2000-01-03 00:00:00+00:00,Regina,SK,-11.608616,-9.096676,-13.7109585,0.087350704,,
2000-01-04 00:00:00+00:00,Regina,SK,-7.245251,-1.3763943,-10.801625,0.0,,
2000-01-05 00:00:00+00:00,Regina,SK,-0.88188785,4.4938874,-4.89229,1.0493977,,
2000-01-06 00:00:00+00:00,Regina,SK,-6.818524,-0.2358312,-9.882958,0.9624902,,
2000-01-07 00:00:00+00:00,Regina,SK,-10.65516,-9.365551,-11.623621,0.350193,,
2000-01-08 00:00:00+00:00,Regina,SK,-15.9917965,-11.095268,-18.564287,0.0,,
2000-01-09 00:00:00+00:00,Regina,SK,-17.578432,-13.124986,-20.354956,0.08764605,,
2000-01-10 00:00:00+00:00,Regina,SK,-16.265068,-12.2547035,-20.395618,1.4031156,,
2000-01-11 00:00:00+00:00,Regina,SK,-21.751703,-16.934423,-25.236284,0.0,,
2000-01-12 00:00:00+00:00,Regina,SK,-15.33834,-11.464142,-17.576952,0.3511663,,
2000-01-13 00:00:00+00:00,Regina,SK,-20.974977,-12.64386,-24.217615,0.1756795,,
2000-01-14 00:00:00+00:00,Regina,SK,-23.211613,-19.72358,-25.158283,0.0,,
2000-01-15 00:00:00+00:00,Regina,SK,-15.898249,-14.103297,-19.598948,0.0,,
2000-01-16 00:00:00+00:00,Regina,SK,-10.184883,-0.83301467,-16.23961,0.4399169,,
2000-01-17 00:00:00+00:00,Regina,SK,-6.1215186,-0.7627339,-8.88028,0.17606188,,
2000-01-18 00:00:00+00:00,Regina,SK,-3.0581543,0.15754753,-8.070944,0.79270506,,
2000-01-19 00:00:00+00:00,Regina,SK,1.6552076,3.6278293,-1.3116105,2.6437678,,
