date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Richmond,VA,-1.401084,3.7398677,-6.4074845,0.08477542,,
2000-01-02 00:00:00+00:00,Richmond,VA,-0.4995641,8.753234,-5.4634852,0.0,,
2000-01-03 00:00:00+00:00,Richmond,VA,3.389226,10.146814,-0.62945,0.0,,
2000-01-04 00:00:00+00:00,Richmond,VA,1.7780159,8.440394,-3.3454154,0.08437532,,
2000-01-05 00:00:00+00:00,Richmond,VA,1.3168056,4.7839746,-1.8613801,0.084251076,,
2000-01-06 00:00:00+00:00,Richmond,VA,2.155596,10.227555,-3.3773446,0.0,,
2000-01-07 00:00:00+00:00,Richmond,VA,6.7443857,11.221136,4.7066903,0.25201258,,
2000-01-08 00:00:00+00:00,Richmond,VA,0.3831759,4.1647153,-4.0092745,0.0,,
2000-01-09 00:00:00+00:00,Richmond,VA,-0.82803434,2.1082954,-3.5252395,2.93158,,
2000-01-10 00:00:00+00:00,Richmond,VA,1.1607559,3.2518759,-0.39120382,7.1928554,,
2000-01-11 00:00:00+00:00,Richmond,VA,9.949546,18.195456,3.0428312,10.690147,,
2000-01-12 00:00:00+00:00,Richmond,VA,3.8383358,10.639037,-0.2731337,0.0,,
2000-01-13 00:00:00+00:00,Richmond,VA,0.9271261,3.5326164,-1.9890988,0.0,,
2000-01-14 00:00:00+00:00,Richmond,VA,-0.23408431,5.5761967,-3.4550638,0.0,,
2000-01-15 00:00:00+00:00,Richmond,VA,-1.4952948,0.41977698,-3.6710281,0.0,,
2000-01-16 00:00:00+00:00,Richmond,VA,-2.906504,2.9633574,-6.936993,0.0,,
2000-01-17 00:00:00+00:00,Richmond,VA,-0.86771435,6.0069366,-5.8029585,0.0,,
2000-01-18 00:00:00+00:00,Richmond,VA,0.3210755,3.7505176,-3.4189231,0.0,,
2000-01-19 00:00:00+00:00,Richmond,VA,-11.340135,-4.9559016,-15.984888,0.0,,
2000-01-20 00:00:00+00:00,Richmond,VA,-5.6513443,4.0876775,-11.500852,0.0,,
2000-01-21 00:00:00+00:00,Richmond,VA,2.6874454,8.181259,-1.1168177,0.0,,
2000-01-22 00:00:00+00:00,Richmond,VA,0.3762353,6.4748397,-4.782782,0.0,,
