date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Santa Fe,NM,-1.2729905,6.096915,-6.2592583,0.0,,
2000-01-02 00:00:00+00:00,Santa Fe,NM,-0.4622281,7.660438,-6.5504775,0.0,,
2000-01-03 00:00:00+00:00,Santa Fe,NM,0.9017707,6.5658994,-4.341178,0.0880185,,
2000-01-04 00:00:00+00:00,Santa Fe,NM,2.3157692,5.9213614,-0.48187736,2.8916926,,
2000-01-05 00:00:00+00:00,Santa Fe,NM,3.2297676,6.726822,1.277422,2.2682385,,
2000-01-06 00:00:00+00:00,Santa Fe,NM,2.9937663,6.8322835,1.2367212,0.3474284,,
2000-01-07 00:00:00+00:00,Santa Fe,NM,-1.5422351,4.837744,-5.6039777,0.086478464,,
2000-01-08 00:00:00+00:00,Santa Fe,NM,-3.9782364,0.24320576,-7.0446787,9.901953,,
2000-01-09 00:00:00+00:00,Santa Fe,NM,-0.8642378,1.498667,-2.085379,12.088419,,
2000-01-10 00:00:00+00:00,Santa Fe,NM,-6.75024,1.3041279,-11.076078,12.122114,,
2000-01-11 00:00:00+00:00,Santa Fe,NM,-20.786242,-8.940412,-30.766783,0.08500446,,
2000-01-12 00:00:00+00:00,Santa Fe,NM,-20.322243,-7.5349503,-31.607481,0.0,,
2000-01-13 00:00:00+00:00,Santa Fe,NM,-13.658242,0.47051093,-25.048182,0.0,,
2000-01-14 00:00:00+00:00,Santa Fe,NM,-8.844245,-0.2740281,-16.33888,0.0,,
2000-01-15 00:00:00+00:00,Santa Fe,NM,-11.380246,-0.71856666,-22.929583,0.16718468,,
2000-01-16 00:00:00+00:00,Santa Fe,NM,-7.466247,-0.51310563,-13.87028,0.0,,
2000-01-17 00:00:00+00:00,Santa Fe,NM,-6.5522485,3.692355,-14.560981,0.0,,
2000-01-18 00:00:00+00:00,Santa Fe,NM,-3.8882496,5.9478154,-11.901682,0.0,,
2000-01-19 00:00:00+00:00,Santa Fe,NM,-6.5742517,1.4532773,-14.0923815,0.0,,
2000-01-20 00:00:00+00:00,Santa Fe,NM,-4.410253,3.4087386,-11.083082,0.0,,
2000-01-21 00:00:00+00:00,Santa Fe,NM,-4.496254,5.614199,-13.523783,0.081581905,,
2000-01-22 00:00:00+00:00,Santa Fe,NM,-1.182255,7.41966,-9.064482,0.0,,
2000-01-23 00:00:00+00:00,Santa Fe,NM,0.48174354,7.9751215,-6.4551835,0.0,,
2000-01-24 00:00:00+00:00,Santa Fe,NM,2.7957423,6.8305826,-0.7958832,0.0,,
2000-01-25 00:00:00+00:00,Santa Fe,NM,1.359741,5.7860436,-1.136584,0.0,,
2000-01-26 00:00:00+00:00,Santa Fe,NM,-2.4262602,3.0415049,-6.827285,0.0,,
