date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Springfield,IL,-8.836348,1.6894474,-14.327425,0.0,,
2000-01-02 00:00:00+00:00,Springfield,IL,1.9937818,5.32322,-0.95177215,0.0,,
2000-01-03 00:00:00+00:00,Springfield,IL,3.200638,7.530719,-0.44665235,0.0,,
2000-01-04 00:00:00+00:00,Springfield,IL,-0.042505696,5.2882185,-2.641532,0.0,,
2000-01-05 00:00:00+00:00,Springfield,IL,-1.5856495,4.095718,-5.836412,0.0,,
2000-01-06 00:00:00+00:00,Springfield,IL,4.5212064,8.953217,2.1687078,0.0,,
2000-01-07 00:00:00+00:00,Springfield,IL,-1.0219374,5.6607165,-3.6761725,0.14794958,,
2000-01-08 00:00:00+00:00,Springfield,IL,-4.715081,-1.8317838,-7.0710516,2.9509234,,
2000-01-09 00:00:00+00:00,Springfield,IL,-3.308225,-0.7742848,-5.015933,7.9459877,,
2000-01-10 00:00:00+00:00,Springfield,IL,-2.0013695,1.383215,-4.210813,3.8156226,,
2000-01-11 00:00:00+00:00,Springfield,IL,-5.1945133,-0.30928558,-11.155693,32.63971,,
2000-01-12 00:00:00+00:00,Springfield,IL,-17.637657,-10.551786,-22.350573,0.58393204,,
2000-01-13 00:00:00+00:00,Springfield,IL,-14.6808,-5.2942877,-20.645452,0.14560433,,
2000-01-14 00:00:00+00:00,Springfield,IL,-14.973944,-6.336788,-18.890333,1.742764,,
2000-01-15 00:00:00+00:00,Springfield,IL,-20.817087,-14.679289,-26.835215,0.28972185,,
2000-01-16 00:00:00+00:00,Springfield,IL,-14.210232,-11.071789,-16.830093,0.0,,
2000-01-17 00:00:00+00:00,Springfield,IL,-8.403377,-0.31429,-15.124972,0.0,,
2000-01-18 00:00:00+00:00,Springfield,IL,-13.19652,-2.956791,-22.269854,0.28755876,,
2000-01-19 00:00:00+00:00,Springfield,IL,-15.039663,-2.2992916,-23.014732,0.0,,
2000-01-20 00:00:00+00:00,Springfield,IL,-0.13280816,4.6582084,-3.2096133,0.0,,
2000-01-21 00:00:00+00:00,Springfield,IL,-7.5759516,-0.43429226,-12.754493,0.0,,
2000-01-22 00:00:00+00:00,Springfield,IL,-1.4190958,3.3732066,-6.849374,0.0,,
2000-01-23 00:00:00+00:00,Springfield,IL,-1.5622396,6.3807063,-8.444254,0.0,,
2000-01-24 00:00:00+00:00,Springfield,IL,3.6946166,6.4382057,1.3108664,0.0,,
2000-01-25 00:00:00+00:00,Springfield,IL,4.2014728,8.545705,-0.034013703,3.110833,,
2000-01-26 00:00:00+00:00,Springfield,IL,2.358329,8.403204,-0.9288935,1.5518515,,
2000-01-27 00:00:00+00:00,Springfield,IL,-0.73481554,2.9607036,-4.023773,0.14075702,,
2000-01-28 00:00:00+00:00,Springfield,IL,4.0220413,7.0182033,1.7813464,2.9492455,,
2000-01-29 00:00:00+00:00,Springfield,IL,0.4788974,6.525702,-4.4135337,2.2420337,,
2000-01-30 00:00:00+00:00,Springfield,IL,-1.6142468,8.833202,-6.158414,5.1732454,,
2000-01-31 00:00:00+00:00,Springfield,IL,-3.4073906,9.240702,-14.703294,27.623224,,
2000-02-01 00:00:00+00:00,Springfield,IL,-19.600534,-13.751801,-22.648174,0.0,,
2000-02-02 00:00:00+00:00,Springfield,IL,-15.5936775,-5.8943005,-20.043055,0.0,,
2000-02-03 00:00:00+00:00,Springfield,IL,-3.7368221,1.6131988,-6.8379345,0.9702898,,
2000-02-04 00:00:00+00:00,Springfield,IL,-1.9299664,1.6206985,-3.8328147,1.383199,,
2000-02-05 00:00:00+00:00,Springfield,IL,-2.7231097,5.728198,-8.427694,0.13803016,,
2000-02-06 00:00:00+00:00,Springfield,IL,-3.5662541,5.085697,-9.372575,3.7190752,,
2000-02-07 00:00:00+00:00,Springfield,IL,-13.459398,-3.9068031,-18.667454,4.1238,,
2000-02-08 00:00:00+00:00,Springfield,IL,-5.5025415,6.450696,-14.912334,0.13717948,,
2000-02-09 00:00:00+00:00,Springfield,IL,-13.195686,5.1581955,-23.607214,7.1189013,,
2000-02-10 00:00:00+00:00,Springfield,IL,-28.63883,-22.634306,-32.352093,0.27325472,,
2000-02-11 00:00:00+00:00,Springfield,IL,-15.781973,-5.126806,-29.396976,0.13635565,,
2000-02-12 00:00:00+00:00,Springfield,IL,-7.875117,-4.5693073,-14.391854,1.0886945,,
2000-02-13 00:00:00+00:00,Springfield,IL,-18.768261,-14.0118065,-21.386736,1.7656693,,
2000-02-14 00:00:00+00:00,Springfield,IL,-20.561405,-14.404308,-25.781614,0.0,,
2000-02-15 00:00:00+00:00,Springfield,IL,-9.654549,1.2531912,-16.676497,3.1118271,,
2000-02-16 00:00:00+00:00,Springfield,IL,-1.3976927,3.1606908,-5.021375,1.21535,,
2000-02-17 00:00:00+00:00,Springfield,IL,-6.3908367,2.3181906,-13.366255,0.0,,
2000-02-18 00:00:00+00:00,Springfield,IL,1.5160191,6.2256894,-2.2611358,0.0,,
2000-02-19 00:00:00+00:00,Springfield,IL,3.2228756,6.733189,0.19398503,0.0,,
2000-02-20 00:00:00+00:00,Springfield,IL,4.2797318,7.6906886,1.0491045,0.0,,
2000-02-21 00:00:00+00:00,Springfield,IL,6.186588,8.998188,2.1542244,2.1406074,,
2000-02-22 00:00:00+00:00,Springfield,IL,-6.856556,3.155687,-11.190656,0.26709044,,
