date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,St. Paul,MN,-11.946504,1.8435054,-22.416418,0.13110615,,
2000-01-02 00:00:00+00:00,St. Paul,MN,-4.5110474,-1.8673856,-7.5838957,0.0,,
2000-01-03 00:00:00+00:00,St. Paul,MN,-7.097831,-5.1997185,-8.370038,0.39299187,,
2000-01-04 00:00:00+00:00,St. Paul,MN,-10.5346155,-7.3820505,-15.406183,0.6551503,,
2000-01-05 00:00:00+00:00,St. Paul,MN,-3.9213977,0.6856167,-8.592325,0.0,,
2000-01-06 00:00:00+00:00,St. Paul,MN,-0.008181632,3.1032844,-4.9284716,1.0487554,,
2000-01-07 00:00:00+00:00,St. Paul,MN,-9.944964,-5.779048,-11.514615,0.13112603,,
2000-01-08 00:00:00+00:00,St. Paul,MN,-10.631749,-5.21138,-14.050759,0.39347178,,
2000-01-09 00:00:00+00:00,St. Paul,MN,-8.118531,-6.9937124,-11.136904,3.8044555,,
2000-01-10 00:00:00+00:00,St. Paul,MN,-13.255316,-9.126044,-16.423048,1.4434047,,
2000-01-11 00:00:00+00:00,St. Paul,MN,-12.042098,-9.058378,-13.709192,7.743676,,
2000-01-12 00:00:00+00:00,St. Paul,MN,-17.128883,-14.190711,-18.445337,1.0502284,,
2000-01-13 00:00:00+00:00,St. Paul,MN,-15.065667,-11.273043,-18.131481,0.13130797,,
2000-01-14 00:00:00+00:00,St. Paul,MN,-22.152449,-16.005377,-26.117624,0.0,,
2000-01-15 00:00:00+00:00,St. Paul,MN,-16.989233,-7.5877075,-22.15377,0.0,,
2000-01-16 00:00:00+00:00,St. Paul,MN,-14.626016,-11.27004,-18.439913,0.0,,
2000-01-17 00:00:00+00:00,St. Paul,MN,-6.9628,-2.2523727,-10.726056,0.65711206,,
2000-01-18 00:00:00+00:00,St. Paul,MN,-19.599585,-11.634706,-25.212204,0.0,,
2000-01-19 00:00:00+00:00,St. Paul,MN,-8.286366,1.1829627,-16.398348,2.1036434,,
2000-01-20 00:00:00+00:00,St. Paul,MN,-0.3731509,3.0006301,-4.884489,0.1315049,,
2000-01-21 00:00:00+00:00,St. Paul,MN,-9.709934,-1.4317024,-17.070637,0.657659,,
2000-01-22 00:00:00+00:00,St. Paul,MN,-6.5467186,-0.014034569,-10.956779,0.26311678,,
2000-01-23 00:00:00+00:00,St. Paul,MN,-0.13350159,4.4036326,-8.942924,1.4474313,,
2000-01-24 00:00:00+00:00,St. Paul,MN,2.979715,5.271301,-3.2290678,0.92127484,,
2000-01-25 00:00:00+00:00,St. Paul,MN,-8.657067,-2.1610322,-14.565211,7.3716393,,
2000-01-26 00:00:00+00:00,St. Paul,MN,-8.343851,-3.6433642,-9.601355,13.034524,,
2000-01-27 00:00:00+00:00,St. Paul,MN,-14.630636,-9.925696,-19.7875,0.13168706,,
2000-01-28 00:00:00+00:00,St. Paul,MN,-14.417419,-8.558029,-18.523645,4.6099186,,
2000-01-29 00:00:00+00:00,St. Paul,MN,-22.604204,-15.340363,-26.70979,0.9221562,,
2000-01-30 00:00:00+00:00,St. Paul,MN,-17.990988,-7.1726947,-23.195932,1.185849,,
2000-01-31 00:00:00+00:00,St. Paul,MN,-13.17777,-6.6550274,-26.78208,16.868498,,
2000-02-01 00:00:00+00:00,St. Paul,MN,-30.964552,-28.787361,-31.66822,1.4498994,,
2000-02-02 00:00:00+00:00,St. Paul,MN,-31.001339,-21.369692,-38.254368,0.0,,
2000-02-03 00:00:00+00:00,St. Paul,MN,-11.688121,-5.1520247,-21.74051,0.79113626,,
2000-02-04 00:00:00+00:00,St. Paul,MN,-15.424905,-7.4343567,-20.226656,0.5275168,,
2000-02-05 00:00:00+00:00,St. Paul,MN,-23.061687,-16.56669,-28.8128,0.13190211,,
2000-02-06 00:00:00+00:00,St. Paul,MN,-24.498472,-18.79902,-30.548943,0.5276992,,
2000-02-07 00:00:00+00:00,St. Paul,MN,-24.035254,-20.931356,-28.685087,0.2638945,,
