date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Augusta,ME,-8.464864,-3.756064,-11.1591015,1.918862,,
2000-01-02 00:00:00+00:00,Augusta,ME,-18.206501,-14.1882925,-21.007627,0.52281135,,
2000-01-03 00:00:00+00:00,Augusta,ME,-16.105127,-15.287236,-18.060091,0.34836307,,
2000-01-04 00:00:00+00:00,Augusta,ME,-20.053751,-16.93618,-23.612558,0.0870463,,
2000-01-05 00:00:00+00:00,Augusta,ME,-14.202374,-8.585122,-18.365023,1.9140403,,
2000-01-06 00:00:00+00:00,Augusta,ME,-10.051,-4.5840654,-14.617486,0.3478294,,
2000-01-07 00:00:00+00:00,Augusta,ME,-0.9496249,1.3669912,-6.8699493,2.6073856,,
2000-01-08 00:00:00+00:00,Augusta,ME,-11.798249,-3.031952,-18.522415,0.34747338,,
2000-01-09 00:00:00+00:00,Augusta,ME,-15.746875,-6.430895,-20.12488,0.0,,
2000-01-10 00:00:00+00:00,Augusta,ME,-16.4455,-11.329838,-21.027346,0.0867793,,
2000-01-11 00:00:00+00:00,Augusta,ME,-7.694124,-1.6287817,-17.229809,21.16328,,
2000-01-12 00:00:00+00:00,Augusta,ME,-9.792748,-6.077725,-14.732272,1.9071846,,
2000-01-13 00:00:00+00:00,Augusta,ME,-10.591373,-7.2766685,-13.634738,0.08664565,,
2000-01-14 00:00:00+00:00,Augusta,ME,-12.539998,-5.975611,-16.337202,0.0,,
2000-01-15 00:00:00+00:00,Augusta,ME,-14.788623,-12.624555,-21.889668,1.5580167,,
2000-01-16 00:00:00+00:00,Augusta,ME,-20.63725,-11.173497,-25.642134,0.0,,
2000-01-17 00:00:00+00:00,Augusta,ME,-19.935873,-10.922441,-27.594597,0.0,,
2000-01-18 00:00:00+00:00,Augusta,ME,-8.434499,-6.821384,-9.997062,0.8642267,,
2000-01-19 00:00:00+00:00,Augusta,ME,-16.133123,-12.320327,-19.999525,0.17275612,,
2000-01-20 00:00:00+00:00,Augusta,ME,-13.181748,-1.5192703,-20.401995,0.0,,
2000-01-21 00:00:00+00:00,Augusta,ME,-4.5303736,1.2817863,-8.604455,0.0,,
2000-01-22 00:00:00+00:00,Augusta,ME,-14.278998,-8.417157,-21.45692,0.17248821,,
2000-01-23 00:00:00+00:00,Augusta,ME,-9.677624,-5.3161,-12.409384,0.08619944,,
2000-01-24 00:00:00+00:00,Augusta,ME,-13.226249,-0.26504326,-22.26185,1.2923214,,
2000-01-25 00:00:00+00:00,Augusta,ME,0.4251262,4.586014,-2.2143145,1.8083113,,
2000-01-26 00:00:00+00:00,Augusta,ME,-1.7734982,6.7870703,-7.8667774,0.0,,
2000-01-27 00:00:00+00:00,Augusta,ME,3.1278772,4.238127,-2.719243,11.612787,,
2000-01-28 00:00:00+00:00,Augusta,ME,-9.520747,-4.160816,-13.921709,0.2579278,,
2000-01-29 00:00:00+00:00,Augusta,ME,-8.769372,-6.409759,-11.524174,2.5779357,,
2000-01-30 00:00:00+00:00,Augusta,ME,-5.2179976,-2.5087023,-8.376637,2.0612748,,
2000-01-31 00:00:00+00:00,Augusta,ME,-6.5666227,5.8923545,-12.429101,9.356744,,
